d3mIndex,FICE,College_name,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,Number_of_faculty-all_ranks
228,1674,Eastern_Illinois_University,IL,IIA,442.0,373.0,333.0,364,515.0,438.0,393.0,428,190,161,120,87,560
229,1678,Eureka_College,IL,IIB,,370.0,315.0,355,,458.0,390.0,438,5,16,16,0,37
230,1684,Greenville_College,IL,IIB,374.0,331.0,292.0,336,466.0,424.0,370.0,422,27,11,15,4,57
231,1688,Illinois_College,IL,IIB,522.0,424.0,347.0,424,621.0,503.0,410.0,502,16,18,14,3,51
232,1691,Illinois_Institute_of_Tech,IL,I,680.0,480.0,452.0,512,836.0,606.0,558.0,636,93,81,73,11,287
233,1692,Illinois_State_University,IL,I,548.0,436.0,373.0,460,638.0,514.0,445.0,541,289,187,244,0,720
234,1693,Northeastern_Illinois_Univ,IL,IIA,460.0,378.0,359.0,394,529.0,439.0,418.0,455,139,88,71,0,331
235,1694,Chicago_State_University,IL,IIA,446.0,369.0,320.0,345,509.0,425.0,371.0,399,120,65,77,14,351
236,1696,Illinois_Wesleyan_University,IL,IIB,570.0,452.0,374.0,445,729.0,593.0,477.0,572,32,42,47,8,129
237,1700,Judson_College,IL,IIB,400.0,358.0,305.0,358,486.0,445.0,366.0,438,10,12,6,1,29
238,1703,Kendall_College,IL,IIB,,357.0,,319,,423.0,,377,1,11,3,4,19
239,1704,Knox_College,IL,IIB,508.0,414.0,342.0,432,650.0,518.0,416.0,544,35,17,20,5,77
240,1706,Lake_Forest_College,IL,IIB,644.0,475.0,402.0,495,843.0,650.0,543.0,662,26,22,24,5,81
241,1707,Lewis_University,IL,IIA,467.0,392.0,330.0,357,561.0,481.0,407.0,437,37,20,29,52,138
242,1710,Loyola_Univ_of_Chicago,IL,I,761.0,536.0,433.0,570,924.0,664.0,536.0,701,164,230,163,6,563
243,1717,MacMurray_College,IL,IIB,324.0,263.0,250.0,262,393.0,334.0,307.0,318,13,9,16,31,69
244,1722,McKendree_College,IL,IIB,433.0,397.0,341.0,381,539.0,493.0,407.0,467,16,10,16,5,47
245,1724,Millikin_University,IL,IIB,478.0,409.0,313.0,386,583.0,501.0,383.0,472,34,38,46,6,124
246,1725,Monmouth_College,IL,IIB,443.0,339.0,325.0,381,544.0,412.0,385.0,464,20,12,11,1,44
247,1733,National-Louis_University,IL,IIA,490.0,405.0,337.0,348,566.0,472.0,394.0,405,20,51,120,23,253
248,1734,North_Central_College,IL,IIB,473.0,399.0,348.0,398,588.0,501.0,437.0,497,24,40,28,5,97
249,1735,North_Park_College,IL,IIB,415.0,337.0,285.0,339,540.0,426.0,352.0,431,23,18,18,2,65
250,1737,Northern_Illinois_University,IL,I,578.0,435.0,375.0,440,667.0,509.0,443.0,515,314,266,246,112,944
251,1739,Northwestern_University,IL,I,860.0,596.0,496.0,712,1045.0,735.0,602.0,868,460,209,203,0,872
252,1741,Olivet_Nazarene_University,IL,IIA,391.0,335.0,278.0,320,476.0,412.0,346.0,395,26,22,36,8,92
253,1744,Principia_College,IL,IIB,465.0,400.0,345.0,395,572.0,540.0,414.0,490,20,9,13,7,49
254,1745,Quincy_University,IL,IIB,372.0,371.0,285.0,345,459.0,462.0,351.0,427,18,21,14,2,55
255,1749,Roosevelt_University,IL,IIA,484.0,405.0,359.0,416,610.0,517.0,464.0,531,50,58,42,2,152
256,1750,Rosary_College,IL,IIB,448.0,378.0,377.0,382,543.0,479.0,454.0,468,10,25,34,3,72
257,1758,Southern_IllUniv-Carbondale,IL,I,564.0,436.0,359.0,422,657.0,517.0,431.0,500,272,255,313,33,977
258,1759,Southern_IllUniv-Edwardsvle,IL,IIA,531.0,442.0,389.0,453,616.0,520.0,462.0,531,168,126,95,24,421
259,1767,Illinois_Benedictine_College,IL,IIA,463.0,395.0,315.0,409,576.0,493.0,403.0,511,38,36,17,0,91
260,1768,Saint_Xavier_University,IL,IIA,551.0,452.0,388.0,439,667.0,548.0,471.0,531,22,78,53,6,159
261,1772,Trinity_College,IL,IIB,,346.0,291.0,320,,406.0,347.0,377,5,11,13,2,31
262,1774,University_of_Chicago,IL,I,894.0,586.0,515.0,742,1104.0,724.0,636.0,916,467,138,161,36,802
263,1775,Univ_of_Illinois-Urbana,IL,I,682.0,493.0,421.0,570,783.0,574.0,494.0,659,927,520,393,1,1868
264,1776,Univ_of_Illinois-Chicago,IL,I,656.0,476.0,411.0,513,755.0,555.0,483.0,596,401,369,296,20,1135
265,1780,Western_Illinois_University,IL,IIA,506.0,427.0,350.0,421,587.0,500.0,414.0,493,241,171,123,62,606
266,1781,Wheaton_College,IL,IIA,510.0,437.0,368.0,452,640.0,569.0,461.0,574,67,54,32,3,156
267,3970,Parks_Collof_StLouis_Univ,IL,IIB,576.0,540.0,396.0,487,694.0,660.0,480.0,591,15,12,16,4,47
268,9333,Sangamon_State_University,IL,IIA,499.0,437.0,370.0,433,594.0,516.0,447.0,516,50,62,46,5,163
269,1785,Anderson_University,IN,IIB,415.0,340.0,316.0,347,532.0,427.0,389.0,437,43,45,36,14,138
270,1786,Ball_State_University,IN,I,517.0,410.0,332.0,384,666.0,537.0,438.0,501,297,160,350,155,965
271,1787,Bethel_College,IN,IIB,,,285.0,295,,,363.0,376,5,4,26,1,36
272,1788,Butler_University,IN,IIA,521.0,442.0,366.0,439,650.0,551.0,447.0,544,72,66,77,3,220
273,1792,DePauw_University,IN,IIB,540.0,433.0,361.0,452,695.0,570.0,465.0,587,51,57,38,0,146
274,1793,Earlham_College,IN,IIB,514.0,394.0,338.0,445,639.0,483.0,414.0,551,44,13,22,0,79
275,1795,University_of_Evansville,IN,IIA,500.0,415.0,351.0,414,602.0,505.0,415.0,496,57,43,58,4,170
276,1798,Franklin_College_of_Indiana,IN,IIB,440.0,363.0,325.0,381,549.0,453.0,411.0,477,24,16,20,0,60
277,1799,Goshen_College,IN,IIB,388.0,341.0,291.0,345,479.0,410.0,344.0,418,37,19,28,0,84
278,1800,Grace_College,IN,IIB,326.0,264.0,228.0,285,439.0,372.0,334.0,395,14,11,6,0,31
279,1801,Hanover_College,IN,IIB,555.0,437.0,377.0,432,682.0,539.0,455.0,524,28,16,35,13,92
280,1803,Huntington_College,IN,IIB,438.0,367.0,305.0,358,544.0,455.0,379.0,444,11,11,13,3,38
281,1804,University_of_Indianapolis,IN,IIA,487.0,408.0,358.0,382,620.0,515.0,433.0,469,16,38,52,19,125
282,1808,Univ_of_Southern_Indiana,IN,IIA,493.0,421.0,377.0,384,636.0,545.0,477.0,491,35,38,58,50,181
283,1809,Indiana_Univ-Bloomington,IN,I,674.0,479.0,399.0,540,852.0,615.0,507.0,685,624,344,305,1,1361
284,1811,Indiana_Univ-East,IN,IIB,,405.0,327.0,341,,529.0,424.0,443,5,12,24,0,59
285,1812,Indiana-Purdue_U-Fort_Wayne,IN,IIA,498.0,408.0,340.0,385,648.0,534.0,444.0,503,53,106,123,15,303
286,1813,Indiana_Univ-Indianapolis,IN,IIA,643.0,469.0,405.0,469,820.0,604.0,514.0,599,170,217,215,1,688
287,1814,Indiana_Univ_at_Kokomo,IN,IIB,519.0,432.0,380.0,397,665.0,548.0,482.0,504,13,21,29,0,81
288,1815,Indiana_Univ-Northwest,IN,IIA,544.0,446.0,355.0,410,694.0,575.0,449.0,522,25,63,33,0,152
289,1816,Indiana_Univ_at_South_Bend,IN,IIA,544.0,445.0,391.0,420,696.0,571.0,495.0,537,32,56,57,0,175
290,1817,Indiana_Univ-Southeast,IN,IIA,529.0,408.0,369.0,422,679.0,526.0,470.0,540,41,24,42,0,125
291,1820,Manchester_College,IN,IIB,412.0,340.0,289.0,340,527.0,416.0,348.0,420,24,22,17,11,74
292,1821,Marian_College,IN,IIB,420.0,329.0,303.0,330,520.0,411.0,379.0,411,15,23,34,5,79
293,1822,Indiana_Wesleyan_University,IN,IIB,396.0,342.0,294.0,335,492.0,431.0,367.0,418,22,23,34,2,81
294,1824,Oakland_City_College,IN,IIB,,282.0,252.0,269,,340.0,314.0,328,3,11,10,4,28
295,1825,Purdue_Univ-Main_Campus,IN,I,721.0,485.0,423.0,562,920.0,631.0,548.0,722,603,411,400,29,1443
296,1827,Purdue_University-Calumet,IN,IIA,519.0,413.0,364.0,405,677.0,541.0,479.0,530,47,105,74,21,247
297,1830,Rose-Hulman_Inst_of_Tech,IN,IIB,608.0,522.0,447.0,549,797.0,679.0,568.0,715,51,29,21,0,101
298,1832,Saint_Francis_College,IN,IIB,,334.0,313.0,316,,393.0,371.0,373,3,8,21,5,37
299,1833,Saint_Josephs_College,IN,IIB,373.0,374.0,312.0,344,486.0,478.0,400.0,443,13,12,19,1,45
300,1834,Calumet_College_of_StJoseph,IN,IIB,324.0,264.0,235.0,265,426.0,350.0,316.0,353,6,6,9,2,23
301,1835,Saint_Mary-of-the-Woods_Coll,IN,IIB,307.0,234.0,199.0,232,382.0,295.0,246.0,290,11,11,18,4,44
302,1836,Saint_Marys_College,IN,IIB,524.0,391.0,331.0,388,675.0,509.0,435.0,505,21,43,52,1,117
303,1837,Saint_Meinrad_College,IN,IIB,357.0,,,332,405.0,,,376,6,3,5,1,15
304,1838,Taylor_University,IN,IIB,404.0,352.0,300.0,355,555.0,486.0,382.0,480,36,31,25,3,95
305,1839,Tri-State_University,IN,IIB,395.0,324.0,291.0,340,485.0,395.0,356.0,415,23,28,10,3,64
306,1840,University_of_Notre_Dame,IN,I,798.0,562.0,470.0,637,985.0,701.0,573.0,787,274,195,164,11,644
307,1842,Valparaiso_University,IN,IIA,559.0,423.0,372.0,446,681.0,525.0,459.0,548,67,58,74,5,204
308,1844,Wabash_College,IN,IIB,612.0,474.0,371.0,501,770.0,602.0,482.0,637,31,22,20,1,74
309,9563,Indiana_State_University,IN,I,500.0,394.0,343.0,423,647.0,513.0,438.0,545,248,133,151,16,548
310,1903,Baker_University,KS,IIB,369.0,318.0,288.0,327,443.0,396.0,346.0,397,18,18,16,0,52
311,1904,Bethany_College,KS,IIB,335.0,280.0,248.0,281,415.0,360.0,308.0,350,16,9,24,2,51
312,1905,Bethel_College,KS,IIB,325.0,285.0,267.0,285,408.0,356.0,336.0,358,16,19,8,5,48
313,1915,Fort_Hays_State_University,KS,IIA,446.0,378.0,325.0,377,556.0,475.0,412.0,474,84,56,71,21,232
314,1926,Pittsburg_State_University,KS,IIA,450.0,381.0,331.0,375,567.0,484.0,425.0,477,103,76,70,4,291
315,1927,Emporia_State_University,KS,IIA,435.0,390.0,330.0,367,553.0,499.0,427.0,471,67,67,78,26,238
316,1928,Kansas_State_University,KS,I,550.0,419.0,368.0,440,686.0,530.0,466.0,554,305,231,259,63,858
317,1929,Kansas_Wesleyan_University,KS,IIB,337.0,290.0,265.0,293,394.0,343.0,299.0,340,11,14,10,3,38
318,1933,McPherson_College,KS,IIB,318.0,274.0,254.0,272,397.0,353.0,313.0,342,7,16,11,3,37
319,1937,Ottawa_University,KS,IIB,338.0,292.0,264.0,284,410.0,348.0,309.0,338,13,12,22,8,55
320,1940,Southwestern_College,KS,IIB,340.0,318.0,278.0,311,415.0,388.0,341.0,380,16,10,10,3,39
321,1943,Saint_Mary_College,KS,IIB,336.0,301.0,261.0,282,390.0,358.0,313.0,335,10,11,15,5,43
322,1946,Tabor_College,KS,IIB,304.0,,222.0,257,385.0,,282.0,326,8,5,8,3,24
323,1948,University_of_Kansas-Main,KS,I,579.0,422.0,367.0,485,714.0,529.0,458.0,603,474,297,204,6,981
324,1949,Washburn_University,KS,IIA,594.0,438.0,333.0,457,719.0,540.0,416.0,561,76,55,59,11,201
325,1950,Wichita_State_University,KS,IIA,555.0,417.0,361.0,415,679.0,518.0,450.0,514,101,154,188,24,467
326,7032,Mid-America_Nazarene_College,KS,IIB,371.0,305.0,265.0,300,457.0,378.0,329.0,372,18,12,24,6,60
327,10256,Benedictine_College,KS,IIB,335.0,316.0,278.0,296,374.0,368.0,327.0,342,11,16,16,7,50
328,1954,Bellarmine_College,KY,IIA,473.0,385.0,326.0,394,583.0,480.0,396.0,482,32,18,27,7,84
329,1955,Berea_College,KY,IIB,552.0,428.0,355.0,436,675.0,518.0,421.0,525,32,43,31,6,112
330,1958,Brescia_College,KY,IIB,,322.0,273.0,299,,390.0,324.0,357,4,10,14,4,32
331,1959,Campbellsville_College,KY,IIB,342.0,278.0,252.0,277,422.0,350.0,318.0,347,12,11,16,7,46
332,1960,Spalding_University,KY,IIB,359.0,315.0,289.0,313,416.0,370.0,333.0,363,15,22,26,3,66
333,1961,Centre_College,KY,IIB,521.0,418.0,351.0,431,653.0,514.0,423.0,532,27,21,21,4,73
334,1962,Cumberland_College,KY,IIB,354.0,291.0,272.0,286,438.0,362.0,337.0,355,17,23,32,20,97
335,1963,Eastern_Kentucky_University,KY,IIA,519.0,439.0,371.0,442,648.0,551.0,468.0,555,237,135,185,29,586
336,1964,Georgetown_College,KY,IIB,398.0,338.0,297.0,343,493.0,418.0,352.0,420,29,18,19,6,72
337,1968,Kentucky_State_University,KY,IIB,460.0,403.0,329.0,377,576.0,505.0,416.0,474,26,35,52,5,118
338,1969,Kentucky_Wesleyan_College,KY,IIB,383.0,326.0,292.0,327,474.0,404.0,358.0,405,17,18,11,5,51
339,1972,Lindsey_Wilson_College,KY,IIB,,359.0,278.0,294,,427.0,331.0,349,2,7,11,18,38
340,1976,Morehead_State_University,KY,IIA,478.0,395.0,322.0,373,600.0,498.0,410.0,472,87,89,123,37,336
341,1977,Murray_State_University,KY,IIA,462.0,396.0,342.0,383,601.0,520.0,451.0,503,95,101,101,7,336
342,1980,Pikeville_College,KY,IIB,359.0,314.0,275.0,304,434.0,377.0,332.0,367,8,25,15,3,51
343,1987,Transylvania_University,KY,IIB,447.0,393.0,318.0,384,627.0,526.0,424.0,521,18,25,18,2,63
344,1988,Union_College,KY,IIB,314.0,287.0,255.0,277,383.0,353.0,304.0,335,11,20,8,9,48
345,1989,University_of_Kentucky,KY,I,634.0,473.0,418.0,521,760.0,574.0,504.0,628,470,416,308,6,1200
346,1999,University_of_Louisville,KY,I,584.0,442.0,368.0,476,715.0,547.0,449.0,584,276,208,169,12,674
347,2001,Thomas_More_College,KY,IIB,352.0,324.0,277.0,312,432.0,394.0,345.0,382,12,30,18,1,62
348,2002,Western_Kentucky_University,KY,IIA,485.0,408.0,347.0,413,613.0,517.0,442.0,524,223,135,144,43,553
349,9275,Northern_Kentucky_University,KY,IIA,506.0,427.0,350.0,388,623.0,529.0,432.0,478,83,96,90,14,341
350,2003,Centenary_College_of_La,LA,IIB,499.0,380.0,324.0,412,625.0,468.0,396.0,512,28,20,16,2,66
351,2004,Dillard_University,LA,IIB,494.0,373.0,342.0,350,567.0,437.0,398.0,406,8,15,59,10,96
352,2005,Nicholls_State_University,LA,IIB,440.0,361.0,316.0,338,535.0,439.0,385.0,412,72,67,82,40,286
353,2006,Grambling_State_University,LA,IIA,442.0,392.0,329.0,349,491.0,437.0,369.0,391,48,48,124,45,265
354,2007,Louisiana_College,LA,IIB,375.0,324.0,308.0,338,484.0,427.0,401.0,440,25,13,18,4,60
355,2008,Louisiana_Tech_University,LA,IIA,472.0,408.0,344.0,391,549.0,494.0,418.0,467,129,93,131,36,389
356,2010,Louisiana_StUnivand_A_and_M_C,LA,I,594.0,437.0,379.0,464,711.0,527.0,461.0,559,561,387,313,178,1439
357,2013,Louisiana_StUnivShreveport,LA,IIA,458.0,414.0,337.0,385,539.0,498.0,403.0,458,53,37,48,18,156
358,2015,University_of_New_Orleans,LA,IIA,512.0,378.0,352.0,404,609.0,453.0,423.0,483,199,128,116,67,510
359,2016,Loyola_University,LA,IIA,593.0,451.0,393.0,476,728.0,560.0,482.0,587,77,103,45,2,241
360,2017,McNeese_State_University,LA,IIA,456.0,374.0,323.0,363,554.0,458.0,398.0,446,76,77,104,33,290
361,2020,Northeast_Louisiana_Univ,LA,IIA,459.0,376.0,325.0,343,559.0,458.0,396.0,418,88,102,159,100,449
362,2021,Northwestern_State_Univ,LA,IIA,418.0,360.0,312.0,335,500.0,432.0,375.0,403,44,47,98,34,223
363,2023,Our_Lady_of_Holy_Cross_Coll,LA,IIB,,306.0,325.0,314,,378.0,400.0,385,1,9,9,6,25
364,2024,Southeastern_Louisiana_Univ,LA,IIA,468.0,405.0,329.0,348,566.0,486.0,398.0,421,68,68,163,90,389
365,2026,Southern_Univat_New_Orleans,LA,IIB,406.0,329.0,298.0,320,487.0,397.0,361.0,387,23,22,64,11,120
366,2029,Tulane_University,LA,I,713.0,514.0,418.0,564,876.0,646.0,514.0,699,172,166,115,3,456
367,2031,Univ_Southwestern_Louisiana,LA,I,533.0,409.0,359.0,402,633.0,493.0,434.0,483,147,136,167,98,548
368,2032,Xavier_University_of_La,LA,IIA,459.0,389.0,332.0,352,546.0,456.0,386.0,413,37,41,91,34,203
369,9636,Southern_UnivA_and_M_Coll-Main,LA,IIA,455.0,392.0,336.0,367,538.0,464.0,398.0,434,100,88,210,48,446
370,2115,Amherst_College,MA,IIB,726.0,516.0,425.0,610,917.0,661.0,546.0,774,87,23,43,0,153
371,2117,Anna_Maria_College,MA,IIB,407.0,364.0,318.0,341,499.0,470.0,377.0,416,6,9,14,4,33
372,2118,Assumption_College,MA,IIB,479.0,400.0,325.0,385,610.0,518.0,413.0,492,22,42,40,3,107
373,2120,Merrimack_College,MA,IIB,507.0,393.0,326.0,395,652.0,518.0,407.0,510,24,63,38,0,125
374,2121,Babson_College,MA,IIB,787.0,613.0,557.0,633,975.0,769.0,700.0,790,31,45,31,3,119
375,2124,Bentley_College,MA,IIA,717.0,566.0,493.0,575,894.0,708.0,599.0,712,48,84,56,10,198
376,2126,Berklee_College_of_Music,MA,IIB,504.0,402.0,329.0,381,605.0,491.0,405.0,466,17,59,61,2,139
377,2128,Boston_College,MA,I,784.0,569.0,496.0,614,964.0,717.0,604.0,761,165,245,126,10,556
378,2132,Bradford_College,MA,IIB,447.0,352.0,310.0,346,557.0,450.0,384.0,435,9,18,8,6,41
379,2133,Brandeis_University,MA,I,687.0,493.0,403.0,550,859.0,619.0,496.0,686,142,71,40,3,299
380,2139,Clark_University,MA,IIA,664.0,469.0,395.0,522,822.0,593.0,488.0,651,58,64,38,0,160
381,2140,Collof_Our_Lady_of_the_Elms,MA,IIB,431.0,353.0,305.0,342,524.0,429.0,371.0,415,10,18,19,5,52
382,2141,College_of_the_Holy_Cross,MA,IIB,695.0,506.0,406.0,519,875.0,627.0,500.0,644,44,84,54,4,186
383,2146,Emerson_College,MA,IIA,669.0,502.0,386.0,488,874.0,652.0,494.0,632,21,33,35,3,92
384,2153,Gordon_College,MA,IIB,432.0,352.0,319.0,381,578.0,467.0,424.0,505,35,18,13,5,71
385,2155,Harvard_University,MA,I,1009.0,559.0,500.0,793,1236.0,723.0,653.0,989,654,149,255,8,1172
386,2158,Lasell_College,MA,IIB,,336.0,322.0,320,,403.0,389.0,387,3,7,13,4,27
387,2161,Univ_of_Mass_at_Lowell,MA,I,664.0,539.0,464.0,587,805.0,662.0,577.0,717,223,191,52,10,476
388,2178,Massachusetts_Inst_of_Tech,MA,I,903.0,637.0,528.0,757,1124.0,806.0,678.0,951,583,177,164,36,989
389,2183,Bridgewater_State_College,MA,IIA,517.0,440.0,400.0,468,672.0,583.0,542.0,617,144,53,41,17,255
390,2184,Fitchburg_State_College,MA,IIA,512.0,429.0,395.0,444,644.0,540.0,501.0,560,87,56,70,11,224
391,2187,North_Adams_State_College,MA,IIB,510.0,394.0,361.0,428,642.0,507.0,468.0,546,34,34,21,2,91
392,2189,Westfield_State_College,MA,IIA,523.0,419.0,378.0,457,662.0,530.0,478.0,578,79,46,44,0,169
393,2190,Worcester_State_College,MA,IIA,528.0,456.0,370.0,463,669.0,585.0,483.0,593,81,44,30,13,168
394,2192,Mount_Holyoke_College,MA,IIB,694.0,505.0,400.0,541,866.0,645.0,496.0,678,73,47,51,3,191
395,2199,Northeastern_University,MA,I,688.0,525.0,460.0,543,880.0,689.0,599.0,705,236,260,176,0,730
396,2206,Regis_College,MA,IIB,504.0,425.0,345.0,407,627.0,542.0,426.0,513,9,20,14,1,46
397,2208,Simmons_College,MA,IIA,589.0,471.0,386.0,477,724.0,592.0,482.0,593,54,54,53,6,167
398,2209,Smith_College,MA,IIA,732.0,514.0,405.0,591,932.0,646.0,502.0,747,127,70,59,6,262
399,2210,Univ_of_Mass-Dartmouth,MA,IIA,572.0,482.0,420.0,526,722.0,611.0,535.0,665,203,61,32,1,321
400,2211,Springfield_College,MA,IIA,520.0,404.0,321.0,376,643.0,501.0,399.0,467,34,45,78,17,174
401,2217,Stonehill_College,MA,IIB,513.0,428.0,354.0,423,657.0,541.0,458.0,539,24,56,36,0,116
402,2218,Suffolk_University,MA,IIA,727.0,548.0,484.0,611,925.0,706.0,599.0,777,111,73,33,15,232
403,2219,Tufts_University,MA,I,735.0,549.0,447.0,592,964.0,710.0,607.0,777,148,157,98,2,405
404,2221,Univ_Massachussets-Amherst,MA,I,704.0,537.0,438.0,607,880.0,680.0,557.0,762,650,306,146,7,1172
405,2222,Univ_Massachusetts-Boston,MA,IIA,656.0,543.0,445.0,549,813.0,679.0,563.0,686,154,186,100,1,473
406,2224,Wellesley_College,MA,IIB,757.0,550.0,453.0,603,988.0,712.0,570.0,779,97,44,74,4,222
407,2226,Western_New_England_College,MA,IIA,659.0,497.0,437.0,543,823.0,632.0,545.0,682,54,42,29,6,131
408,2227,Wheaton_College,MA,IIB,602.0,435.0,357.0,486,740.0,539.0,448.0,601,44,16,25,6,91
409,2228,Wheelock_College,MA,IIA,545.0,420.0,362.0,415,662.0,518.0,433.0,505,8,20,20,1,49
410,2229,Williams_College,MA,IIB,707.0,503.0,417.0,543,923.0,669.0,566.0,719,77,36,88,0,213
411,2233,Worcester_Polytechnic_Inst,MA,IIA,659.0,527.0,451.0,546,842.0,680.0,557.0,693,75,70,58,4,212
412,1436,Capitol_College,MD,IIB,,344.0,,352,,406.0,,416,5,7,5,0,17
413,2062,Bowie_State_University,MD,IIA,510.0,433.0,349.0,401,647.0,554.0,452.0,515,31,28,51,14,127
414,2065,College_of_Notre_Dame_of_Md,MD,IIB,443.0,377.0,309.0,362,493.0,441.0,365.0,419,19,25,29,3,76
415,2067,Columbia_Union_College,MD,IIB,308.0,297.0,293.0,296,344.0,329.0,325.0,329,17,9,11,5,42
416,2068,Coppin_State_College,MD,IIB,557.0,435.0,366.0,431,707.0,559.0,476.0,554,26,32,36,4,103
417,2072,Frostburg_State_University,MD,IIA,498.0,423.0,366.0,416,646.0,538.0,468.0,530,76,56,70,8,228
418,2073,Goucher_College,MD,IIB,529.0,387.0,358.0,411,661.0,489.0,452.0,518,21,27,23,4,75
419,2076,Hood_College,MD,IIA,516.0,425.0,352.0,402,665.0,530.0,434.0,502,14,21,40,1,76
420,2077,Johns_Hopkins_University,MD,I,798.0,542.0,435.0,593,972.0,677.0,551.0,734,330,110,160,52,767
421,2078,Loyola_College_in_Maryland,MD,IIA,632.0,500.0,397.0,482,802.0,640.0,511.0,617,50,76,89,5,222
422,2083,Morgan_State_University,MD,IIA,594.0,517.0,439.0,450,743.0,651.0,558.0,571,26,41,91,42,229
423,2086,Mount_Saint_Marys_Coll_and_Sem,MD,IIB,465.0,384.0,311.0,358,563.0,487.0,382.0,448,14,29,34,4,85
424,2091,Salisbury_State_University,MD,IIA,543.0,445.0,357.0,404,679.0,562.0,458.0,513,54,63,78,8,240
425,2092,Saint_Johns_College-Main,MD,IIB,,,,437,,,,572,0,0,0,0,43
426,2095,StMarys_Collof_Maryland,MD,IIB,560.0,426.0,347.0,426,686.0,533.0,430.0,526,24,35,29,9,97
427,2099,Towson_State_University,MD,IIA,531.0,433.0,388.0,439,692.0,565.0,505.0,573,141,136,169,25,471
428,2101,U_S_Naval_Academy,MD,IIB,595.0,455.0,377.0,492,721.0,556.0,466.0,600,125,100,67,7,299
429,2102,University_of_Baltimore,MD,IIA,680.0,560.0,490.0,582,833.0,693.0,612.0,719,62,50,54,0,166
430,2103,Univof_Maryland-Coll_Park,MD,I,703.0,487.0,406.0,539,865.0,608.0,505.0,669,535,388,163,133,1285
431,2105,Univof_Maryland-BaltoCo,MD,I,638.0,455.0,395.0,464,783.0,571.0,491.0,577,87,119,104,32,353
432,2106,Univof_Maryland-Estrn_Shore,MD,IIA,500.0,455.0,388.0,379,630.0,572.0,493.0,482,8,33,25,5,113
433,2108,Washington_College,MD,IIB,496.0,419.0,348.0,443,637.0,532.0,421.0,562,33,12,15,0,60
434,2109,Western_Maryland_College,MD,IIB,477.0,379.0,313.0,412,612.0,489.0,400.0,530,36,30,10,3,79
435,2033,Univof_Maine_at_Presque_Isl,ME,IIB,439.0,354.0,302.0,343,562.0,453.0,389.0,440,15,19,25,4,67
436,2036,Bates_College,ME,IIB,671.0,490.0,404.0,518,824.0,600.0,494.0,635,45,31,45,6,127
437,2038,Bowdoin_College,ME,IIB,738.0,527.0,418.0,554,918.0,651.0,503.0,682,41,40,35,4,123
438,2039,Colby_College,ME,IIB,745.0,515.0,383.0,524,904.0,622.0,453.0,629,43,33,60,4,140
439,2040,Univof_Maine_at_Farmington,ME,IIB,464.0,348.0,292.0,385,594.0,448.0,377.0,496,47,26,13,14,101
440,2041,Univof_Maine_at_Fort_Kent,ME,IIB,436.0,347.0,320.0,356,555.0,442.0,415.0,456,9,10,12,2,33
441,2043,Husson_College,ME,IIB,407.0,358.0,302.0,334,454.0,401.0,338.0,374,12,13,18,6,49
442,2050,University_of_New_England,ME,IIA,450.0,380.0,323.0,354,545.0,468.0,396.0,434,11,22,39,4,76
443,2051,Saint_Josephs_College,ME,IIB,,321.0,283.0,295,,391.0,353.0,370,4,8,33,0,45
444,2052,Thomas_College,ME,IIB,,338.0,297.0,318,,404.0,341.0,374,2,7,8,0,17
445,2053,Univof_Maine_at_Orono,ME,I,574.0,436.0,366.0,449,716.0,552.0,463.0,566,122,197,102,19,452
446,2055,Univof_Maine_at_Machias,ME,IIB,465.0,355.0,284.0,360,582.0,459.0,366.0,462,7,24,8,0,39
447,6858,Unity_College,ME,IIB,355.0,261.0,261.0,285,418.0,313.0,313.0,340,8,7,16,0,31
448,9762,Univof_Maine_at_Southern,ME,IIA,584.0,439.0,362.0,459,724.0,558.0,459.0,578,78,144,61,7,291
449,2234,Adrian_College,MI,IIB,439.0,365.0,316.0,386,559.0,466.0,407.0,493,37,8,14,7,66
450,2235,Albion_College,MI,IIB,562.0,443.0,346.0,462,716.0,573.0,437.0,589,47,27,33,2,109
451,2236,Alma_College,MI,IIB,523.0,408.0,335.0,422,645.0,515.0,423.0,527,25,27,21,2,75
452,2239,Aquinas_College,MI,IIB,387.0,313.0,275.0,319,491.0,376.0,331.0,392,27,32,27,4,90
453,2241,Calvin_College,MI,IIB,471.0,410.0,363.0,446,604.0,527.0,461.0,571,152,33,20,7,212
454,2243,Central_Michigan_University,MI,IIA,588.0,460.0,397.0,490,768.0,612.0,534.0,648,230,191,137,23,581
455,2247,Concordia_College,MI,IIB,342.0,304.0,257.0,289,428.0,377.0,340.0,369,10,12,15,3,40
456,2252,William_Tyndale_College,MI,IIB,309.0,,,295,377.0,,,362,1,2,4,0,7
457,2259,Eastern_Michigan_University,MI,IIA,560.0,447.0,389.0,462,722.0,590.0,519.0,605,318,171,160,17,729
458,2260,Ferris_State_University,MI,IIA,546.0,470.0,409.0,467,713.0,631.0,566.0,628,143,160,151,10,477
459,2266,Grand_Rapids_Baptist_College,MI,IIB,353.0,287.0,254.0,283,474.0,376.0,326.0,371,9,19,12,4,44
