d3mIndex,att_1,att_2,class
792,0.32967,0.918129,-1.0
793,-0.835165,0.859649,-1.0
794,-0.824176,0.918129,-1.0
795,-0.604396,-0.146199,-1.0
796,0.571429,-0.777778,1.0
797,-0.824176,0.859649,-1.0
798,-0.472527,-0.824561,-1.0
799,0.307692,-0.578947,1.0
800,-0.747253,0.02924,-1.0
801,-0.142857,-0.555556,-1.0
802,0.461538,0.450292,1.0
803,0.483516,0.122807,-1.0
804,-0.450549,0.450292,-1.0
805,-0.142857,-0.754386,-1.0
806,-0.604396,0.076023,-1.0
807,0.714286,0.918129,-1.0
808,-0.153846,-0.426901,1.0
809,0.912088,-0.017544,1.0
810,0.054945,-0.368421,1.0
811,0.78022,-0.695906,1.0
812,-0.626374,0.099415,-1.0
813,0.89011,-0.380117,1.0
814,-0.626374,0.087719,-1.0
815,0.0,-0.74269,-1.0
816,-0.571429,0.263158,-1.0
817,-0.43956,-0.391813,1.0
818,0.142857,-0.812865,-1.0
819,-0.648352,-0.438596,-1.0
820,-0.021978,0.345029,-1.0
821,0.241758,0.532164,1.0
822,0.252747,-0.497076,1.0
823,-0.098901,-0.461988,1.0
824,-0.835165,0.438596,-1.0
825,-0.197802,-0.54386,-1.0
826,0.0,0.380117,-1.0
827,-0.593407,0.602339,-1.0
828,0.351648,-0.637427,1.0
829,-0.824176,0.508772,-1.0
830,0.538462,-0.859649,1.0
831,0.010989,0.403509,-1.0
832,-0.78022,1.0,-1.0
833,-0.857143,0.54386,-1.0
834,-0.626374,-0.415205,-1.0
835,-0.483516,0.450292,-1.0
836,0.78022,0.754386,-1.0
837,1.0,0.649123,-1.0
838,-0.010989,0.403509,-1.0
839,0.494505,-0.625731,1.0
840,0.78022,-0.28655,1.0
841,0.230769,-0.871345,-1.0
842,-0.307692,-0.333333,1.0
843,-0.615385,0.847953,-1.0
844,-0.241758,-0.28655,1.0
845,0.274725,0.789474,-1.0
846,-0.043956,-0.836257,-1.0
847,0.0,-0.953216,-1.0
848,0.472527,-0.578947,1.0
849,-0.714286,-0.719298,-1.0
850,-0.208791,-0.415205,1.0
851,-0.076923,0.789474,1.0
852,-0.054945,0.80117,1.0
853,-0.505495,0.087719,-1.0
854,0.868132,-0.637427,1.0
855,0.868132,0.251462,1.0
856,-0.054945,0.567251,1.0
857,0.043956,0.730994,1.0
858,0.835165,-0.076023,1.0
859,0.428571,0.953216,-1.0
860,-0.912088,0.28655,-1.0
861,0.142857,0.005848,-1.0
