d3mIndex,User_country,Nr._reviews,Nr._hotel_reviews,Helpful_votes,Score_target,Period_of_stay,Traveler_type,Pool,Gym,Tennis_court,Spa,Casino,Free_internet,Hotel_name,Hotel_stars,Nr._rooms,User_continent,Member_years,Review_month,Review_weekday
149,USA,17.0,17.0,74.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,10.0,March,Saturday
150,Ireland,23.0,7.0,21.0,4.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,April,Thursday
151,USA,102.0,17.0,45.0,5.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,2.0,April,Monday
152,Germany,113.0,15.0,55.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,8.0,May,Thursday
153,USA,30.0,8.0,10.0,2.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,May,Wednesday
154,Germany,24.0,24.0,24.0,2.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,June,Wednesday
155,Ireland,15.0,5.0,18.0,5.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,3.0,June,Wednesday
156,USA,6.0,4.0,14.0,1.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,July,Wednesday
157,Australia,3.0,3.0,0.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,7.0,July,Tuesday
158,Canada,41.0,10.0,56.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,4.0,August,Saturday
159,USA,19.0,8.0,56.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,10.0,August,Sunday
160,UK,18.0,9.0,10.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,1.0,September,Wednesday
161,Norway,6.0,6.0,7.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,September,Tuesday
162,USA,103.0,5.0,98.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,7.0,October,Monday
163,UK,18.0,4.0,16.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,0.0,October,Friday
164,Egypt,9.0,7.0,7.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Africa,5.0,November,Wednesday
165,USA,50.0,19.0,45.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,0.0,November,Friday
166,Canada,4.0,3.0,8.0,2.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,8.0,December,Tuesday
167,USA,7.0,3.0,8.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,5.0,December,Sunday
168,Mexico,28.0,23.0,31.0,3.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,4.0,January,Friday
169,USA,32.0,6.0,11.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,10.0,January,Friday
170,Canada,4.0,0.0,4.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,9.0,February,Friday
171,USA,37.0,8.0,9.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,3.0,February,Tuesday
172,Canada,10.0,3.0,7.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,6.0,March,Wednesday
173,Canada,36.0,30.0,80.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,8.0,March,Friday
174,USA,31.0,10.0,14.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,5.0,April,Sunday
175,Canada,66.0,33.0,60.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,10.0,April,Saturday
176,France,17.0,4.0,8.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Europe,0.0,May,Saturday
177,UK,57.0,20.0,71.0,5.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Europe,0.0,May,Friday
178,USA,42.0,8.0,22.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,6.0,June,Monday
179,USA,28.0,20.0,14.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,8.0,June,Friday
180,Spain,19.0,8.0,10.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Europe,3.0,July,Wednesday
181,USA,20.0,11.0,21.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,9.0,July,Friday
182,UK,75.0,19.0,93.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Europe,8.0,August,Sunday
183,USA,91.0,16.0,26.0,4.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,3.0,August,Wednesday
184,UK,52.0,48.0,78.0,3.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Europe,8.0,September,Saturday
185,USA,93.0,4.0,8.0,5.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,2.0,September,Saturday
186,Canada,9.0,3.0,15.0,5.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,1.0,October,Wednesday
187,Australia,5.0,3.0,9.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Oceania,2.0,October,Thursday
188,Singapore,37.0,7.0,10.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,Asia,0.0,November,Sunday
189,Brazil,31.0,25.0,35.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,South America,7.0,November,Sunday
190,USA,6.0,4.0,4.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,7.0,December,Thursday
191,USA,252.0,55.0,113.0,4.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,8.0,December,Monday
192,USA,164.0,48.0,82.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,4.0,January,Saturday
193,USA,5.0,3.0,9.0,5.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,4.0,January,Tuesday
194,Canada,7.0,5.0,20.0,4.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,3.0,February,Saturday
195,USA,18.0,11.0,15.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,7.0,February,Tuesday
196,USA,20.0,13.0,16.0,5.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,6.0,March,Friday
197,USA,21.0,5.0,12.0,4.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,8.0,March,Monday
198,USA,125.0,35.0,48.0,5.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,4.0,April,Sunday
199,USA,11.0,7.0,10.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,1.0,April,Monday
200,Singapore,16.0,10.0,16.0,3.0,Mar-May,Solo,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Asia,7.0,May,Monday
201,UK,19.0,5.0,5.0,5.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Europe,3.0,May,Monday
202,USA,73.0,27.0,365.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,6.0,June,Wednesday
203,USA,5.0,4.0,4.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,11.0,June,Wednesday
204,USA,30.0,10.0,17.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,3.0,July,Monday
205,Canada,7.0,4.0,10.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,3.0,July,Sunday
206,Canada,67.0,46.0,99.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,6.0,August,Sunday
207,Finland,18.0,13.0,25.0,5.0,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Europe,9.0,August,Saturday
208,Canada,12.0,7.0,11.0,2.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,4.0,September,Monday
209,Canada,40.0,12.0,26.0,5.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,7.0,September,Saturday
210,USA,142.0,17.0,31.0,4.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,3.0,October,Monday
211,UK,8.0,4.0,16.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Europe,7.0,October,Saturday
212,Costa Rica,15.0,9.0,3.0,5.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,2.0,November,Monday
213,UK,2.0,18.0,14.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Europe,8.0,November,Wednesday
214,UK,10.0,6.0,10.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,Europe,5.0,December,Tuesday
215,USA,16.0,13.0,55.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Wynn Las Vegas,5.0,2700.0,North America,9.0,December,Tuesday
216,UK,21.0,7.0,13.0,5.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Europe,10.0,January,Tuesday
217,India,69.0,58.0,41.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Asia,5.0,January,Saturday
218,USA,33.0,13.0,8.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,5.0,February,Wednesday
219,USA,1.0,0.0,2.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,0.0,February,Tuesday
220,USA,49.0,8.0,23.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,5.0,March,Monday
221,USA,775.0,52.0,255.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,2.0,March,Wednesday
222,United Arab Emirates,16.0,7.0,6.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Asia,7.0,April,Monday
223,USA,1.0,0.0,1.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,0.0,April,Wednesday
224,Singapore,19.0,11.0,17.0,4.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Asia,7.0,May,Friday
225,Brazil,7.0,4.0,8.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,South America,7.0,May,Sunday
226,USA,38.0,18.0,16.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,8.0,June,Sunday
227,USA,48.0,14.0,30.0,5.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,9.0,June,Wednesday
228,Canada,136.0,20.0,55.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,3.0,July,Sunday
229,USA,26.0,8.0,1.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,6.0,July,Monday
230,Iran,3.0,3.0,2.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Asia,4.0,August,Sunday
231,USA,78.0,17.0,24.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,5.0,August,Monday
232,UK,24.0,18.0,12.0,5.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Europe,0.0,September,Thursday
233,Egypt,2.0,0.0,15.0,1.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Africa,1.0,September,Monday
234,Ireland,4.0,3.0,3.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Europe,11.0,October,Thursday
235,Australia,11.0,7.0,17.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Oceania,2.0,October,Saturday
236,Germany,1.0,0.0,1.0,2.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Europe,0.0,November,Wednesday
237,Australia,35.0,16.0,17.0,4.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,Oceania,2.0,November,Tuesday
238,USA,110.0,19.0,76.0,4.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,2.0,December,Tuesday
239,USA,53.0,25.0,24.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Trump International Hotel Las Vegas,5.0,1282.0,North America,3.0,December,Sunday
240,Saudi Arabia,320.0,45.0,102.0,3.0,Dec-Feb,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
241,USA,2.0,0.0,2.0,4.0,Dec-Feb,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
242,USA,26.0,6.0,12.0,5.0,Dec-Feb,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
243,USA,4.0,4.0,0.0,5.0,Dec-Feb,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
244,USA,9.0,9.0,6.0,2.0,Mar-May,Solo,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
245,USA,17.0,14.0,70.0,5.0,Mar-May,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
246,Canada,3.0,0.0,1.0,5.0,Mar-May,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
247,Canada,14.0,0.0,4.0,2.0,Mar-May,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
248,USA,235.0,111.0,267.0,5.0,Mar-May,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
249,USA,59.0,9.0,21.0,5.0,Mar-May,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
250,USA,2.0,0.0,2.0,5.0,Jun-Aug,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
251,USA,2.0,0.0,1.0,5.0,Jun-Aug,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
252,USA,21.0,18.0,53.0,5.0,Jun-Aug,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
253,USA,4.0,0.0,16.0,1.0,Jun-Aug,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
254,Netherlands,184.0,52.0,70.0,5.0,Jun-Aug,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
255,UK,262.0,75.0,150.0,4.0,Jun-Aug,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
256,USA,69.0,11.0,17.0,5.0,Sep-Nov,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
257,Australia,92.0,12.0,27.0,4.0,Sep-Nov,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
258,USA,131.0,61.0,116.0,3.0,Sep-Nov,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
259,Norway,25.0,10.0,16.0,5.0,Sep-Nov,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
260,Canada,49.0,22.0,53.0,3.0,Sep-Nov,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
261,USA,148.0,33.0,55.0,4.0,Sep-Nov,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
262,Canada,26.0,7.0,22.0,4.0,Dec-Feb,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
263,USA,13.0,4.0,1.0,4.0,Dec-Feb,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4.0,,,,,
264,Thailand,3.0,3.0,20.0,1.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Asia,5.0,January,Tuesday
265,USA,46.0,12.0,87.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,3.0,January,Tuesday
266,UK,127.0,40.0,81.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,8.0,February,Thursday
267,USA,15.0,5.0,12.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,4.0,February,Sunday
268,USA,16.0,14.0,23.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,7.0,March,Friday
269,USA,113.0,38.0,27.0,4.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,1.0,March,Tuesday
270,UK,7.0,5.0,5.0,3.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,7.0,April,Monday
271,Honduras,73.0,32.0,99.0,4.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,South America,10.0,April,Thursday
272,USA,35.0,12.0,3.0,5.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,2.0,May,Friday
273,UK,139.0,20.0,86.0,5.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,5.0,May,Monday
274,UK,28.0,12.0,30.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,2.0,June,Saturday
275,USA,34.0,8.0,26.0,4.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,4.0,June,Tuesday
276,USA,4.0,3.0,5.0,5.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,3.0,July,Thursday
277,USA,32.0,11.0,14.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,3.0,July,Sunday
278,UK,9.0,3.0,4.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,1.0,August,Thursday
279,USA,333.0,58.0,200.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,4.0,August,Sunday
280,USA,29.0,11.0,15.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,6.0,September,Monday
281,UK,85.0,43.0,68.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,5.0,September,Wednesday
282,USA,12.0,5.0,1.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,5.0,October,Friday
283,UK,34.0,10.0,7.0,4.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Europe,4.0,October,Thursday
284,India,13.0,7.0,8.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,Asia,5.0,November,Sunday
285,USA,5.0,5.0,14.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,5.0,November,Sunday
286,USA,169.0,25.0,41.0,5.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,8.0,December,Tuesday
287,USA,11.0,10.0,6.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Encore at wynn Las Vegas,5.0,2034.0,North America,7.0,December,Tuesday
288,USA,4.0,3.0,2.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
289,USA,50.0,39.0,48.0,2.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
290,Mexico,10.0,3.0,1.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
291,Canada,7.0,4.0,4.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
292,UK,60.0,7.0,42.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
293,Netherlands,92.0,49.0,18.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
294,Australia,106.0,37.0,58.0,4.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
295,Canada,7.0,5.0,45.0,4.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
296,Brazil,37.0,31.0,38.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
297,USA,70.0,25.0,19.0,1.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
298,USA,9.0,3.0,4.0,5.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
299,USA,11.0,6.0,7.0,5.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
300,Finland,39.0,18.0,9.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
301,UK,10.0,0.0,9.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
302,USA,78.0,17.0,24.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
303,UK,48.0,21.0,19.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
304,Canada,112.0,34.0,41.0,5.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
305,USA,28.0,17.0,14.0,5.0,Sep-Nov,Solo,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
306,UK,11.0,3.0,16.0,2.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
307,USA,9.0,5.0,11.0,4.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
308,USA,4.0,4.0,1.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
309,Mexico,22.0,15.0,25.0,4.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
310,USA,42.0,11.0,36.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
311,Australia,20.0,16.0,9.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand Vacations on the Boulevard,3.0,,,,,
312,Canada,160.0,34.0,88.0,4.0,Dec-Feb,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
313,USA,372.0,78.0,169.0,4.0,Dec-Feb,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
