d3mIndex,pm10_concentration,cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day
422,1.94591,6.14419,0.2,3.1,0.1,73.0,9,56
423,4.36945,5.14749,-9.0,1.3,0.4,77.0,2,88
424,4.70048,7.66388,16.8,6.0,-1.1,272.0,14,205
425,2.48491,5.8944,2.8,4.7,0.0,66.0,2,574
426,1.60944,7.61085,-0.1,6.6,-0.3,205.2,14,489
427,3.78419,7.52294,-12.5,0.8,-0.4,232.0,19,463
428,1.94591,4.82831,-7.8,3.7,0.1,58.4,4,407
429,3.09104,7.54908,0.9,1.0,-0.6,213.1,12,484
430,3.21888,7.75833,-4.2,4.6,-0.1,78.0,10,120
431,2.48491,7.50659,21.9,3.6,-2.5,264.1,19,608
432,2.19722,6.07764,-10.1,2.8,0.0,73.0,1,89
433,4.93447,7.01571,-9.4,1.2,0.0,73.8,23,437
434,4.04305,7.59488,11.2,1.7,-2.0,236.0,12,188
435,4.51086,8.20576,1.8,3.2,0.2,216.6,8,551
436,1.94591,4.59512,0.5,5.5,0.1,354.0,4,171
437,3.09104,8.23297,-2.2,1.6,-0.3,211.7,16,501
438,4.60517,8.31532,-0.1,5.2,-0.8,79.0,8,555
439,3.63759,7.57096,8.4,5.4,-1.8,240.0,11,163
440,3.46574,7.61036,0.9,3.0,-0.7,340.0,12,142
441,3.8712,8.21528,-2.9,1.4,-0.2,113.4,8,521
442,5.15329,8.19146,2.3,2.5,0.6,16.0,17,44
443,3.04452,7.67322,-1.4,4.4,-0.1,38.1,14,410
444,3.49651,7.78655,0.4,1.5,-0.1,110.0,13,124
445,2.56495,4.69135,-11.3,2.5,1.2,82.0,5,87
446,3.85015,7.629,0.1,3.9,-0.2,70.7,14,506
447,2.48491,5.49717,-5.0,4.0,-0.1,75.4,5,440
448,2.07944,6.57368,1.6,2.0,1.2,212.7,6,472
449,2.99573,7.90618,-2.8,2.3,-0.1,205.0,20,511
450,1.38629,6.55251,-3.5,3.9,-0.1,46.3,24,409
451,3.17805,8.22013,2.0,3.5,-0.2,82.0,8,64
452,2.19722,5.42935,2.4,3.6,0.1,125.0,5,128
453,3.55535,7.89096,7.1,3.4,-0.3,82.5,19,571
454,3.8712,8.02453,-2.7,1.4,1.6,66.0,9,73
455,3.4012,7.14283,-1.3,1.2,0.6,66.0,21,113
456,3.04452,7.97039,5.5,3.9,-0.5,231.0,14,131
457,4.34381,6.65801,5.5,1.1,0.9,138.0,24,199
458,2.3979,7.10003,-4.0,5.8,-0.4,78.4,11,399
459,2.63906,7.65681,-0.2,2.4,0.0,41.0,19,157
460,2.56495,4.70953,-2.8,1.8,1.4,198.9,3,537
461,3.3322,5.60212,3.8,3.9,-0.2,85.0,5,187
462,2.56495,7.85127,0.2,2.8,0.1,78.0,17,112
463,3.68888,7.89655,12.8,6.8,-0.6,227.7,15,583
464,2.3979,7.20638,-0.8,1.6,1.7,192.6,22,469
465,2.3979,4.89035,-10.8,1.5,0.2,57.0,3,460
466,4.68213,7.56735,-10.2,0.6,2.4,110.8,10,465
467,3.04452,7.61135,0.8,3.1,-0.1,65.6,19,429
468,3.04452,6.66823,4.1,1.4,0.2,139.8,24,572
469,2.19722,5.0689,4.3,4.9,0.1,82.0,2,212
470,3.17805,7.46107,-2.8,1.4,-0.1,243.0,20,102
471,4.48864,7.68018,-0.4,0.8,2.6,147.0,21,49
472,2.30259,7.80344,2.4,3.9,0.2,14.3,20,574
473,3.29584,8.26256,3.4,0.9,0.3,228.0,16,109
474,3.17805,7.6695,12.1,2.8,-3.2,256.0,13,203
475,4.06044,5.33272,-2.5,2.0,1.3,80.7,3,532
476,4.15888,6.30992,-4.5,2.0,0.3,90.0,24,100
477,3.09104,6.67456,2.2,7.1,0.1,37.9,6,557
478,4.41884,8.09316,-4.7,1.4,1.2,276.8,18,445
479,2.89037,6.56667,0.1,2.1,-0.2,247.4,6,543
480,1.09861,5.83481,-5.8,7.7,0.1,47.0,7,90
481,3.43399,7.794,3.3,4.3,0.8,217.0,17,105
482,3.52636,7.76089,2.0,1.7,1.1,234.0,15,121
483,3.13549,7.67276,1.3,4.2,0.2,169.0,10,61
484,2.19722,7.979,1.4,5.0,-0.1,40.7,9,480
485,3.13549,7.78406,6.1,1.9,0.4,171.0,21,210
486,2.07944,5.95842,-3.1,4.2,-0.1,52.5,2,426
487,3.63759,4.54329,-11.5,1.7,3.7,90.4,4,465
488,3.73767,5.62762,-6.6,1.0,-0.1,200.0,2,445
489,2.48491,5.66643,-3.8,2.1,0.6,73.0,3,77
490,1.94591,7.54539,6.5,9.4,-0.9,250.0,11,160
491,1.94591,6.23832,-0.4,3.3,0.3,215.1,24,470
492,2.77259,4.56435,-6.3,2.0,2.3,223.0,3,148
493,2.70805,6.58203,2.2,1.8,0.1,64.2,6,549
494,1.79176,5.31321,-4.9,4.2,0.3,353.0,2,117
495,2.30259,5.61677,-1.3,2.8,-0.1,65.2,1,486
496,4.11087,7.7111,-5.1,0.7,0.3,60.0,10,99
497,3.4012,6.2519,0.1,1.0,0.2,87.0,24,111
498,3.68888,7.85516,6.5,5.2,-0.2,69.0,19,196
499,4.17439,8.24512,8.6,1.6,-1.0,258.8,15,530
