d3mIndex,col_1,col_2,col_3,col_4,col_5,col_6
496,NYG__PHA,-1,0.0,1.0,15.0,91.0
497,HOU__PIT,1,0.0,1.0,15.0,91.0
498,WAS__PHX,-1,0.0,0.0,15.0,91.0
499,ATL__LAN,1,0.0,0.0,15.0,91.0
500,LAA__BUF,-1,0.0,1.0,15.0,91.0
501,DET__NYJ,1,0.0,1.0,15.0,91.0
502,MIN__TB,-1,1.0,0.0,15.0,91.0
503,MIA__CIN,1,2.0,1.0,15.0,91.0
504,CHI__TB,1,4.0,1.0,16.0,91.0
505,NYJ__NE,-1,0.0,1.0,16.0,91.0
506,PIT__CIN,1,0.0,1.0,16.0,91.0
507,PHA__DAL,-1,0.0,1.0,16.0,91.0
508,ATL__SEA,1,0.0,1.0,16.0,91.0
509,DET__GB,1,0.0,0.0,16.0,91.0
510,HOU__CLE,0,0.0,0.0,16.0,91.0
511,DEN__PHX,-1,0.0,1.0,16.0,91.0
512,MIN__LAN,-1,0.0,1.0,16.0,91.0
513,WAS__NYG,1,0.0,1.0,16.0,91.0
514,MIA__SD,-1,0.0,0.0,16.0,91.0
515,BUF__IND,1,1.0,0.0,16.0,91.0
516,HOU__NYG,-1,4.0,0.0,17.0,91.0
517,MIN__GB,-1,4.0,1.0,17.0,91.0
518,LAA__KC,-1,0.0,1.0,17.0,91.0
519,WAS__PHA,-1,0.0,0.0,17.0,91.0
520,DAL__ATL,1,0.0,1.0,17.0,91.0
521,PIT__CLE,1,0.0,1.0,17.0,91.0
522,MIA__NYJ,-1,0.0,1.0,17.0,91.0
523,BUF__DET,-1,0.0,1.0,17.0,91.0
524,DEN__SD,1,0.0,0.0,17.0,91.0
525,SEA__LAN,1,1.0,1.0,17.0,91.0
