d3mIndex,Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9,class
577,1,1,0,0,1,1,0,0,1,0,1
578,0,0,1,0,1,1,1,1,0,1,1
579,0,0,1,0,0,1,1,0,1,0,1
580,0,1,1,0,0,0,1,0,0,1,0
581,1,0,1,1,1,0,1,1,0,1,1
582,0,0,1,0,0,0,1,0,1,0,1
583,0,1,1,1,1,0,1,1,1,1,1
584,0,0,1,0,1,0,0,1,0,1,1
585,1,0,1,1,1,1,1,0,1,1,1
586,1,0,0,1,1,0,0,1,0,1,1
587,0,0,1,0,0,0,1,1,1,1,1
588,1,1,0,0,0,1,0,0,1,0,0
589,1,0,1,0,1,0,0,1,0,1,1
590,1,0,1,0,0,0,0,1,0,0,0
591,0,1,1,0,0,1,1,0,0,0,1
592,0,0,0,0,1,0,0,1,0,0,0
593,0,1,1,1,1,1,0,1,0,0,1
594,0,0,0,0,1,0,1,0,0,0,0
595,0,1,1,1,1,1,1,1,1,1,1
596,1,1,0,0,0,1,1,0,0,1,0
597,0,0,0,1,0,0,1,0,1,0,1
598,1,1,0,0,0,1,0,0,0,0,0
599,1,1,0,1,1,1,1,1,0,1,1
600,1,0,1,1,0,0,1,1,1,0,1
601,0,1,0,1,0,1,0,1,1,0,1
602,0,0,0,0,1,0,1,1,0,1,1
603,1,0,1,1,1,0,1,0,0,0,1
604,0,0,1,0,0,1,1,1,0,0,1
605,1,1,1,0,1,0,1,1,0,0,1
606,0,0,0,1,0,0,0,1,1,1,1
607,0,0,0,0,1,1,1,1,1,1,1
608,1,1,0,0,1,1,0,1,0,1,1
609,0,1,0,0,1,0,1,0,0,1,0
610,0,1,0,0,0,0,0,1,1,1,0
611,1,0,1,0,1,0,0,1,0,0,1
612,0,1,1,0,0,1,0,1,1,0,1
613,0,1,0,1,0,1,1,1,0,0,1
614,1,0,0,0,0,0,1,1,0,1,0
615,1,1,0,1,1,0,0,0,1,0,1
616,0,0,1,1,0,0,1,0,0,1,1
617,1,1,1,0,1,1,0,0,0,0,1
618,0,1,0,1,0,0,1,1,0,0,1
619,1,1,0,0,1,0,1,0,0,1,0
620,1,1,1,1,0,0,1,0,0,0,1
621,0,0,0,1,0,0,0,0,1,1,0
622,1,1,1,0,0,1,0,1,1,1,1
623,1,0,0,1,0,1,1,0,1,1,1
624,1,0,1,0,1,1,0,0,1,1,1
625,0,1,0,1,1,1,0,1,0,1,1
626,1,0,1,0,1,1,1,0,1,1,1
627,1,0,1,0,0,0,0,1,0,1,0
628,1,1,0,0,0,0,1,1,0,1,0
629,1,1,1,0,0,0,1,1,1,0,1
630,1,0,0,1,0,1,0,0,0,1,0
631,0,0,0,0,1,0,0,1,1,1,1
632,0,0,0,0,1,1,1,0,1,1,1
633,1,1,1,1,1,0,0,1,0,1,1
634,0,1,1,0,0,1,1,0,0,1,1
635,0,0,1,0,1,0,0,0,0,1,0
636,1,1,0,1,1,1,1,0,0,0,1
637,0,1,1,0,0,0,1,1,0,1,1
638,1,0,1,1,1,0,1,1,1,1,1
639,1,0,1,0,1,0,0,1,1,0,1
640,0,0,0,1,1,0,0,1,0,0,1
641,1,0,1,1,1,1,0,1,1,0,1
642,1,0,1,0,0,0,1,1,0,1,1
643,0,1,1,0,1,0,0,0,0,0,0
644,0,1,1,1,0,1,0,1,1,1,1
645,0,1,0,1,0,1,0,0,0,0,0
646,0,1,1,0,1,1,0,1,1,0,1
647,0,0,1,1,1,1,0,1,1,1,1
648,1,0,0,1,0,0,0,0,1,0,0
649,0,0,0,1,1,1,0,0,0,0,1
650,0,1,0,0,0,0,1,0,1,1,0
651,1,1,1,1,1,1,1,1,0,1,1
652,1,1,1,0,0,1,1,0,1,0,1
653,1,1,0,1,0,0,0,0,0,1,0
654,0,1,1,0,1,1,1,1,1,0,1
655,1,0,0,0,0,1,1,0,1,0,1
656,1,0,0,0,0,1,1,1,0,1,1
657,1,1,1,0,0,1,1,1,0,0,1
658,1,1,0,1,1,0,0,1,0,1,1
659,1,0,0,0,1,1,0,1,1,0,1
660,1,1,0,1,1,0,1,0,1,1,1
661,1,0,0,1,0,0,0,1,0,0,0
662,0,0,0,1,0,1,0,1,0,0,1
663,0,0,1,1,1,0,1,1,0,1,1
664,0,0,1,1,1,1,0,0,0,1,1
665,0,0,1,1,0,1,0,0,1,1,1
666,1,0,1,0,0,1,1,1,0,0,1
667,1,1,1,0,0,0,1,0,1,1,1
668,0,1,1,0,0,1,1,1,0,1,1
669,1,0,1,1,0,1,1,0,1,1,1
670,1,1,1,1,1,1,0,1,1,1,1
671,0,1,1,1,0,0,1,0,0,0,1
672,0,1,0,0,1,1,0,0,0,1,0
673,0,1,1,0,0,0,1,1,1,1,1
674,1,0,1,1,1,1,0,0,1,1,1
675,1,1,0,1,0,0,1,0,0,1,0
676,0,0,1,0,1,1,1,1,1,0,1
677,1,0,0,0,0,0,0,0,0,0,0
678,0,0,1,0,0,1,1,0,0,1,1
679,0,1,1,0,1,1,1,1,0,1,1
680,1,1,0,0,0,1,1,1,0,1,1
681,1,1,1,0,0,0,1,1,0,1,1
682,0,0,1,0,0,1,0,0,0,0,0
683,1,1,0,0,0,1,0,0,0,1,0
684,1,0,0,0,0,0,0,1,0,1,0
685,1,1,1,0,1,1,1,0,1,0,1
686,0,0,0,1,0,0,0,0,0,0,0
687,0,1,1,1,0,0,1,1,0,0,1
688,1,1,0,0,1,0,0,0,0,1,0
689,0,1,1,0,1,1,0,1,0,0,1
690,0,1,0,0,1,0,0,0,0,0,0
691,0,1,1,1,1,1,0,1,1,0,1
692,1,0,1,1,1,0,1,0,1,0,1
693,0,1,0,0,1,0,0,0,1,0,0
694,1,0,1,1,1,1,1,0,0,0,1
695,0,1,1,1,1,0,0,1,0,1,1
696,1,1,1,0,1,0,1,1,1,1,1
697,0,0,0,1,1,0,0,1,0,1,1
698,0,0,0,0,0,0,1,1,1,1,1
699,1,1,1,1,0,0,0,0,0,0,0
700,1,0,0,1,1,0,1,0,1,0,1
701,0,0,1,1,1,1,1,0,1,0,1
702,0,1,0,0,1,1,0,0,1,1,1
703,0,0,1,1,0,0,0,0,1,1,1
704,0,1,1,1,1,0,0,0,1,1,1
705,1,1,1,1,1,1,1,0,0,1,1
706,0,1,1,0,1,1,0,1,0,1,1
707,0,1,1,1,0,1,1,1,0,0,1
708,0,1,1,1,1,0,1,1,0,1,1
709,1,1,1,1,1,0,1,0,0,1,1
710,1,1,0,0,0,1,1,0,1,1,1
711,1,0,1,0,0,0,1,0,0,0,0
712,1,0,1,1,1,0,0,1,1,0,1
713,1,0,1,0,0,0,1,0,0,1,0
714,1,1,0,1,1,1,1,0,0,1,1
715,0,0,1,0,0,0,1,0,1,1,1
716,0,1,0,1,1,1,1,1,1,0,1
717,1,0,1,1,0,1,0,1,0,0,1
718,1,0,1,0,1,0,0,0,1,1,1
719,1,1,0,1,0,1,1,0,1,1,1
720,0,0,1,1,1,1,0,1,0,0,1
721,1,0,1,1,0,1,1,0,1,0,1
722,0,0,1,0,0,1,0,0,0,1,0
723,1,0,0,1,0,1,0,1,1,1,1
724,1,0,1,1,1,0,0,1,1,1,1
725,1,0,0,0,0,1,0,1,1,1,1
726,1,0,0,0,0,1,1,1,0,0,1
727,0,1,1,0,1,1,1,0,1,0,1
728,1,1,1,0,1,0,1,0,0,1,1
729,1,1,1,1,1,1,0,0,1,0,1
730,0,1,0,1,1,0,1,0,1,0,1
731,1,0,1,1,1,0,0,0,0,0,1
732,0,0,0,1,1,1,0,1,1,0,1
733,1,1,0,1,1,1,1,0,1,1,1
734,1,0,1,1,0,0,1,0,1,1,1
735,1,1,1,0,0,0,0,0,1,1,0
736,1,0,0,1,0,1,0,0,1,1,1
737,1,0,0,1,1,1,0,0,0,0,1
738,0,0,1,1,0,1,0,0,0,1,1
739,1,1,1,1,0,1,0,1,0,0,1
740,0,0,0,0,1,1,0,0,1,0,1
741,1,1,0,1,1,1,1,1,0,0,1
742,0,1,1,0,1,0,1,0,0,0,1
743,1,1,0,0,1,1,1,0,0,0,1
744,1,1,0,1,0,1,1,1,0,1,1
745,0,0,1,0,1,1,0,1,0,1,1
746,1,0,0,0,1,0,1,0,1,1,1
747,0,0,0,0,0,0,0,1,1,0,0
748,1,0,0,0,1,1,1,1,0,0,1
749,1,1,1,1,0,1,1,0,1,1,1
750,1,0,1,0,1,0,1,1,1,0,1
751,1,1,0,0,0,1,0,1,1,1,1
752,0,0,0,0,1,0,1,1,1,0,1
753,0,0,1,0,0,0,0,0,0,1,0
754,0,1,0,0,0,0,0,0,1,1,0
755,1,0,0,0,1,1,0,0,0,0,0
756,1,1,1,0,0,0,0,1,1,1,1
757,0,1,1,1,0,1,1,0,0,1,1
758,0,0,0,0,0,1,0,0,1,1,0
759,0,1,1,1,0,1,0,1,0,1,1
760,1,1,1,1,1,0,1,0,1,1,1
761,1,0,0,0,1,0,0,1,1,0,1
762,0,0,0,0,0,1,1,0,1,1,1
763,1,0,1,0,0,1,1,1,0,1,1
764,0,0,1,0,0,0,0,0,1,1,0
765,0,0,1,0,1,1,0,1,1,0,1
766,0,0,0,0,0,0,0,0,0,1,0
767,1,0,0,1,0,0,0,0,1,1,0
768,1,1,0,1,1,0,1,0,1,0,1
769,0,0,0,0,0,1,0,1,1,1,1
770,0,0,0,0,0,0,0,0,0,0,0
771,0,1,0,0,1,1,1,1,1,1,1
772,1,0,0,1,1,0,0,0,1,1,1
773,1,1,0,1,1,1,0,1,0,0,1
774,0,0,1,0,1,1,0,1,0,0,1
775,0,1,0,0,0,1,1,0,1,1,1
776,0,0,0,1,0,0,0,0,1,0,0
777,1,1,1,1,0,0,1,1,1,0,1
778,0,1,1,0,0,1,0,0,1,0,1
779,0,0,1,1,0,0,0,0,1,0,1
780,0,1,0,0,0,0,1,0,0,0,0
781,0,1,0,0,0,0,0,1,1,0,0
782,1,0,0,1,0,0,1,1,1,1,1
783,0,0,1,0,1,1,0,1,1,1,1
784,0,1,1,0,1,0,1,0,1,0,1
785,0,0,0,0,0,1,1,1,1,0,1
786,1,1,0,0,1,1,1,1,1,0,1
787,1,0,0,1,0,0,1,0,1,1,1
788,0,1,0,0,0,0,1,1,0,1,0
789,1,0,0,0,0,0,1,1,0,0,0
790,0,1,1,1,1,0,0,1,0,0,1
791,0,0,0,0,1,0,1,0,0,1,0
792,0,0,1,1,1,1,1,1,1,1,1
793,0,0,0,1,0,1,1,0,1,0,1
794,1,0,0,1,0,1,0,1,1,0,1
795,1,0,0,0,1,0,1,0,1,0,1
796,1,0,0,1,1,1,1,0,1,0,1
797,1,1,1,0,0,0,0,1,1,0,1
798,0,0,0,1,1,0,0,1,1,1,1
799,0,1,1,1,0,0,1,0,0,1,1
800,1,0,0,0,0,1,1,1,1,0,1
801,1,0,0,0,0,1,0,0,0,1,0
802,1,0,0,0,1,0,1,0,0,0,0
803,1,1,0,0,0,0,1,1,1,1,1
804,1,0,0,1,0,0,1,0,0,1,0
805,0,1,0,1,1,1,0,0,0,1,1
806,0,0,0,1,1,1,0,1,1,1,1
807,0,0,1,0,0,1,0,0,1,1,1
808,1,0,0,0,0,0,0,0,1,0,0
809,1,0,0,1,0,0,0,0,0,0,0
810,0,1,1,0,0,0,1,0,1,0,1
811,1,0,0,0,1,0,0,1,1,1,1
812,1,1,0,0,0,0,0,1,0,0,0
813,0,1,1,0,1,0,0,1,0,1,1
814,0,1,0,1,0,1,0,1,1,1,1
815,0,0,0,1,0,1,0,1,1,0,1
816,1,0,0,0,0,1,1,0,0,0,0
817,0,0,1,1,1,0,0,0,0,1,1
818,1,1,1,0,0,0,1,1,1,1,1
819,0,0,0,0,1,0,0,0,1,0,0
820,0,0,1,1,0,0,0,1,1,1,1
821,1,1,1,1,0,1,1,1,1,0,1
822,0,0,1,1,0,1,1,1,0,1,1
823,0,1,0,1,1,1,0,0,1,0,1
824,1,1,1,0,0,0,0,0,0,1,0
825,0,0,1,0,1,0,1,1,0,0,1
826,1,1,0,0,0,1,0,1,0,1,0
827,1,1,0,1,0,0,1,1,1,1,1
828,1,0,0,1,1,1,0,1,1,0,1
829,0,0,1,0,0,1,0,1,0,1,1
830,1,0,1,1,1,0,0,1,0,1,1
831,0,0,1,0,0,1,0,1,0,0,1
832,1,1,1,0,0,1,0,0,0,0,0
833,1,1,0,0,0,0,0,0,0,1,0
834,0,1,1,1,1,1,0,1,0,1,1
835,1,0,1,0,1,1,0,1,0,1,1
836,1,1,1,1,0,1,1,1,0,0,1
837,1,1,0,1,0,0,0,0,1,1,0
838,1,1,0,1,1,1,0,0,1,1,1
839,0,1,1,0,0,0,1,0,1,1,1
840,0,0,1,1,0,0,0,0,0,1,0
841,0,1,0,0,1,1,0,0,0,0,0
842,1,1,0,1,0,0,1,0,1,1,1
843,1,1,0,0,1,1,0,1,1,1,1
844,1,0,1,0,1,0,0,1,1,1,1
845,1,0,0,1,1,0,1,0,0,0,1
846,1,0,0,1,0,0,0,1,1,0,1
847,0,1,0,1,0,0,0,0,0,1,0
848,0,0,1,0,1,1,1,1,1,1,1
849,1,1,0,1,1,1,0,0,0,1,1
850,0,1,1,1,0,0,1,1,0,1,1
851,1,0,0,1,1,0,1,1,1,1,1
852,1,0,0,1,1,1,0,1,1,1,1
853,1,1,0,1,0,1,1,1,1,0,1
854,1,0,0,0,1,0,1,1,1,0,1
855,1,1,0,0,1,1,0,1,0,0,1
856,0,1,1,1,1,1,0,0,0,1,1
857,1,0,1,0,1,0,0,0,0,1,0
858,0,1,1,0,0,0,0,1,1,0,1
859,0,1,1,1,1,0,1,1,1,0,1
860,0,0,0,0,0,0,0,1,0,0,0
861,1,0,1,1,1,0,0,0,1,1,1
862,1,1,1,0,0,1,0,1,1,0,1
863,0,0,1,0,1,0,0,0,1,1,1
864,0,1,0,1,1,0,0,0,0,1,0
865,0,1,0,0,1,0,1,0,1,1,1
866,1,0,1,0,1,1,0,1,1,0,1
867,1,1,1,0,1,1,0,0,1,0,1
868,0,1,1,0,0,1,1,1,0,0,1
869,1,0,1,0,1,1,1,1,1,0,1
870,0,1,1,1,1,1,0,0,1,0,1
871,1,1,0,0,0,0,0,1,0,1,0
872,0,0,0,1,0,1,1,0,0,1,1
873,0,1,0,1,0,0,0,0,1,1,0
874,0,1,1,1,1,1,0,0,1,1,1
875,0,0,0,0,1,0,0,1,0,1,0
876,1,0,1,0,1,1,0,0,0,0,1
877,1,1,1,0,0,1,0,1,0,1,1
878,1,0,1,1,1,0,0,0,0,1,1
879,1,0,1,0,1,1,0,1,1,1,1
880,1,1,0,0,1,0,0,1,1,1,1
881,1,0,0,1,0,0,1,0,0,0,0
882,0,1,0,0,0,1,0,0,0,0,0
883,0,1,1,0,0,0,0,1,0,1,0
884,0,0,0,0,1,0,0,1,1,0,1
885,0,0,0,0,1,1,1,0,0,0,1
886,0,1,0,0,0,0,1,0,0,1,0
887,1,1,1,0,1,0,1,1,0,1,1
888,1,1,1,1,0,1,1,0,1,0,1
889,1,1,0,1,0,1,0,0,1,0,1
890,0,0,0,1,0,0,1,1,1,1,1
891,0,1,1,1,0,0,0,0,1,0,1
892,0,0,1,1,0,0,0,1,1,0,1
893,0,0,0,0,0,1,0,0,0,0,0
894,1,1,1,0,0,0,1,1,0,0,1
895,1,1,0,0,0,1,1,0,0,0,0
896,0,0,0,1,0,0,1,1,0,1,1
897,0,0,1,1,1,0,1,0,1,1,1
898,1,1,0,1,1,0,0,1,1,0,1
899,0,1,0,1,1,1,0,1,0,0,1
900,0,1,1,0,1,1,0,0,0,0,1
901,1,0,0,0,1,1,1,0,1,0,1
902,1,1,0,0,0,0,1,0,0,0,0
903,1,1,0,0,0,0,0,1,1,1,0
904,0,0,0,0,1,0,1,0,1,1,1
905,0,1,0,0,0,0,0,0,0,1,0
906,0,1,1,1,0,0,0,0,1,1,1
907,1,0,0,1,0,0,1,0,1,0,1
908,0,1,0,1,0,0,1,1,1,1,1
909,0,1,0,0,1,0,1,1,1,0,1
910,0,1,1,0,1,1,0,1,1,1,1
911,0,0,1,1,0,1,1,1,0,0,1
912,0,1,0,0,0,1,1,1,1,0,1
913,1,0,0,0,0,0,0,0,0,1,0
914,0,0,1,1,1,0,0,1,0,1,1
915,1,1,1,1,1,1,0,1,0,0,1
916,0,0,1,0,0,1,1,0,1,1,1
917,1,1,1,0,0,1,0,0,0,1,0
918,1,1,1,0,0,0,1,0,0,0,0
919,1,1,0,1,0,1,0,1,0,1,1
920,0,1,0,1,0,1,0,1,0,1,1
921,1,1,0,1,0,0,0,1,1,1,1
922,1,0,0,1,1,0,0,1,1,1,1
923,1,0,1,1,1,0,1,0,1,1,1
924,1,1,0,1,0,1,1,0,0,1,1
925,0,0,0,1,0,0,1,0,1,1,1
926,0,1,1,1,1,0,1,0,0,0,1
927,0,1,0,0,0,1,1,0,0,0,0
928,0,0,0,0,0,0,1,1,0,1,0
929,1,1,1,0,0,1,1,1,1,1,1
930,1,0,0,0,0,1,0,0,0,0,0
931,0,0,0,1,1,0,0,0,1,0,1
932,1,0,1,0,1,0,1,0,1,0,1
933,0,0,1,1,1,0,0,0,1,0,1
934,1,1,1,0,0,0,0,1,0,1,0
935,1,1,0,1,1,0,0,0,0,1,0
936,0,0,0,0,1,1,0,1,1,0,1
937,1,0,1,1,0,1,1,1,0,1,1
938,0,1,1,0,1,0,1,1,1,1,1
939,0,1,0,0,0,1,1,0,0,1,0
940,0,1,1,1,0,0,0,0,0,0,0
941,0,1,0,1,0,1,0,0,0,1,0
942,1,1,1,1,1,0,0,0,0,1,1
943,0,1,0,1,0,1,0,0,1,1,1
944,0,1,0,0,1,0,1,0,1,0,1
945,1,1,0,1,0,0,0,1,0,1,0
946,1,0,0,0,1,1,0,0,1,0,1
947,1,1,0,1,0,0,0,0,0,0,0
948,0,0,1,0,1,1,0,0,0,1,1
949,0,0,0,0,0,0,0,0,1,0,0
950,0,1,0,1,0,1,1,1,0,1,1
951,0,0,0,0,1,1,0,0,1,1,1
952,0,1,0,1,1,0,1,1,0,0,1
953,1,1,1,1,1,1,1,0,1,1,1
954,0,1,1,0,0,1,0,0,1,1,1
955,1,1,0,0,1,0,0,0,0,0,0
956,0,0,0,0,0,1,0,1,0,1,0
957,1,1,0,0,1,1,0,0,0,0,0
958,1,1,0,1,1,0,0,0,1,1,1
959,1,0,1,1,0,0,0,1,1,1,1
960,0,1,0,1,0,1,1,0,1,0,1
961,0,1,0,1,0,0,1,1,0,1,1
962,0,0,1,0,1,1,0,0,0,0,1
963,0,1,1,0,0,1,1,1,1,1,1
964,0,1,1,1,1,0,1,0,1,1,1
965,1,0,1,1,0,1,0,1,1,0,1
966,1,1,0,1,0,1,0,0,1,1,1
967,0,1,1,0,1,1,1,0,1,1,1
968,1,0,1,1,0,1,0,1,0,1,1
969,0,0,0,1,1,1,1,1,0,0,1
970,1,1,0,0,1,0,1,0,1,0,1
971,1,0,0,1,0,1,1,0,0,1,1
972,1,1,1,0,1,1,1,1,0,1,1
973,0,0,0,1,0,0,1,1,0,0,1
974,0,0,0,0,0,0,1,0,0,0,0
975,1,0,1,0,0,1,0,0,0,1,0
976,1,1,1,1,1,0,0,1,0,0,1
977,1,1,0,1,0,0,1,0,0,0,0
978,0,1,1,1,1,1,1,1,0,0,1
979,0,1,1,1,1,0,1,0,1,0,1
980,1,1,1,1,0,0,1,0,1,1,1
981,0,0,1,1,1,0,0,1,0,0,1
982,1,1,1,1,1,1,0,0,0,0,1
983,0,1,0,1,0,1,0,1,0,0,1
984,1,0,0,1,0,0,0,1,0,1,0
985,0,0,0,1,0,1,0,0,0,1,0
986,0,0,0,0,0,0,1,0,1,1,0
987,0,1,0,1,1,0,0,1,1,1,1
988,0,0,1,1,1,1,0,0,0,0,1
989,1,0,0,1,1,0,1,0,0,1,1
990,1,1,0,1,1,0,1,1,1,0,1
991,0,1,0,1,0,0,0,0,1,0,0
992,0,0,0,0,0,0,0,1,1,1,0
993,1,1,0,0,1,1,0,0,1,1,1
994,0,1,1,0,1,0,0,1,1,1,1
995,0,1,0,0,0,1,0,0,1,1,0
996,1,0,0,0,0,1,0,1,1,0,1
997,1,0,0,1,1,1,1,0,1,1,1
998,0,0,1,0,0,0,1,1,0,0,1
999,0,0,1,0,1,1,0,0,1,0,1
1000,0,1,1,1,1,1,1,0,0,0,1
1001,1,1,0,0,1,0,0,1,0,0,0
1002,0,1,0,1,0,1,1,0,0,0,1
1003,0,0,1,1,0,1,1,0,1,1,1
1004,0,1,1,0,0,1,0,0,0,1,0
1005,1,1,1,0,1,0,0,0,0,1,0
1006,1,0,0,0,1,1,1,0,0,1,1
1007,1,0,0,0,1,0,1,1,1,1,1
1008,0,1,0,0,1,1,1,1,0,0,1
1009,1,0,0,0,0,0,0,1,1,0,0
1010,0,0,0,1,1,0,0,0,1,1,1
1011,0,1,1,1,0,1,0,0,0,0,1
1012,0,1,0,1,0,0,0,1,0,0,0
1013,0,0,1,0,0,1,1,0,0,0,1
1014,0,1,1,1,0,1,0,0,1,1,1
1015,1,0,1,1,1,1,0,1,0,0,1
1016,0,1,1,0,1,0,1,1,0,0,1
1017,0,0,1,1,0,1,0,1,1,1,1
1018,0,0,1,1,0,1,1,0,0,0,1
1019,0,1,1,1,1,1,0,1,1,1,1
1020,0,1,1,1,0,1,0,0,0,1,1
1021,1,0,0,1,1,0,1,1,0,1,1
1022,0,0,0,1,1,0,1,0,0,1,1
1023,1,1,0,0,1,1,1,0,0,1,1
1024,0,0,0,1,1,1,1,0,1,1,1
1025,1,0,0,1,1,1,1,0,0,0,1
1026,0,1,0,0,0,0,1,1,1,1,1
1027,1,1,1,1,0,0,0,1,1,0,1
1028,0,0,1,0,0,1,0,1,1,0,1
1029,0,0,0,1,1,1,1,1,1,1,1
1030,1,0,1,1,0,1,0,0,0,1,1
1031,1,0,1,1,1,0,1,1,1,0,1
1032,1,1,1,1,0,1,0,1,1,0,1
1033,1,1,1,1,1,1,1,1,0,0,1
1034,0,1,0,1,0,0,0,1,0,1,0
1035,1,0,0,0,0,1,1,0,1,1,1
1036,0,0,0,0,1,0,0,0,0,0,0
1037,0,1,0,1,0,0,0,1,1,0,1
1038,1,0,0,0,0,1,1,1,1,1,1
1039,0,1,0,1,1,1,0,1,1,1,1
1040,1,0,1,0,0,1,1,0,1,0,1
1041,1,0,0,0,0,1,0,0,1,0,0
1042,0,0,0,0,0,0,1,0,1,0,0
1043,0,0,1,1,0,1,0,1,0,0,1
1044,1,1,1,0,0,0,0,0,1,0,0
1045,0,1,0,1,0,0,0,0,0,0,0
1046,0,1,0,1,0,0,1,1,1,0,1
1047,1,0,0,0,1,1,0,0,0,1,0
1048,0,0,1,0,0,0,1,0,0,1,0
1049,0,0,0,1,1,1,0,0,1,0,1
1050,1,0,1,1,1,0,1,1,0,0,1
1051,1,0,1,0,1,1,0,0,1,0,1
1052,1,0,1,1,0,1,0,0,1,1,1
1053,1,0,0,1,0,0,0,0,0,1,0
1054,0,1,1,0,1,1,1,0,0,0,1
1055,0,1,1,1,1,1,0,0,0,0,1
1056,1,0,1,0,0,0,0,0,0,0,0
1057,0,1,0,1,0,0,0,1,1,1,1
1058,1,0,1,0,0,0,0,1,1,1,1
1059,1,0,1,0,1,0,1,0,1,1,1
1060,1,0,0,1,0,1,1,0,1,0,1
1061,1,1,1,1,1,1,1,1,1,1,1
1062,0,1,0,0,0,1,0,0,0,1,0
1063,0,0,1,1,1,0,1,0,1,0,1
1064,0,0,1,1,0,0,1,0,1,1,1
1065,1,1,1,1,1,0,0,0,1,0,1
1066,0,1,1,0,1,1,0,0,0,1,1
1067,1,1,1,1,1,0,0,1,1,1,1
1068,0,1,1,0,1,0,0,1,1,0,1
1069,0,0,1,1,0,1,1,0,0,1,1
1070,1,0,0,1,1,1,1,1,0,0,1
1071,0,0,0,1,1,0,1,1,0,1,1
1072,0,0,1,0,0,1,1,1,0,1,1
1073,1,0,1,1,1,1,1,1,0,1,1
1074,1,1,0,0,0,0,1,1,0,0,0
1075,1,1,1,0,0,0,1,0,1,0,1
1076,0,1,0,1,0,1,1,1,1,1,1
1077,0,0,1,0,0,1,0,1,1,1,1
1078,0,1,0,0,0,0,0,0,1,0,0
1079,1,0,1,0,0,1,1,0,0,0,1
1080,0,0,1,1,1,0,0,1,1,0,1
1081,0,1,1,0,1,1,0,0,1,1,1
1082,0,0,1,0,0,0,1,1,1,0,1
1083,1,0,1,1,0,0,0,1,0,1,1
1084,0,0,0,1,1,1,0,0,1,1,1
1085,1,1,0,0,0,0,1,0,1,0,0
1086,1,1,0,0,0,1,0,0,1,1,0
1087,1,1,0,1,1,1,0,0,0,0,1
1088,1,1,0,0,1,1,1,1,0,1,1
1089,0,0,0,1,1,1,1,1,0,1,1
1090,0,0,1,0,1,0,1,0,1,1,1
1091,0,1,1,0,0,1,1,0,1,0,1
1092,1,1,0,1,0,1,1,0,0,0,1
1093,1,0,1,0,0,0,1,1,0,0,1
1094,0,0,0,0,1,1,0,1,0,0,1
1095,1,0,0,0,0,0,1,0,1,1,0
1096,1,0,0,0,0,0,1,1,1,1,1
1097,1,1,1,1,0,0,0,0,1,0,1
1098,1,1,1,1,1,0,1,1,1,1,1
1099,1,1,1,1,1,0,1,1,1,0,1
1100,1,0,0,0,1,1,0,1,1,1,1
1101,1,1,1,0,0,1,1,0,1,1,1
1102,1,1,1,0,1,1,1,1,1,0,1
1103,0,1,1,1,0,1,1,1,0,1,1
1104,0,0,0,0,0,1,1,0,0,0,0
1105,0,0,0,0,0,0,1,1,0,0,0
1106,0,1,0,0,0,0,1,0,1,0,0
1107,1,0,1,0,1,0,0,0,1,0,1
1108,0,0,0,1,0,1,1,1,1,1,1
1109,0,0,0,0,0,0,0,0,1,1,0
1110,0,1,0,0,1,1,0,0,1,0,1
1111,1,0,1,0,1,1,0,1,0,0,1
1112,0,0,1,1,0,1,0,0,0,0,1
1113,1,0,1,1,1,1,1,1,0,0,1
1114,0,0,0,0,1,0,1,0,1,0,1
1115,0,0,0,0,1,1,0,1,1,1,1
1116,1,0,0,0,1,0,1,0,0,1,0
1117,0,0,0,1,0,1,0,0,1,0,1
1118,1,1,0,0,0,0,0,0,1,1,0
1119,0,0,0,1,0,0,0,0,0,1,0
1120,1,0,0,1,1,0,0,0,0,0,0
1121,1,1,0,0,1,0,1,1,0,1,1
1122,0,1,0,0,1,1,0,1,0,1,1
1123,0,0,0,1,0,0,1,0,0,0,0
1124,0,0,1,1,0,1,0,0,1,0,1
1125,1,0,0,1,0,1,0,1,0,0,1
1126,0,0,0,0,1,1,0,0,0,1,0
1127,0,0,0,1,1,1,1,0,1,0,1
1128,1,1,1,1,0,0,1,1,0,0,1
1129,0,1,0,0,0,1,1,0,1,0,1
1130,0,0,1,1,0,1,0,1,1,0,1
1131,0,1,0,0,1,0,0,1,0,0,0
1132,0,0,0,1,0,0,0,1,0,1,0
1133,1,1,1,0,0,1,0,1,0,0,1
1134,0,1,1,0,1,0,0,0,1,0,1
1135,0,1,0,0,1,0,1,1,0,0,1
1136,1,0,1,1,0,0,0,0,0,1,0
1137,1,0,1,0,1,0,1,1,0,1,1
1138,1,0,1,1,0,0,0,0,1,1,1
1139,0,1,0,0,0,0,0,0,0,0,0
1140,1,1,1,1,1,0,1,1,0,1,1
1141,1,0,1,1,0,1,1,0,0,1,1
1142,0,1,1,1,1,1,1,1,0,1,1
1143,0,1,0,1,0,1,1,0,1,1,1
1144,1,0,0,0,0,0,0,1,1,1,0
1145,1,0,1,0,0,1,1,1,1,1,1
1146,1,1,0,0,0,1,1,0,1,0,1
1147,0,0,0,1,1,1,1,0,0,1,1
1148,1,0,0,0,1,1,0,0,1,1,1
1149,0,0,1,1,0,0,0,0,0,0,0
1150,0,1,1,1,0,1,1,0,1,1,1
