d3mIndex,name,mpg,cylinders,displacement,horsepower,weight,acceleration,model.year,origin
378,pontiac_j2000_se_hatchback,31.0,4,112.0,85.0,2575,16.2,82,1
379,dodge_aries_se,29.0,4,135.0,84.0,2525,16.0,82,1
380,pontiac_phoenix,27.0,4,151.0,90.0,2735,18.0,82,1
381,ford_fairmont_futura,24.0,4,140.0,92.0,2865,16.4,82,1
382,amc_concord_dl,23.0,4,151.0,,3035,20.5,82,1
383,volkswagen_rabbit_l,36.0,4,105.0,74.0,1980,15.3,82,2
384,mazda_glc_custom_l,37.0,4,91.0,68.0,2025,18.2,82,3
385,mazda_glc_custom,31.0,4,91.0,68.0,1970,17.6,82,3
386,plymouth_horizon_miser,38.0,4,105.0,63.0,2125,14.7,82,1
387,mercury_lynx_l,36.0,4,98.0,70.0,2125,17.3,82,1
388,nissan_stanza_xe,36.0,4,120.0,88.0,2160,14.5,82,3
389,honda_accord,36.0,4,107.0,75.0,2205,14.5,82,3
390,toyota_corolla,34.0,4,108.0,70.0,2245,16.9,82,3
391,honda_civic,38.0,4,91.0,67.0,1965,15.0,82,3
392,honda_civic_(auto),32.0,4,91.0,67.0,1965,15.7,82,3
393,datsun_310_gx,38.0,4,91.0,67.0,1995,16.2,82,3
394,buick_century_limited,25.0,6,181.0,110.0,2945,16.4,82,1
395,oldsmobile_cutlass_ciera_(diesel),38.0,6,262.0,85.0,3015,17.0,82,1
396,chrysler_lebaron_medallion,26.0,4,156.0,92.0,2585,14.5,82,1
397,ford_granada_l,22.0,6,232.0,112.0,2835,14.7,82,1
398,toyota_celica_gt,32.0,4,144.0,96.0,2665,13.9,82,3
399,dodge_charger_2.2,36.0,4,135.0,84.0,2370,13.0,82,1
400,chevrolet_camaro,27.0,4,151.0,90.0,2950,17.3,82,1
401,ford_mustang_gl,27.0,4,140.0,86.0,2790,15.6,82,1
402,vw_pickup,44.0,4,97.0,52.0,2130,24.6,82,2
403,dodge_rampage,32.0,4,135.0,84.0,2295,11.6,82,1
404,ford_ranger,28.0,4,120.0,79.0,2625,18.6,82,1
405,chevy_s-10,31.0,4,119.0,82.0,2720,19.4,82,1
