d3mIndex,season,river_size,fluid_velocity,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8,algae_1
294,spring,large_,medium,8.5,9.6,16.545,3.849,103.273,34.273,63.4,14.682,18.8
295,spring,large_,medium,8.04,9.3,130.263,3.776,131.008,97.5,152.966,6.15,0.0
296,autumn,large_,medium,7.95,9.1,76.886,3.461,93.827,68.333,146.049,3.95,1.2
297,summer,small_,high__,7.25,9.54,,0.642,85.0,14.6,19.45,0.46,15.5
298,autumn,small_,high__,7.64,10.3,34.235,2.942,41.43,17.0,41.567,7.43,23.2
299,winter,small_,high__,7.92,8.5,10.867,1.715,199.54,3.222,27.2,1.9,74.2
300,spring,small_,high__,7.62,9.4,11.055,1.51,13.56,4.0,12.65,1.456,13.0
301,summer,medium,high__,7.75,10.7,15.5,3.976,57.64,10.5,43.169,3.12,4.1
302,winter,small_,high__,7.08,8.4,9.45,1.572,26.54,4.0,13.6,0.675,29.7
303,summer,small_,high__,6.92,11.1,9.1,0.63,21.0,5.0,,2.46,30.3
304,winter,small_,high__,8.1,9.8,14.34,0.73,22.5,23.0,45.5,0.85,17.1
305,spring,small_,high__,7.2,11.3,8.97,0.23,134.5,13.0,19.0,,33.9
306,spring,large_,medium,8.61,10.1,3.518,0.663,12.22,3.222,7.0,1.3,48.3
307,summer,large_,medium,8.22,9.5,2.3,0.672,9.87,4.0,6.123,0.8,50.4
308,winter,large_,medium,8.53,10.5,3.0,0.758,10.35,4.1,,4.0,56.8
309,summer,large_,medium,8.4,10.0,3.51,0.866,29.65,5.8,15.0,2.86,17.3
310,winter,large_,high__,8.1,10.9,9.056,0.825,41.0,20.0,58.0,,16.8
311,summer,medium,high__,8.12,10.2,7.613,0.699,33.56,28.034,49.658,2.2,18.1
312,winter,large_,low___,8.43,10.8,35.642,6.225,134.0,103.5,,45.375,1.1
313,winter,large_,low___,8.7,11.7,21.4656,3.765,91.45,38.0,83.0,17.0,0.0
314,summer,large_,low___,8.1,8.2,26.54,2.805,42.75,48.5,88.125,13.98,0.0
315,autumn,large_,low___,8.35,11.1,22.56,3.14,76.2,41.0,98.665,17.456,1.7
