d3mIndex,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class
3361,58.0,100.0,21.0,80.0,0.0,48.0,9.0,14.0,56.0,0.0,100.0,16.0,64.0,27.0,25.0,8.0,6
3362,100.0,69.0,76.0,100.0,13.0,91.0,12.0,65.0,76.0,76.0,84.0,43.0,60.0,9.0,0.0,0.0,9
3363,0.0,78.0,26.0,94.0,95.0,100.0,100.0,82.0,57.0,61.0,62.0,37.0,57.0,14.0,0.0,0.0,3
3364,0.0,82.0,43.0,100.0,100.0,91.0,83.0,65.0,48.0,42.0,9.0,18.0,5.0,0.0,72.0,4.0,2
3365,23.0,77.0,0.0,46.0,0.0,2.0,51.0,0.0,87.0,34.0,100.0,78.0,60.0,100.0,12.0,77.0,0
3366,100.0,100.0,57.0,83.0,24.0,57.0,3.0,27.0,25.0,0.0,78.0,6.0,54.0,23.0,0.0,17.0,6
3367,0.0,64.0,43.0,81.0,100.0,100.0,74.0,83.0,43.0,62.0,13.0,42.0,4.0,20.0,9.0,0.0,1
3368,38.0,100.0,16.0,68.0,0.0,36.0,51.0,30.0,100.0,34.0,90.0,62.0,63.0,31.0,41.0,0.0,4
3369,9.0,88.0,46.0,100.0,60.0,78.0,31.0,55.0,0.0,34.0,10.0,13.0,56.0,7.0,100.0,0.0,2
3370,93.0,77.0,47.0,100.0,8.0,68.0,70.0,33.0,74.0,0.0,0.0,20.0,52.0,57.0,100.0,92.0,8
3371,41.0,82.0,66.0,100.0,100.0,78.0,62.0,51.0,77.0,43.0,95.0,13.0,49.0,0.0,0.0,8.0,3
3372,52.0,100.0,25.0,67.0,0.0,33.0,46.0,28.0,100.0,33.0,99.0,65.0,73.0,35.0,53.0,0.0,4
3373,40.0,84.0,33.0,81.0,100.0,42.0,81.0,0.0,0.0,13.0,46.0,57.0,94.0,100.0,11.0,90.0,8
3374,44.0,87.0,25.0,100.0,22.0,68.0,68.0,85.0,91.0,59.0,100.0,18.0,53.0,0.0,0.0,3.0,9
3375,100.0,99.0,65.0,100.0,33.0,77.0,11.0,51.0,0.0,22.0,21.0,0.0,52.0,19.0,11.0,20.0,6
3376,71.0,100.0,40.0,85.0,0.0,63.0,19.0,42.0,88.0,45.0,100.0,52.0,80.0,26.0,69.0,0.0,4
3377,76.0,100.0,23.0,90.0,41.0,60.0,92.0,76.0,100.0,79.0,93.0,42.0,56.0,13.0,0.0,0.0,9
3378,0.0,70.0,8.0,100.0,56.0,91.0,69.0,50.0,38.0,15.0,10.0,10.0,58.0,0.0,100.0,15.0,2
3379,0.0,100.0,58.0,94.0,73.0,68.0,54.0,34.0,34.0,0.0,19.0,1.0,40.0,21.0,100.0,19.0,7
3380,43.0,80.0,46.0,100.0,83.0,79.0,61.0,39.0,20.0,12.0,0.0,14.0,51.0,16.0,100.0,0.0,2
3381,95.0,100.0,64.0,81.0,36.0,49.0,27.0,12.0,75.0,0.0,100.0,27.0,51.0,41.0,0.0,28.0,6
3382,100.0,75.0,41.0,68.0,0.0,79.0,44.0,100.0,89.0,91.0,91.0,61.0,85.0,30.0,86.0,0.0,9
3383,26.0,73.0,0.0,48.0,18.0,7.0,67.0,0.0,100.0,30.0,87.0,73.0,48.0,100.0,13.0,75.0,0
3384,6.0,98.0,50.0,100.0,76.0,67.0,64.0,24.0,67.0,0.0,100.0,25.0,52.0,46.0,0.0,58.0,7
3385,0.0,66.0,3.0,93.0,52.0,100.0,100.0,91.0,84.0,65.0,45.0,46.0,27.0,21.0,65.0,0.0,3
3386,0.0,38.0,32.0,51.0,64.0,75.0,93.0,100.0,100.0,97.0,91.0,64.0,83.0,32.0,75.0,0.0,1
3387,8.0,92.0,52.0,100.0,91.0,88.0,76.0,61.0,92.0,37.0,100.0,14.0,51.0,3.0,0.0,0.0,3
3388,54.0,77.0,30.0,37.0,0.0,0.0,13.0,25.0,55.0,54.0,100.0,80.0,89.0,100.0,37.0,86.0,8
3389,34.0,100.0,0.0,51.0,18.0,87.0,12.0,97.0,36.0,44.0,16.0,0.0,34.0,8.0,100.0,14.0,1
3390,0.0,93.0,52.0,100.0,94.0,87.0,80.0,63.0,53.0,42.0,23.0,20.0,42.0,3.0,100.0,0.0,2
3391,0.0,81.0,34.0,100.0,68.0,83.0,56.0,52.0,24.0,29.0,16.0,20.0,64.0,17.0,100.0,0.0,2
3392,0.0,85.0,42.0,97.0,30.0,75.0,23.0,21.0,72.0,0.0,100.0,47.0,87.0,100.0,36.0,99.0,0
3393,14.0,77.0,53.0,100.0,79.0,77.0,43.0,46.0,83.0,36.0,100.0,9.0,50.0,0.0,0.0,1.0,3
3394,9.0,96.0,13.0,59.0,76.0,45.0,60.0,0.0,3.0,12.0,0.0,63.0,24.0,100.0,100.0,100.0,5
3395,90.0,100.0,50.0,82.0,0.0,45.0,70.0,46.0,100.0,65.0,83.0,91.0,77.0,43.0,75.0,0.0,4
3396,100.0,100.0,54.0,83.0,20.0,55.0,0.0,24.0,34.0,0.0,92.0,12.0,79.0,38.0,16.0,46.0,6
3397,0.0,91.0,34.0,100.0,62.0,78.0,58.0,38.0,46.0,0.0,31.0,34.0,57.0,55.0,100.0,59.0,7
3398,80.0,70.0,95.0,100.0,7.0,89.0,0.0,57.0,82.0,76.0,100.0,56.0,82.0,20.0,11.0,0.0,9
3399,49.0,94.0,1.0,98.0,44.0,81.0,59.0,100.0,92.0,64.0,100.0,20.0,55.0,0.0,0.0,8.0,9
3400,8.0,79.0,47.0,100.0,47.0,86.0,39.0,48.0,45.0,12.0,100.0,8.0,44.0,5.0,0.0,0.0,1
3401,0.0,100.0,3.0,100.0,52.0,99.0,100.0,100.0,73.0,86.0,50.0,57.0,32.0,27.0,34.0,0.0,7
3402,43.0,84.0,76.0,100.0,100.0,78.0,62.0,55.0,83.0,43.0,99.0,14.0,53.0,0.0,0.0,7.0,3
3403,0.0,83.0,26.0,100.0,53.0,84.0,42.0,50.0,16.0,24.0,27.0,5.0,66.0,0.0,100.0,7.0,2
3404,0.0,92.0,33.0,100.0,95.0,80.0,83.0,40.0,56.0,0.0,35.0,9.0,20.0,36.0,100.0,43.0,7
3405,32.0,95.0,1.0,65.0,0.0,25.0,35.0,0.0,79.0,13.0,100.0,49.0,81.0,85.0,37.0,100.0,0
3406,13.0,78.0,38.0,100.0,41.0,68.0,24.0,36.0,0.0,10.0,33.0,3.0,68.0,0.0,100.0,3.0,2
3407,62.0,73.0,23.0,69.0,0.0,90.0,68.0,100.0,100.0,78.0,77.0,50.0,43.0,24.0,2.0,0.0,9
3408,16.0,95.0,46.0,100.0,100.0,95.0,72.0,63.0,39.0,32.0,6.0,0.0,0.0,32.0,56.0,35.0,7
3409,0.0,97.0,38.0,100.0,89.0,75.0,59.0,37.0,25.0,0.0,8.0,12.0,29.0,41.0,100.0,39.0,7
3410,36.0,100.0,5.0,66.0,0.0,22.0,40.0,0.0,85.0,19.0,100.0,59.0,65.0,89.0,15.0,94.0,0
3411,32.0,63.0,52.0,100.0,86.0,69.0,70.0,24.0,24.0,0.0,0.0,4.0,53.0,2.0,100.0,1.0,2
3412,85.0,92.0,52.0,100.0,56.0,76.0,83.0,85.0,100.0,44.0,88.0,6.0,42.0,0.0,0.0,10.0,9
3413,47.0,87.0,75.0,100.0,80.0,73.0,85.0,54.0,100.0,31.0,74.0,8.0,38.0,0.0,0.0,5.0,3
3414,53.0,98.0,88.0,100.0,100.0,80.0,78.0,60.0,58.0,40.0,57.0,17.0,35.0,0.0,0.0,3.0,3
3415,0.0,27.0,16.0,50.0,49.0,74.0,82.0,98.0,100.0,100.0,78.0,67.0,56.0,35.0,44.0,0.0,1
3416,100.0,100.0,58.0,81.0,24.0,56.0,0.0,28.0,11.0,0.0,64.0,3.0,62.0,25.0,7.0,25.0,6
3417,61.0,83.0,19.0,100.0,3.0,62.0,15.0,21.0,0.0,0.0,0.0,40.0,47.0,62.0,100.0,79.0,8
3418,7.0,54.0,43.0,76.0,76.0,100.0,100.0,99.0,78.0,74.0,57.0,49.0,28.0,24.0,0.0,0.0,1
3419,59.0,100.0,28.0,71.0,26.0,20.0,0.0,0.0,28.0,40.0,72.0,67.0,100.0,99.0,49.0,99.0,8
3420,48.0,86.0,64.0,100.0,94.0,80.0,58.0,54.0,100.0,52.0,87.0,19.0,43.0,0.0,0.0,7.0,3
3421,53.0,100.0,0.0,75.0,7.0,43.0,100.0,52.0,50.0,76.0,16.0,91.0,14.0,44.0,28.0,0.0,4
3422,26.0,89.0,0.0,74.0,1.0,30.0,35.0,0.0,80.0,10.0,100.0,50.0,86.0,92.0,46.0,100.0,0
3423,88.0,95.0,100.0,100.0,49.0,73.0,12.0,42.0,19.0,10.0,97.0,0.0,85.0,18.0,0.0,17.0,6
3424,93.0,100.0,46.0,78.0,13.0,51.0,0.0,21.0,38.0,0.0,100.0,8.0,78.0,28.0,15.0,22.0,6
3425,0.0,62.0,22.0,89.0,69.0,100.0,86.0,77.0,59.0,50.0,28.0,26.0,47.0,4.0,100.0,0.0,2
3426,100.0,100.0,48.0,80.0,17.0,54.0,0.0,26.0,25.0,0.0,96.0,4.0,84.0,23.0,19.0,12.0,6
3427,21.0,86.0,55.0,100.0,87.0,79.0,62.0,49.0,83.0,38.0,100.0,12.0,52.0,0.0,0.0,4.0,3
3428,40.0,100.0,0.0,58.0,93.0,90.0,6.0,92.0,11.0,52.0,9.0,0.0,100.0,34.0,0.0,38.0,8
3429,85.0,100.0,38.0,76.0,0.0,42.0,82.0,41.0,100.0,61.0,78.0,95.0,75.0,47.0,71.0,0.0,4
3430,100.0,100.0,60.0,85.0,72.0,61.0,96.0,91.0,95.0,59.0,79.0,24.0,43.0,1.0,0.0,0.0,9
3431,51.0,100.0,0.0,69.0,16.0,52.0,84.0,58.0,100.0,74.0,61.0,83.0,40.0,41.0,16.0,0.0,4
3432,51.0,100.0,35.0,74.0,10.0,49.0,0.0,22.0,54.0,12.0,100.0,32.0,90.0,25.0,69.0,0.0,4
3433,4.0,100.0,59.0,90.0,66.0,56.0,56.0,22.0,39.0,0.0,0.0,30.0,16.0,49.0,100.0,47.0,7
3434,0.0,66.0,46.0,79.0,100.0,100.0,97.0,91.0,71.0,68.0,46.0,46.0,26.0,23.0,23.0,0.0,1
3435,22.0,100.0,20.0,75.0,0.0,40.0,0.0,25.0,67.0,30.0,100.0,39.0,84.0,36.0,79.0,0.0,4
3436,100.0,81.0,65.0,97.0,24.0,100.0,7.0,64.0,41.0,57.0,65.0,25.0,31.0,0.0,0.0,5.0,5
3437,48.0,84.0,38.0,41.0,20.0,0.0,0.0,14.0,37.0,51.0,89.0,81.0,100.0,100.0,36.0,84.0,8
3438,100.0,100.0,55.0,82.0,22.0,55.0,0.0,27.0,11.0,0.0,95.0,11.0,85.0,35.0,9.0,21.0,6
3439,100.0,100.0,55.0,99.0,20.0,93.0,23.0,53.0,67.0,54.0,80.0,20.0,43.0,0.0,0.0,3.0,5
3440,28.0,90.0,97.0,100.0,100.0,68.0,61.0,33.0,18.0,0.0,0.0,8.0,7.0,29.0,82.0,31.0,7
3441,0.0,75.0,38.0,100.0,90.0,90.0,90.0,48.0,76.0,6.0,55.0,0.0,48.0,43.0,100.0,55.0,7
3442,3.0,61.0,69.0,34.0,69.0,0.0,0.0,13.0,45.0,46.0,100.0,78.0,71.0,100.0,29.0,71.0,8
3443,33.0,57.0,50.0,75.0,97.0,98.0,100.0,100.0,70.0,75.0,40.0,50.0,13.0,25.0,0.0,0.0,1
3444,0.0,80.0,34.0,100.0,60.0,80.0,34.0,53.0,1.0,29.0,0.0,4.0,49.0,0.0,100.0,1.0,2
3445,0.0,75.0,8.0,100.0,52.0,99.0,96.0,98.0,100.0,81.0,83.0,54.0,68.0,27.0,58.0,0.0,7
3446,38.0,92.0,11.0,62.0,0.0,27.0,27.0,0.0,75.0,6.0,100.0,36.0,88.0,71.0,59.0,100.0,0
3447,12.0,92.0,1.0,58.0,62.0,38.0,50.0,0.0,0.0,15.0,2.0,59.0,30.0,96.0,100.0,100.0,5
3448,73.0,97.0,35.0,54.0,100.0,84.0,44.0,100.0,75.0,71.0,92.0,60.0,62.0,0.0,0.0,9.0,9
3449,27.0,94.0,0.0,70.0,59.0,55.0,52.0,8.0,0.0,0.0,8.0,53.0,37.0,94.0,100.0,100.0,5
3450,61.0,100.0,22.0,71.0,9.0,34.0,33.0,0.0,88.0,4.0,100.0,37.0,50.0,50.0,0.0,30.0,6
3451,0.0,90.0,36.0,100.0,64.0,89.0,53.0,64.0,67.0,41.0,100.0,25.0,88.0,7.0,48.0,0.0,3
3452,78.0,100.0,47.0,78.0,19.0,49.0,8.0,18.0,48.0,0.0,100.0,15.0,62.0,35.0,0.0,34.0,6
3453,46.0,78.0,49.0,100.0,100.0,93.0,78.0,65.0,86.0,39.0,87.0,10.0,36.0,0.0,0.0,19.0,3
3454,11.0,69.0,42.0,100.0,73.0,71.0,56.0,29.0,19.0,0.0,0.0,11.0,50.0,13.0,100.0,7.0,2
3455,68.0,100.0,29.0,90.0,0.0,59.0,1.0,17.0,38.0,0.0,77.0,13.0,100.0,48.0,78.0,82.0,0
3456,13.0,100.0,0.0,82.0,0.0,60.0,27.0,42.0,82.0,42.0,80.0,41.0,80.0,19.0,100.0,0.0,4
3457,47.0,90.0,75.0,100.0,75.0,72.0,55.0,45.0,26.0,21.0,0.0,0.0,49.0,5.0,100.0,4.0,2
3458,100.0,91.0,44.0,100.0,0.0,76.0,10.0,37.0,30.0,0.0,3.0,25.0,25.0,61.0,72.0,86.0,8
3459,20.0,91.0,61.0,100.0,71.0,78.0,59.0,51.0,100.0,34.0,86.0,11.0,37.0,0.0,0.0,1.0,3
3460,41.0,80.0,61.0,100.0,83.0,78.0,65.0,58.0,100.0,44.0,84.0,17.0,45.0,0.0,0.0,0.0,3
3461,46.0,93.0,9.0,63.0,0.0,15.0,45.0,0.0,90.0,24.0,100.0,70.0,60.0,100.0,19.0,83.0,0
3462,6.0,90.0,0.0,52.0,38.0,29.0,8.0,0.0,2.0,34.0,13.0,78.0,52.0,96.0,100.0,100.0,5
3463,57.0,100.0,0.0,75.0,62.0,40.0,62.0,0.0,2.0,15.0,56.0,53.0,100.0,93.0,23.0,95.0,8
3464,61.0,100.0,96.0,98.0,83.0,49.0,46.0,14.0,0.0,0.0,6.0,29.0,54.0,27.0,100.0,8.0,2
3465,14.0,79.0,0.0,46.0,18.0,7.0,58.0,0.0,92.0,25.0,100.0,69.0,71.0,100.0,32.0,96.0,0
3466,4.0,83.0,0.0,52.0,21.0,100.0,27.0,67.0,54.0,20.0,2.0,0.0,35.0,4.0,100.0,7.0,1
3467,32.0,84.0,66.0,100.0,100.0,80.0,64.0,40.0,30.0,0.0,68.0,11.0,36.0,52.0,0.0,91.0,8
3468,67.0,92.0,32.0,87.0,0.0,44.0,72.0,50.0,100.0,62.0,63.0,100.0,62.0,48.0,59.0,0.0,4
3469,89.0,100.0,35.0,79.0,11.0,52.0,0.0,25.0,19.0,0.0,97.0,1.0,100.0,23.0,22.0,21.0,6
3470,0.0,54.0,47.0,68.0,83.0,90.0,100.0,100.0,93.0,74.0,86.0,48.0,76.0,23.0,79.0,0.0,1
3471,42.0,100.0,41.0,78.0,18.0,51.0,0.0,23.0,60.0,24.0,94.0,41.0,89.0,27.0,100.0,0.0,4
3472,55.0,95.0,100.0,100.0,54.0,91.0,28.0,55.0,54.0,53.0,76.0,30.0,43.0,0.0,0.0,1.0,5
3473,11.0,72.0,28.0,100.0,66.0,78.0,56.0,38.0,19.0,10.0,0.0,6.0,50.0,5.0,100.0,0.0,2
3474,30.0,100.0,33.0,81.0,4.0,54.0,0.0,29.0,70.0,27.0,100.0,49.0,94.0,29.0,98.0,0.0,4
3475,0.0,46.0,37.0,60.0,69.0,80.0,100.0,100.0,94.0,78.0,88.0,51.0,85.0,24.0,87.0,0.0,1
3476,30.0,97.0,12.0,71.0,0.0,28.0,33.0,0.0,84.0,16.0,100.0,57.0,74.0,94.0,24.0,100.0,0
3477,0.0,49.0,27.0,64.0,65.0,84.0,100.0,100.0,83.0,75.0,62.0,50.0,46.0,25.0,33.0,0.0,1
3478,0.0,90.0,22.0,100.0,93.0,85.0,76.0,42.0,53.0,0.0,32.0,1.0,17.0,34.0,100.0,39.0,7
3479,43.0,92.0,100.0,100.0,85.0,97.0,19.0,90.0,55.0,66.0,90.0,37.0,64.0,8.0,0.0,0.0,5
3480,90.0,71.0,87.0,100.0,5.0,86.0,0.0,54.0,85.0,65.0,100.0,72.0,96.0,34.0,96.0,0.0,9
3481,77.0,82.0,55.0,100.0,45.0,76.0,91.0,81.0,100.0,47.0,90.0,14.0,46.0,0.0,0.0,10.0,9
3482,100.0,100.0,58.0,86.0,23.0,57.0,1.0,24.0,30.0,0.0,90.0,13.0,64.0,40.0,0.0,42.0,6
3483,0.0,76.0,27.0,100.0,63.0,82.0,58.0,40.0,26.0,12.0,20.0,16.0,60.0,8.0,100.0,0.0,2
3484,0.0,99.0,27.0,100.0,64.0,95.0,100.0,87.0,77.0,63.0,58.0,36.0,41.0,7.0,32.0,0.0,7
3485,17.0,82.0,1.0,72.0,40.0,58.0,81.0,28.0,5.0,0.0,0.0,46.0,1.0,93.0,100.0,100.0,5
3486,0.0,81.0,41.0,100.0,60.0,72.0,43.0,35.0,20.0,0.0,5.0,35.0,48.0,49.0,100.0,48.0,7
3487,80.0,100.0,59.0,97.0,26.0,71.0,0.0,43.0,28.0,23.0,94.0,38.0,100.0,28.0,81.0,0.0,4
3488,33.0,77.0,30.0,100.0,63.0,73.0,43.0,36.0,0.0,16.0,29.0,16.0,78.0,0.0,100.0,32.0,2
3489,40.0,99.0,100.0,100.0,43.0,99.0,6.0,69.0,42.0,50.0,89.0,26.0,60.0,1.0,0.0,0.0,5
3490,0.0,88.0,36.0,100.0,70.0,87.0,68.0,61.0,70.0,34.0,100.0,15.0,64.0,1.0,17.0,0.0,3
3491,58.0,90.0,8.0,63.0,37.0,44.0,18.0,0.0,0.0,18.0,4.0,74.0,41.0,100.0,100.0,98.0,5
3492,14.0,100.0,0.0,75.0,7.0,47.0,72.0,48.0,100.0,62.0,83.0,58.0,82.0,29.0,84.0,0.0,4
3493,100.0,100.0,53.0,79.0,19.0,54.0,11.0,24.0,45.0,0.0,98.0,8.0,51.0,21.0,0.0,7.0,6
3494,30.0,86.0,0.0,42.0,23.0,0.0,70.0,3.0,100.0,41.0,82.0,90.0,37.0,100.0,22.0,54.0,0
3495,54.0,97.0,20.0,73.0,48.0,34.0,35.0,0.0,0.0,22.0,50.0,50.0,100.0,78.0,71.0,100.0,8
3496,4.0,93.0,50.0,100.0,82.0,79.0,49.0,50.0,70.0,45.0,100.0,19.0,56.0,0.0,0.0,10.0,3
3497,0.0,0.0,46.0,16.0,85.0,41.0,100.0,72.0,73.0,100.0,18.0,95.0,19.0,66.0,76.0,55.0,9
3498,24.0,75.0,24.0,100.0,70.0,81.0,60.0,48.0,65.0,41.0,100.0,16.0,49.0,0.0,0.0,20.0,3
3499,0.0,58.0,40.0,72.0,74.0,90.0,100.0,100.0,89.0,74.0,78.0,47.0,69.0,19.0,68.0,0.0,1
3500,84.0,100.0,38.0,77.0,8.0,50.0,0.0,22.0,40.0,0.0,100.0,9.0,54.0,25.0,2.0,13.0,6
3501,0.0,70.0,35.0,87.0,59.0,100.0,61.0,79.0,64.0,58.0,72.0,37.0,81.0,17.0,100.0,0.0,1
3502,82.0,100.0,49.0,85.0,19.0,61.0,0.0,34.0,51.0,36.0,100.0,51.0,81.0,27.0,69.0,0.0,4
3503,86.0,74.0,21.0,100.0,0.0,73.0,66.0,38.0,100.0,0.0,12.0,8.0,49.0,49.0,100.0,76.0,8
3504,100.0,87.0,9.0,100.0,0.0,67.0,74.0,37.0,94.0,0.0,21.0,15.0,60.0,56.0,93.0,94.0,8
3505,35.0,89.0,3.0,61.0,8.0,8.0,62.0,0.0,100.0,40.0,82.0,89.0,27.0,100.0,0.0,54.0,0
3506,36.0,93.0,31.0,55.0,79.0,100.0,0.0,73.0,31.0,53.0,27.0,0.0,100.0,37.0,32.0,46.0,8
3507,7.0,89.0,54.0,100.0,69.0,76.0,40.0,52.0,91.0,45.0,100.0,19.0,52.0,6.0,0.0,0.0,3
3508,36.0,100.0,21.0,66.0,0.0,31.0,20.0,24.0,93.0,22.0,100.0,45.0,80.0,35.0,81.0,0.0,4
3509,15.0,91.0,23.0,65.0,92.0,46.0,68.0,0.0,10.0,14.0,0.0,63.0,7.0,97.0,100.0,100.0,5
3510,51.0,62.0,56.0,100.0,1.0,82.0,33.0,42.0,65.0,1.0,0.0,0.0,32.0,40.0,100.0,65.0,8
3511,21.0,82.0,55.0,100.0,69.0,65.0,40.0,26.0,0.0,0.0,4.0,6.0,51.0,6.0,100.0,5.0,2
3512,12.0,89.0,0.0,48.0,64.0,45.0,71.0,0.0,26.0,8.0,6.0,59.0,30.0,100.0,100.0,98.0,5
3513,0.0,97.0,68.0,100.0,66.0,69.0,55.0,35.0,54.0,0.0,31.0,1.0,32.0,25.0,100.0,33.0,7
3514,48.0,100.0,39.0,89.0,14.0,56.0,12.0,19.0,57.0,0.0,100.0,17.0,52.0,30.0,0.0,15.0,6
3515,0.0,64.0,26.0,81.0,74.0,100.0,100.0,98.0,80.0,74.0,67.0,49.0,62.0,24.0,70.0,0.0,1
3516,0.0,83.0,36.0,100.0,66.0,78.0,53.0,39.0,41.0,0.0,24.0,34.0,56.0,50.0,100.0,55.0,7
3517,0.0,88.0,45.0,100.0,66.0,72.0,27.0,48.0,59.0,43.0,100.0,21.0,60.0,0.0,7.0,4.0,3
3518,87.0,96.0,62.0,81.0,99.0,100.0,66.0,92.0,99.0,61.0,100.0,26.0,55.0,2.0,0.0,0.0,9
3519,14.0,57.0,56.0,78.0,100.0,100.0,98.0,90.0,82.0,62.0,75.0,35.0,63.0,8.0,0.0,0.0,1
3520,0.0,83.0,30.0,100.0,78.0,96.0,100.0,74.0,70.0,51.0,37.0,30.0,35.0,7.0,83.0,0.0,2
3521,0.0,96.0,27.0,100.0,73.0,99.0,100.0,83.0,85.0,60.0,60.0,40.0,33.0,20.0,8.0,0.0,7
3522,86.0,100.0,32.0,81.0,0.0,57.0,30.0,37.0,100.0,51.0,86.0,46.0,41.0,23.0,11.0,0.0,4
3523,78.0,100.0,33.0,82.0,12.0,49.0,14.0,12.0,60.0,0.0,100.0,26.0,50.0,32.0,0.0,13.0,6
3524,36.0,86.0,0.0,75.0,35.0,34.0,12.0,0.0,11.0,35.0,75.0,68.0,100.0,100.0,12.0,89.0,8
3525,26.0,56.0,39.0,100.0,57.0,74.0,35.0,29.0,0.0,0.0,15.0,26.0,56.0,7.0,100.0,5.0,2
3526,13.0,92.0,85.0,100.0,97.0,71.0,68.0,35.0,31.0,0.0,0.0,12.0,25.0,34.0,100.0,30.0,7
3527,100.0,91.0,69.0,100.0,53.0,63.0,85.0,70.0,90.0,63.0,80.0,23.0,44.0,0.0,0.0,7.0,9
3528,0.0,69.0,36.0,84.0,77.0,99.0,100.0,100.0,78.0,76.0,57.0,51.0,38.0,26.0,28.0,0.0,1
3529,11.0,91.0,57.0,100.0,100.0,93.0,66.0,62.0,33.0,29.0,5.0,0.0,0.0,35.0,60.0,37.0,7
3530,100.0,92.0,46.0,100.0,11.0,78.0,37.0,56.0,86.0,43.0,81.0,0.0,28.0,5.0,0.0,41.0,5
3531,0.0,92.0,39.0,99.0,100.0,100.0,82.0,66.0,50.0,33.0,17.0,0.0,19.0,17.0,65.0,30.0,7
3532,100.0,99.0,89.0,100.0,46.0,75.0,15.0,48.0,0.0,20.0,43.0,0.0,96.0,10.0,24.0,22.0,6
3533,57.0,82.0,58.0,100.0,96.0,90.0,72.0,61.0,100.0,45.0,86.0,15.0,44.0,0.0,0.0,4.0,3
3534,45.0,86.0,32.0,66.0,93.0,87.0,12.0,100.0,80.0,79.0,100.0,46.0,88.0,13.0,0.0,0.0,9
3535,5.0,73.0,48.0,68.0,100.0,100.0,27.0,88.0,0.0,59.0,76.0,71.0,72.0,42.0,53.0,0.0,9
3536,50.0,100.0,10.0,73.0,0.0,29.0,36.0,0.0,83.0,17.0,100.0,60.0,68.0,94.0,26.0,76.0,0
3537,9.0,84.0,4.0,56.0,43.0,26.0,22.0,0.0,0.0,27.0,18.0,67.0,44.0,94.0,100.0,100.0,5
3538,34.0,100.0,0.0,70.0,1.0,17.0,40.0,0.0,80.0,15.0,100.0,61.0,66.0,90.0,26.0,81.0,0
3539,19.0,94.0,78.0,100.0,100.0,82.0,67.0,50.0,34.0,20.0,0.0,0.0,13.0,31.0,74.0,33.0,7
3540,39.0,79.0,8.0,71.0,0.0,24.0,40.0,0.0,87.0,24.0,100.0,69.0,62.0,100.0,16.0,80.0,0
3541,17.0,97.0,67.0,100.0,100.0,76.0,73.0,40.0,33.0,6.0,0.0,0.0,15.0,30.0,94.0,29.0,7
3542,52.0,79.0,71.0,100.0,92.0,78.0,67.0,52.0,100.0,35.0,84.0,9.0,39.0,0.0,0.0,8.0,3
3543,76.0,100.0,28.0,96.0,0.0,66.0,2.0,32.0,45.0,9.0,100.0,17.0,53.0,26.0,19.0,0.0,6
3544,51.0,71.0,53.0,100.0,87.0,83.0,69.0,43.0,34.0,11.0,0.0,6.0,50.0,14.0,100.0,0.0,2
3545,98.0,89.0,44.0,100.0,43.0,65.0,100.0,84.0,95.0,79.0,92.0,38.0,70.0,0.0,0.0,3.0,9
3546,0.0,92.0,52.0,100.0,81.0,74.0,53.0,40.0,25.0,6.0,12.0,0.0,5.0,30.0,100.0,38.0,7
3547,36.0,52.0,0.0,50.0,6.0,6.0,56.0,0.0,97.0,30.0,100.0,76.0,58.0,100.0,24.0,68.0,0
3548,0.0,82.0,36.0,100.0,88.0,93.0,63.0,65.0,69.0,48.0,100.0,21.0,60.0,0.0,8.0,9.0,3
3549,0.0,59.0,46.0,76.0,100.0,100.0,100.0,100.0,79.0,76.0,57.0,50.0,46.0,24.0,50.0,0.0,1
3550,0.0,45.0,32.0,65.0,67.0,82.0,100.0,100.0,75.0,76.0,51.0,51.0,28.0,26.0,9.0,0.0,1
3551,20.0,100.0,34.0,93.0,0.0,53.0,4.0,38.0,88.0,50.0,100.0,72.0,99.0,30.0,96.0,0.0,4
3552,100.0,75.0,82.0,100.0,29.0,91.0,20.0,74.0,74.0,74.0,63.0,42.0,30.0,15.0,0.0,0.0,9
3553,13.0,78.0,35.0,100.0,83.0,96.0,63.0,66.0,27.0,42.0,0.0,13.0,43.0,0.0,100.0,1.0,2
3554,86.0,80.0,28.0,73.0,34.0,100.0,77.0,82.0,91.0,49.0,100.0,16.0,60.0,0.0,0.0,11.0,9
3555,0.0,79.0,25.0,100.0,51.0,80.0,53.0,46.0,37.0,15.0,30.0,0.0,65.0,3.0,100.0,1.0,2
3556,34.0,86.0,6.0,50.0,0.0,9.0,49.0,0.0,89.0,29.0,100.0,70.0,66.0,100.0,21.0,76.0,0
3557,34.0,100.0,18.0,63.0,63.0,34.0,34.0,0.0,0.0,15.0,14.0,58.0,40.0,93.0,100.0,89.0,5
3558,100.0,92.0,58.0,100.0,39.0,84.0,24.0,67.0,15.0,50.0,9.0,33.0,0.0,16.0,0.0,0.0,1
3559,13.0,71.0,30.0,100.0,60.0,79.0,40.0,42.0,6.0,13.0,0.0,9.0,51.0,11.0,100.0,0.0,2
3560,37.0,94.0,44.0,57.0,94.0,99.0,28.0,100.0,53.0,73.0,100.0,64.0,75.0,7.0,0.0,0.0,9
3561,38.0,85.0,0.0,59.0,48.0,53.0,68.0,18.0,22.0,0.0,24.0,50.0,37.0,94.0,100.0,100.0,5
3562,33.0,100.0,0.0,79.0,11.0,48.0,81.0,49.0,100.0,81.0,80.0,66.0,62.0,33.0,45.0,0.0,4
