d3mIndex,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,class
577,0,1,0,1,0,0,0,1,1,0,1
578,0,1,1,0,1,1,1,1,1,1,0
579,0,1,0,0,1,0,1,0,1,0,1
580,0,1,1,1,1,0,0,0,0,0,1
581,1,0,0,1,1,0,1,1,0,1,0
582,1,0,1,1,1,1,1,1,0,0,0
583,0,1,0,1,0,0,0,0,0,0,0
584,0,0,1,0,1,0,0,0,1,1,1
585,0,1,1,0,0,0,0,0,0,1,0
586,0,0,1,1,0,1,0,0,1,0,1
587,0,0,1,1,1,1,1,0,0,1,1
588,0,1,1,0,0,1,1,0,0,1,1
589,1,0,1,0,1,0,0,1,1,0,0
590,1,0,0,0,1,0,0,1,1,1,1
591,1,1,1,1,0,0,1,0,0,0,1
592,0,0,1,1,0,0,1,0,0,0,0
593,1,0,1,1,0,1,1,1,1,1,0
594,1,1,1,1,0,1,0,1,0,0,1
595,1,1,0,0,0,1,1,0,0,1,0
596,1,1,1,0,0,1,0,0,0,1,1
597,0,0,0,0,0,1,0,0,1,0,1
598,1,0,1,1,1,0,0,1,1,1,1
599,1,1,1,0,1,1,1,0,0,1,1
600,1,0,1,0,1,1,0,0,1,0,0
601,0,1,0,0,0,0,1,0,1,0,1
602,0,0,1,0,0,0,0,1,0,1,0
603,1,0,0,1,0,1,1,1,0,0,1
604,1,1,0,1,1,0,1,0,1,0,0
605,0,0,0,1,1,0,0,0,0,1,1
606,0,1,0,0,1,1,0,1,0,1,1
607,0,1,0,0,1,1,1,0,0,1,0
608,1,1,0,0,0,0,1,1,0,0,0
609,0,0,1,1,0,0,1,1,1,0,1
610,1,0,0,1,1,1,0,0,0,0,0
611,1,0,0,1,1,1,1,1,0,0,1
612,0,0,1,0,1,0,1,0,0,1,1
613,1,1,1,1,0,1,0,1,1,0,1
614,0,0,0,0,1,1,0,1,0,1,0
615,0,1,1,1,1,0,1,1,0,0,0
616,0,0,1,1,0,0,0,1,1,1,1
617,1,0,1,1,1,1,1,1,0,1,0
618,0,1,0,0,1,1,1,1,1,1,1
619,1,0,1,1,1,0,1,0,0,0,0
620,1,0,1,1,1,0,1,1,1,1,1
621,1,0,1,1,0,0,0,0,0,1,0
622,0,0,1,1,0,1,1,0,1,1,1
623,0,1,1,0,1,0,1,0,1,0,0
624,0,0,0,1,0,1,0,1,1,0,1
625,0,1,0,1,0,1,1,1,0,1,0
626,0,0,0,0,0,1,0,0,0,0,1
627,0,1,0,1,0,1,1,1,0,0,0
628,0,0,1,1,0,1,1,0,0,1,1
629,0,1,0,0,0,0,0,0,1,0,1
630,1,0,0,1,1,0,0,0,1,0,1
631,1,1,0,0,0,0,0,1,0,1,0
632,1,1,1,0,1,0,1,1,0,1,1
633,1,1,0,1,1,0,1,1,0,1,1
634,1,0,1,1,1,0,0,0,0,1,0
635,1,0,1,0,0,1,1,1,1,0,1
636,1,0,0,0,1,1,1,1,0,1,0
637,1,0,0,0,1,0,1,1,1,0,1
638,1,1,1,0,0,0,0,0,0,0,0
639,0,0,1,0,1,1,1,0,1,1,0
640,1,0,1,0,1,0,1,0,1,0,1
641,0,0,1,0,1,1,1,1,0,0,1
642,0,0,0,0,0,1,1,1,1,0,0
643,0,0,0,0,0,0,1,0,0,0,0
644,1,0,1,1,1,1,0,0,1,1,1
645,1,1,1,1,0,1,1,1,1,1,1
646,0,0,1,0,0,1,1,1,1,0,1
647,1,1,0,1,1,1,0,0,1,0,1
648,0,0,0,0,0,1,0,0,1,1,1
649,0,1,1,0,1,0,0,0,1,0,0
650,0,1,0,1,1,0,0,0,0,1,0
651,0,1,1,1,0,0,0,1,0,1,0
652,0,1,1,0,0,0,0,0,0,0,0
653,1,0,1,1,1,0,0,0,1,0,0
654,0,1,1,0,1,0,1,0,0,1,0
655,1,1,0,1,0,1,1,0,0,1,1
656,0,1,1,0,1,1,0,0,0,1,1
657,1,0,1,0,0,0,0,1,0,0,0
658,1,1,0,1,1,1,1,0,0,0,1
659,1,0,0,1,1,1,1,1,0,1,1
660,1,1,0,0,0,0,0,1,1,1,0
661,1,0,0,0,0,1,0,0,0,1,1
662,1,0,1,1,0,0,1,1,0,1,1
663,1,0,0,1,1,1,1,0,0,1,0
664,1,0,0,0,0,0,1,0,1,0,0
665,1,1,1,0,1,0,0,1,0,1,1
666,1,0,1,1,1,1,1,1,1,1,0
667,0,0,0,1,1,1,0,1,1,0,1
668,1,1,1,1,1,1,0,1,0,1,1
669,1,0,0,0,0,1,0,0,1,0,1
670,1,0,0,0,1,0,0,0,1,0,0
671,0,1,0,1,0,0,1,1,0,0,1
672,0,0,1,0,0,0,1,1,0,0,0
673,1,0,0,0,0,0,1,1,0,0,1
674,0,0,1,1,1,0,0,1,1,1,1
675,1,1,0,0,0,1,0,1,1,1,1
676,0,1,1,1,1,1,0,0,0,0,0
677,1,0,1,1,0,1,0,1,0,1,0
678,1,0,1,1,0,1,0,0,1,0,1
679,0,0,1,1,0,0,1,1,0,1,1
680,0,1,0,0,0,0,1,0,0,0,1
681,0,0,1,0,0,1,1,0,0,0,0
682,0,1,0,1,0,0,1,0,1,1,0
683,0,0,1,1,1,1,0,1,0,0,0
684,0,1,0,0,1,1,0,0,1,1,0
685,0,1,0,0,0,0,1,0,1,1,1
686,0,1,1,1,0,0,1,0,1,1,1
687,0,0,1,1,0,0,0,0,1,0,0
688,0,0,1,1,0,1,0,1,0,0,0
689,0,0,1,1,1,1,0,1,0,1,0
690,1,0,0,1,0,1,1,0,1,1,0
691,0,0,0,0,0,1,0,1,0,0,0
692,0,0,0,0,0,1,1,0,1,1,1
693,0,1,1,0,1,1,1,0,0,0,1
694,0,1,1,1,0,1,0,0,0,0,0
695,1,0,1,0,0,1,0,1,1,0,1
696,1,1,0,1,0,1,0,0,0,1,1
697,1,1,0,0,1,0,1,0,1,0,1
698,1,1,1,1,1,0,0,0,0,1,1
699,0,0,1,0,0,1,0,0,0,0,0
700,0,1,0,0,1,0,1,0,1,1,1
701,0,1,1,1,1,0,1,0,0,1,1
702,1,0,0,0,1,0,0,1,0,0,1
703,0,1,1,1,0,1,0,1,0,1,1
704,0,0,0,1,1,1,1,1,1,1,1
705,0,1,1,1,1,1,0,1,0,1,1
706,1,0,1,1,0,1,0,0,1,1,1
707,1,0,1,0,1,0,0,0,1,1,1
708,0,0,1,1,1,0,1,0,1,1,0
709,0,1,1,1,0,0,0,1,1,0,0
710,1,0,0,1,0,1,1,1,1,1,1
711,0,0,0,1,1,0,1,1,0,1,0
712,1,0,1,1,0,1,1,0,0,1,1
713,1,0,1,1,1,1,1,1,1,0,0
714,0,1,1,1,0,0,0,0,0,1,1
715,1,1,0,0,1,1,1,0,0,0,0
716,1,0,0,1,1,0,1,0,0,1,1
717,1,0,0,0,0,1,1,0,0,1,1
718,1,1,0,0,1,1,0,1,0,1,1
719,1,0,1,0,1,0,0,1,0,1,0
720,0,0,0,1,0,0,0,1,1,1,0
721,1,0,0,1,0,0,1,1,0,0,0
722,0,0,0,1,1,0,0,0,1,1,1
723,1,1,1,0,1,1,0,1,0,1,0
724,0,1,1,1,1,1,0,1,1,1,1
725,0,0,0,1,0,0,0,0,0,1,1
726,0,0,1,0,1,0,0,0,1,0,1
727,1,0,0,0,1,0,0,0,1,1,0
728,1,0,0,0,0,1,0,1,0,0,0
729,1,1,1,0,0,0,0,1,0,1,1
730,0,1,1,1,0,0,0,0,1,1,1
731,1,0,0,1,1,0,0,1,1,0,0
732,1,1,0,0,1,0,0,0,1,1,1
733,0,1,1,0,0,0,1,1,0,1,1
734,1,1,1,0,1,0,1,0,0,1,0
735,0,0,1,1,0,1,1,1,1,1,0
736,0,1,1,0,0,1,1,0,0,0,1
737,1,0,0,0,0,0,1,0,0,1,0
738,0,1,1,1,0,0,0,1,1,1,0
739,0,1,1,0,0,1,1,1,1,1,0
740,0,0,0,1,0,0,0,0,0,0,1
741,0,0,1,1,0,1,0,0,0,0,1
742,1,1,0,0,1,1,0,1,1,1,1
743,0,0,0,0,1,0,1,0,0,1,0
744,1,1,1,0,0,0,0,1,0,0,1
745,0,0,1,0,1,1,0,1,0,1,1
746,0,0,1,0,0,0,1,1,1,0,0
747,1,0,1,1,0,0,1,0,0,0,0
748,1,0,0,1,1,1,0,0,1,1,0
749,0,0,0,0,1,0,0,1,0,0,1
750,1,1,1,1,0,1,1,1,0,1,1
751,0,1,1,0,1,1,0,0,0,0,1
752,1,1,1,0,0,0,1,0,1,0,0
753,1,0,1,0,0,1,0,0,1,0,0
754,0,1,1,0,0,1,0,1,1,0,0
755,1,1,0,1,0,0,0,1,1,0,1
756,0,1,0,1,0,1,1,1,1,1,0
757,0,0,1,1,0,1,0,1,1,1,0
758,0,1,0,1,1,1,0,0,0,0,1
759,0,1,1,0,1,0,1,1,0,0,1
760,1,0,0,0,1,1,0,1,1,0,0
761,0,0,0,0,0,1,1,0,0,0,1
762,1,1,1,1,1,0,0,1,1,0,0
763,1,1,0,1,0,0,0,1,0,0,1
764,0,0,1,0,1,1,0,0,0,0,0
765,1,0,0,0,1,1,0,0,1,1,1
766,0,1,0,0,0,0,1,1,0,1,0
767,1,1,0,1,0,1,0,0,1,0,1
768,1,1,1,0,1,1,1,0,0,0,1
769,0,0,1,0,1,1,1,0,0,1,0
770,0,0,0,0,0,1,1,1,1,1,0
771,1,1,1,1,0,0,0,1,0,1,0
772,0,1,1,1,1,1,1,0,0,0,0
773,0,0,0,1,0,1,0,1,0,1,1
774,0,1,1,0,0,1,0,1,0,0,0
775,1,1,0,1,1,1,1,1,0,0,0
776,0,0,0,0,1,1,0,0,0,1,1
777,1,1,0,0,1,0,0,0,0,1,1
778,1,1,0,0,1,0,1,0,0,0,1
779,1,1,0,1,0,1,0,1,1,1,0
780,1,0,0,1,1,0,1,1,1,0,0
781,0,1,1,0,0,1,1,1,0,1,0
782,1,0,0,0,1,1,0,0,0,0,1
783,1,0,0,1,1,0,1,0,0,0,1
784,1,0,0,1,1,1,1,1,1,1,1
785,0,0,1,0,1,1,0,0,1,1,0
786,1,1,0,0,0,0,0,1,1,0,0
787,0,1,0,0,0,1,1,0,1,0,0
788,0,1,0,0,1,0,1,0,0,1,1
789,1,0,0,0,0,1,1,0,1,1,1
790,0,1,0,1,0,0,1,0,0,1,0
791,0,1,0,1,0,0,1,0,1,0,0
792,1,0,1,0,0,0,1,0,1,0,1
793,1,0,1,1,1,0,1,0,1,1,0
794,0,1,0,0,1,1,1,0,1,1,0
795,0,0,1,1,0,0,1,0,1,1,0
796,1,0,0,0,1,0,0,1,0,1,1
797,0,0,1,1,0,1,1,0,0,0,1
798,1,0,0,1,0,0,1,1,1,0,0
799,0,1,1,1,0,1,1,1,1,1,1
800,1,0,0,1,0,1,0,0,1,1,0
801,1,1,0,0,1,0,0,1,0,1,0
802,1,0,0,1,0,1,0,0,0,1,0
803,0,1,0,0,1,1,1,1,1,0,1
804,0,0,0,1,0,0,1,0,1,1,1
805,0,1,0,1,1,1,0,1,1,0,0
806,1,0,0,1,0,0,1,0,1,0,1
807,0,1,1,1,0,0,0,0,0,0,1
808,0,1,0,0,1,1,1,0,1,0,0
809,1,0,0,1,1,1,1,0,1,1,0
810,0,1,1,0,0,1,0,0,0,1,1
811,1,1,0,0,1,1,0,0,1,1,0
812,0,0,1,0,1,1,1,1,1,1,1
813,1,1,0,1,1,1,0,0,1,1,1
814,1,1,0,0,0,0,0,0,0,1,1
815,0,1,0,1,1,1,0,0,1,0,1
816,0,0,1,1,0,1,1,1,0,1,0
817,1,0,1,0,1,1,1,0,0,0,0
818,1,1,1,0,0,1,0,0,0,0,1
819,0,1,0,1,1,0,1,0,1,1,0
820,0,1,1,1,1,1,0,0,1,1,0
821,0,1,1,0,0,0,1,1,0,0,1
822,1,1,0,0,1,1,0,0,0,1,0
823,1,0,0,0,1,0,1,1,1,1,1
824,0,1,1,1,1,1,1,1,0,1,1
825,0,0,0,1,0,1,1,1,0,0,1
826,0,0,1,1,1,1,0,0,0,0,1
827,1,1,1,0,0,0,0,1,1,1,1
828,0,1,0,1,0,0,0,0,1,1,0
829,1,0,1,1,0,0,1,1,1,1,1
830,0,1,0,0,0,0,0,1,0,1,0
831,0,0,0,1,1,1,1,0,0,1,0
832,0,0,1,0,0,1,0,0,0,1,0
833,1,0,1,1,0,1,0,1,1,1,0
834,0,1,1,1,1,0,1,0,1,1,1
835,0,0,1,0,0,1,0,1,0,0,1
836,1,0,1,0,0,0,1,1,1,0,0
837,1,0,0,0,1,1,1,0,0,1,1
838,0,1,0,0,0,1,0,0,1,0,0
839,0,1,0,1,0,0,0,1,0,1,1
840,1,0,1,1,0,0,0,1,1,0,1
841,1,0,0,0,1,1,0,1,0,0,0
842,0,0,1,1,1,1,1,1,1,1,0
843,0,0,0,1,1,0,0,1,0,0,0
844,0,1,1,1,0,0,1,1,1,0,0
845,1,0,1,0,0,1,0,1,0,0,1
846,1,1,0,1,1,1,1,0,0,1,1
847,0,0,0,0,0,0,0,0,1,0,0
848,1,1,1,1,0,1,0,0,0,1,0
849,1,1,0,0,0,1,0,1,0,1,1
850,1,0,0,0,0,0,0,0,1,1,0
851,0,1,1,0,1,1,1,1,1,0,0
852,1,0,0,1,1,1,0,1,0,0,1
853,1,1,1,1,0,1,0,0,1,1,0
854,0,0,0,1,0,1,0,0,0,0,0
855,0,1,0,0,1,0,0,1,0,0,0
856,0,1,1,1,0,1,0,0,0,1,0
857,1,0,0,0,0,1,1,1,0,1,0
858,1,1,0,1,1,1,0,1,0,1,0
859,0,1,1,0,0,0,0,1,0,0,1
860,0,1,1,1,0,1,0,0,1,1,0
861,0,1,0,1,1,1,1,0,1,0,1
862,0,0,0,1,0,1,1,0,0,0,0
863,1,1,1,1,1,1,0,0,1,1,0
864,0,1,0,1,1,0,0,0,1,0,0
865,0,0,1,1,1,0,0,0,1,1,0
866,0,0,0,1,0,1,0,1,1,1,1
867,0,1,0,0,0,0,1,1,1,0,0
868,1,0,0,0,0,0,1,1,0,1,1
869,1,0,1,0,0,1,1,0,1,1,0
870,0,1,0,1,0,1,0,0,1,0,1
871,1,0,1,1,0,1,1,0,1,0,1
872,1,1,0,1,0,0,0,0,1,0,0
873,1,1,1,1,1,0,1,0,0,1,1
874,1,0,0,0,0,0,0,0,0,1,0
875,1,0,0,1,1,0,0,0,0,1,1
876,0,0,1,1,1,0,1,0,0,1,0
877,1,1,1,1,1,1,1,0,0,0,0
878,1,0,1,0,1,1,1,0,1,0,0
879,1,0,1,0,1,1,1,1,1,0,1
880,0,1,1,1,1,1,1,0,0,1,0
881,1,1,1,0,1,1,1,1,0,0,0
882,1,1,0,1,0,1,1,0,0,0,1
883,0,1,0,1,1,0,0,1,0,1,1
884,1,0,1,1,0,1,0,0,0,0,1
885,0,0,1,0,1,0,0,1,0,0,0
886,0,1,1,1,1,1,1,1,1,0,1
887,1,1,0,1,1,1,0,1,0,0,0
888,1,1,1,1,0,0,0,1,1,1,0
889,0,0,1,0,1,0,1,1,0,1,0
890,0,0,0,1,0,1,0,0,0,1,0
891,0,0,0,1,1,1,1,1,0,1,1
892,0,1,0,1,1,1,1,0,0,0,1
893,0,0,0,0,0,0,1,0,0,1,0
894,0,1,1,1,0,1,0,1,0,0,1
895,1,1,0,0,1,0,1,1,1,1,0
896,1,0,0,0,0,0,1,1,1,1,1
897,1,0,1,1,0,1,1,1,1,0,0
898,1,1,0,1,1,0,0,1,1,1,1
899,1,1,1,0,0,0,1,1,0,0,1
900,1,0,1,1,0,1,0,0,0,1,1
901,0,0,0,0,1,0,0,1,1,0,1
902,0,1,1,0,1,0,1,0,1,1,0
903,0,1,0,0,1,0,1,1,0,1,0
904,0,1,0,0,0,0,0,0,1,1,1
905,0,1,0,1,1,0,0,1,1,0,1
906,0,1,1,0,0,0,1,0,1,1,0
907,0,0,0,1,1,1,0,0,1,0,0
908,1,0,1,0,1,0,0,0,1,0,1
909,1,1,0,1,0,1,0,0,0,0,1
910,0,0,1,0,1,1,1,1,0,1,1
911,1,0,1,0,0,1,0,1,1,1,1
912,0,1,0,0,0,0,0,1,1,0,0
913,1,1,1,1,0,1,0,0,0,0,0
914,1,0,0,0,0,1,1,0,1,0,1
915,0,0,1,0,0,1,1,0,0,1,0
916,0,1,0,0,0,0,0,1,0,0,0
917,1,1,0,1,1,0,0,0,0,0,0
918,0,0,1,1,0,0,1,0,1,0,0
919,1,0,1,1,1,1,1,0,0,0,1
920,1,1,1,0,0,1,0,1,1,1,0
921,0,0,0,0,1,1,1,0,1,1,1
922,0,0,1,1,0,1,0,1,0,1,0
923,1,0,0,1,1,0,0,1,1,1,0
924,0,1,1,0,1,0,0,1,1,1,1
925,0,1,1,0,1,1,0,1,1,0,0
926,1,1,0,0,0,1,1,0,1,1,0
927,0,1,0,0,1,1,0,1,1,0,1
928,1,1,1,0,1,0,1,0,0,0,0
929,1,1,1,1,1,1,1,1,1,1,1
930,1,1,1,1,1,0,1,1,0,0,0
931,1,0,1,0,1,1,0,1,1,0,1
932,0,0,0,0,1,1,0,1,0,0,0
933,1,1,1,1,1,0,1,0,0,0,1
934,1,1,1,0,0,0,0,0,0,1,0
935,1,0,0,1,1,1,0,1,1,0,1
936,1,1,0,1,1,0,1,0,0,0,0
937,1,1,0,0,0,0,1,1,1,1,0
938,0,0,0,0,1,0,1,1,1,0,1
939,1,1,0,0,1,1,1,0,0,1,0
940,1,1,0,0,1,0,1,0,1,1,1
941,1,0,0,1,0,1,0,1,0,1,1
942,1,0,0,1,0,0,1,0,0,1,1
943,1,0,1,0,1,0,1,1,0,1,0
944,0,1,0,0,0,1,0,1,1,0,1
945,0,0,1,0,1,1,1,0,0,0,0
946,0,1,1,1,0,1,0,0,1,0,0
947,0,0,1,1,0,1,1,1,0,0,0
948,0,0,1,0,0,0,0,0,0,1,1
949,0,0,0,1,1,1,1,0,1,1,0
950,0,1,0,1,0,1,1,0,1,0,1
951,0,0,0,0,0,1,1,0,1,0,1
952,0,0,0,1,1,1,0,1,0,0,1
953,1,0,0,1,0,0,0,1,1,0,0
954,0,0,1,1,1,1,1,0,1,1,1
955,1,0,0,0,1,1,1,1,0,0,0
956,0,1,1,1,0,1,1,0,0,1,0
957,1,1,0,0,0,1,1,1,1,0,1
958,0,1,1,0,0,0,1,1,1,1,1
959,1,0,0,1,1,1,1,0,1,0,0
960,1,1,1,0,0,0,0,0,1,0,0
961,0,0,1,0,0,0,0,1,1,1,0
962,0,1,1,1,1,0,1,1,1,1,0
963,1,0,0,0,0,1,1,0,0,0,1
964,1,1,1,0,0,0,1,0,0,0,0
965,0,0,0,0,1,1,0,0,0,0,1
966,0,1,1,0,0,0,1,0,0,0,0
967,0,0,1,0,1,0,1,0,1,1,1
968,0,0,0,0,1,0,1,1,0,0,1
969,0,0,0,0,0,1,1,1,0,0,0
970,1,0,1,1,1,1,1,0,1,0,1
971,1,1,0,1,1,1,0,1,1,0,0
972,1,1,1,1,1,0,0,1,0,0,0
973,1,0,1,0,0,1,1,1,1,1,1
974,0,1,0,1,1,0,0,1,1,1,1
975,1,0,0,0,1,1,0,1,0,1,0
976,1,0,1,1,0,1,1,1,0,0,0
977,1,0,0,1,1,0,0,1,0,0,0
978,1,1,0,1,0,1,1,0,1,0,1
979,1,0,0,1,1,1,0,0,1,0,0
980,1,1,0,1,0,1,0,1,0,0,0
981,0,1,1,0,1,0,1,0,0,0,0
982,0,1,0,1,0,1,1,0,0,0,1
983,1,1,0,0,0,1,0,0,0,0,0
984,1,1,0,0,0,0,1,1,0,1,0
985,1,1,1,1,0,1,1,0,1,0,0
986,0,0,0,0,1,0,0,0,1,1,0
987,0,0,0,0,0,0,1,1,1,0,1
988,1,1,1,0,1,1,1,0,1,1,1
989,0,0,1,0,0,0,1,1,0,1,0
990,1,0,0,1,0,1,1,0,1,0,0
991,1,0,0,1,0,1,0,1,0,0,1
992,0,1,1,1,0,1,1,1,0,1,1
993,1,0,0,0,0,1,0,0,1,1,1
994,1,0,1,1,0,0,0,0,1,1,0
995,1,0,1,1,1,0,1,1,0,0,1
996,0,1,0,1,1,1,1,0,0,1,1
997,0,0,0,1,0,0,1,1,1,0,0
998,1,1,1,0,1,0,1,0,1,1,0
999,1,0,0,1,1,0,0,1,0,1,0
1000,0,0,1,1,1,0,0,0,1,0,0
1001,0,0,0,0,0,0,1,0,1,1,0
1002,0,0,1,0,0,0,1,0,0,0,1
1003,1,0,1,0,1,1,0,1,1,1,1
1004,1,1,1,0,1,0,0,0,1,1,0
1005,0,1,1,0,1,1,0,1,0,0,0
1006,0,0,0,1,1,0,1,0,1,0,1
1007,1,1,0,1,1,1,1,1,1,0,0
1008,1,1,1,1,0,0,1,1,0,0,0
1009,0,0,0,1,1,0,0,1,1,0,0
1010,1,1,0,1,1,0,1,1,1,0,1
1011,0,0,1,1,1,0,1,1,1,1,1
1012,0,1,0,1,1,1,1,1,1,1,0
1013,0,0,1,0,0,0,0,1,0,0,0
1014,0,1,0,0,0,0,0,0,0,0,1
1015,1,1,0,0,0,1,0,1,1,0,1
1016,0,1,1,0,0,1,1,1,1,0,0
1017,1,1,0,0,0,1,1,1,0,1,1
1018,1,0,1,1,1,0,0,1,0,0,1
1019,1,0,0,1,0,1,0,1,1,0,1
1020,1,0,0,1,0,1,1,0,0,1,0
1021,1,0,1,0,1,1,1,1,0,0,1
1022,1,1,1,0,1,1,0,0,1,1,1
1023,0,0,0,0,0,0,0,1,1,0,1
1024,1,1,0,1,0,1,0,0,1,1,1
1025,1,0,1,0,0,0,0,0,1,0,1
1026,0,1,0,0,0,1,1,0,0,1,0
1027,0,0,1,1,0,0,0,0,0,0,0
1028,1,0,0,1,0,0,1,1,0,1,0
1029,1,1,0,0,0,1,1,1,1,1,1
1030,1,0,1,1,0,0,1,0,1,0,0
1031,0,0,1,1,1,0,1,0,1,0,0
1032,1,0,1,1,1,0,0,1,1,0,1
1033,1,1,1,1,1,1,0,0,1,0,0
1034,1,0,0,0,0,1,0,1,1,0,0
1035,1,0,0,0,1,1,0,0,0,1,1
1036,0,0,0,1,0,0,0,0,1,1,1
1037,0,0,1,0,0,1,0,1,1,0,1
1038,1,0,0,0,0,0,0,1,1,0,1
1039,1,0,1,0,0,1,0,1,0,1,1
1040,1,0,1,0,0,1,1,0,0,1,0
1041,1,0,1,0,0,0,1,1,1,1,0
1042,1,1,1,0,1,0,0,0,0,1,0
1043,0,1,0,0,1,1,1,1,0,1,1
1044,0,0,1,1,1,1,0,1,1,1,0
1045,0,1,1,0,0,1,1,0,1,0,1
1046,0,1,1,1,0,0,1,0,0,1,1
1047,0,1,1,0,0,1,0,0,1,0,1
1048,0,1,1,0,0,0,1,0,1,0,0
1049,1,1,1,0,0,1,0,0,1,0,1
1050,0,1,0,1,0,0,1,1,1,0,1
1051,1,0,1,0,1,0,1,1,1,1,0
1052,1,1,1,0,1,1,1,0,1,0,1
1053,0,0,0,1,0,0,1,1,1,1,0
1054,1,1,1,1,1,0,0,0,1,0,1
1055,1,1,0,0,1,0,1,1,0,0,0
1056,0,0,1,1,1,1,1,1,1,0,0
1057,1,0,0,1,0,0,0,1,0,1,0
1058,0,0,0,0,0,1,1,0,0,1,1
1059,0,0,0,1,1,0,0,0,0,0,1
1060,1,0,1,1,0,0,0,1,0,1,1
1061,1,0,0,0,1,0,1,0,1,1,0
1062,0,0,0,0,1,0,0,0,1,0,0
1063,0,0,0,1,0,1,1,0,0,1,0
1064,1,1,1,1,0,1,1,1,1,0,1
1065,1,0,0,0,0,0,0,1,1,1,1
1066,1,1,1,0,1,0,0,1,1,1,1
1067,1,0,0,1,0,0,1,0,0,0,1
1068,0,0,0,0,1,1,1,0,1,0,1
1069,0,1,1,1,0,0,1,1,1,1,0
1070,0,0,1,0,1,1,0,0,0,1,0
1071,0,1,0,0,0,1,0,0,1,1,0
1072,0,0,0,1,0,0,1,0,0,1,1
1073,1,1,0,0,1,1,0,0,1,0,0
1074,0,0,1,1,0,0,0,0,1,1,0
1075,0,0,1,1,1,0,0,1,0,1,1
1076,0,1,0,1,1,0,1,0,0,1,0
1077,1,1,1,1,0,1,0,1,0,1,1
1078,0,1,1,1,1,0,0,0,1,1,1
1079,0,1,1,0,0,0,1,1,1,0,1
1080,0,0,1,0,1,1,1,0,1,0,0
1081,0,0,1,0,1,0,1,0,1,0,1
1082,1,0,1,1,1,1,0,1,0,0,0
1083,1,1,1,1,1,0,1,0,1,0,1
1084,1,1,0,0,0,0,0,0,1,1,1
1085,1,1,1,0,0,1,1,0,1,1,1
1086,1,0,0,1,0,0,1,1,1,1,0
1087,0,0,0,1,0,0,0,1,1,0,0
1088,0,1,0,1,1,1,1,1,0,1,0
1089,1,0,0,0,1,0,1,0,0,1,0
1090,1,1,0,0,1,1,0,1,1,0,1
1091,1,0,1,0,1,1,1,0,0,1,0
1092,0,1,1,0,0,0,0,0,1,1,0
1093,1,0,1,1,0,1,0,1,1,0,0
1094,1,0,0,0,1,0,1,1,0,0,1
1095,1,1,1,0,1,1,0,0,1,0,1
1096,0,1,0,1,1,0,0,0,1,1,0
1097,0,1,0,0,1,1,1,0,0,0,0
1098,0,1,0,0,1,0,0,1,0,1,0
1099,0,0,0,1,0,1,1,1,1,0,1
1100,1,0,0,1,1,1,0,1,0,1,1
1101,0,0,0,0,1,0,1,0,1,1,0
1102,0,1,1,0,1,0,1,1,1,0,1
1103,0,1,1,1,1,0,0,1,0,1,0
1104,0,1,1,1,0,1,0,1,1,0,1
1105,0,0,0,1,1,1,1,1,0,0,1
1106,0,1,1,0,1,0,1,1,1,1,1
1107,0,0,1,0,1,0,1,0,0,0,1
1108,1,1,1,1,1,1,0,1,0,0,1
1109,0,1,0,0,0,1,1,1,1,1,1
1110,0,1,0,0,1,1,0,1,0,0,1
1111,1,0,0,1,0,1,1,0,0,0,0
1112,0,1,0,1,1,1,1,1,0,0,0
1113,1,1,1,0,0,0,1,0,0,1,0
1114,0,1,1,1,0,1,1,0,0,0,0
1115,1,1,1,1,1,0,0,1,0,1,0
1116,0,1,1,1,1,1,0,0,0,1,0
1117,1,1,1,0,1,0,0,0,0,0,0
1118,0,0,0,0,1,0,1,0,1,0,0
1119,0,0,1,0,1,1,0,1,1,0,1
1120,0,1,0,0,1,0,0,0,1,1,1
1121,0,1,0,0,1,1,0,0,1,0,0
1122,1,1,0,0,1,1,1,0,1,0,0
1123,0,1,0,0,1,0,1,1,1,0,0
