d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
487,52.0,blue-collar,married,primary,no,779.0,yes,no,unknown,16.0,may,30.0,3.0,-1.0,0.0,unknown,1
488,55.0,blue-collar,single,primary,no,1187.0,yes,no,unknown,2.0,jun,193.0,2.0,-1.0,0.0,unknown,1
489,33.0,management,married,tertiary,no,641.0,yes,no,cellular,13.0,aug,347.0,2.0,-1.0,0.0,unknown,1
490,52.0,blue-collar,married,unknown,no,826.0,yes,no,unknown,15.0,may,468.0,2.0,-1.0,0.0,unknown,1
491,33.0,services,divorced,secondary,no,991.0,yes,no,unknown,27.0,may,148.0,1.0,-1.0,0.0,unknown,1
492,53.0,admin.,married,secondary,no,1796.0,no,no,telephone,16.0,mar,295.0,1.0,91.0,2.0,success,2
493,46.0,admin.,married,secondary,no,22.0,no,no,cellular,26.0,aug,388.0,6.0,-1.0,0.0,unknown,2
494,44.0,technician,single,secondary,no,244.0,yes,no,cellular,12.0,aug,1735.0,4.0,-1.0,0.0,unknown,2
495,48.0,management,divorced,tertiary,no,1328.0,yes,no,unknown,6.0,may,339.0,1.0,-1.0,0.0,unknown,1
496,50.0,housemaid,married,secondary,no,7317.0,yes,no,cellular,13.0,may,172.0,1.0,370.0,1.0,failure,1
497,34.0,technician,single,secondary,no,4943.0,yes,yes,cellular,19.0,nov,117.0,2.0,-1.0,0.0,unknown,1
498,38.0,technician,single,secondary,no,258.0,no,yes,unknown,20.0,jun,587.0,2.0,-1.0,0.0,unknown,1
499,42.0,management,single,tertiary,no,515.0,yes,no,cellular,19.0,nov,501.0,2.0,-1.0,0.0,unknown,1
500,32.0,management,single,tertiary,no,12607.0,no,no,cellular,14.0,aug,203.0,5.0,84.0,1.0,failure,1
501,58.0,admin.,married,secondary,no,2.0,yes,yes,telephone,25.0,jul,282.0,9.0,-1.0,0.0,unknown,1
502,31.0,management,married,tertiary,no,13.0,no,no,cellular,28.0,aug,110.0,5.0,-1.0,0.0,unknown,1
503,19.0,student,single,primary,no,103.0,no,no,cellular,10.0,jul,104.0,2.0,-1.0,0.0,unknown,2
504,41.0,management,married,tertiary,no,3872.0,no,no,cellular,15.0,oct,231.0,1.0,-1.0,0.0,unknown,1
505,31.0,unemployed,married,secondary,no,296.0,yes,no,unknown,20.0,may,378.0,3.0,-1.0,0.0,unknown,1
506,52.0,self-employed,single,primary,no,217.0,no,yes,cellular,15.0,jul,193.0,6.0,-1.0,0.0,unknown,1
507,42.0,self-employed,divorced,tertiary,no,360.0,yes,no,unknown,24.0,jun,110.0,5.0,-1.0,0.0,unknown,1
508,41.0,blue-collar,single,secondary,no,428.0,yes,no,cellular,12.0,may,92.0,1.0,-1.0,0.0,unknown,1
509,30.0,blue-collar,single,secondary,no,315.0,no,no,cellular,23.0,jun,1407.0,1.0,-1.0,0.0,unknown,2
510,38.0,blue-collar,married,secondary,no,121.0,yes,yes,cellular,6.0,feb,168.0,1.0,212.0,2.0,failure,1
511,32.0,management,married,tertiary,no,820.0,yes,no,cellular,17.0,jul,738.0,3.0,-1.0,0.0,unknown,1
512,52.0,technician,married,secondary,no,195.0,yes,no,cellular,18.0,feb,220.0,1.0,63.0,5.0,failure,2
513,48.0,management,divorced,tertiary,no,108.0,yes,no,unknown,27.0,may,89.0,2.0,-1.0,0.0,unknown,1
514,36.0,management,married,tertiary,no,-381.0,yes,no,cellular,31.0,jul,30.0,29.0,-1.0,0.0,unknown,1
515,45.0,unemployed,divorced,primary,no,757.0,no,no,cellular,20.0,apr,103.0,1.0,325.0,4.0,failure,1
516,34.0,technician,married,tertiary,no,691.0,yes,yes,unknown,2.0,jun,70.0,1.0,-1.0,0.0,unknown,1
517,36.0,blue-collar,married,primary,no,1925.0,yes,no,cellular,20.0,apr,904.0,2.0,-1.0,0.0,unknown,2
518,34.0,management,married,tertiary,no,902.0,yes,no,cellular,14.0,may,159.0,1.0,367.0,2.0,other,1
519,61.0,retired,married,secondary,no,5207.0,no,no,cellular,11.0,sep,336.0,1.0,81.0,2.0,other,1
520,54.0,services,married,secondary,no,0.0,no,no,unknown,19.0,jun,220.0,1.0,-1.0,0.0,unknown,1
521,50.0,entrepreneur,married,secondary,no,665.0,no,no,telephone,17.0,nov,238.0,1.0,-1.0,0.0,unknown,1
522,43.0,admin.,divorced,secondary,no,738.0,yes,no,cellular,21.0,nov,585.0,4.0,191.0,4.0,failure,1
523,47.0,blue-collar,married,primary,no,233.0,no,no,cellular,8.0,aug,293.0,3.0,-1.0,0.0,unknown,1
524,45.0,services,married,secondary,no,-839.0,yes,no,unknown,28.0,may,68.0,1.0,-1.0,0.0,unknown,1
525,57.0,retired,married,primary,no,5799.0,no,no,unknown,17.0,jun,97.0,1.0,-1.0,0.0,unknown,1
526,27.0,admin.,married,secondary,no,1033.0,yes,no,unknown,9.0,may,1713.0,1.0,-1.0,0.0,unknown,1
527,49.0,unemployed,divorced,secondary,no,66.0,no,no,cellular,9.0,jul,218.0,3.0,-1.0,0.0,unknown,1
528,43.0,services,married,primary,no,2567.0,yes,no,cellular,14.0,may,109.0,1.0,360.0,2.0,failure,1
529,40.0,management,married,tertiary,no,1584.0,yes,no,telephone,21.0,nov,661.0,1.0,-1.0,0.0,unknown,1
530,32.0,services,single,secondary,no,182.0,yes,no,cellular,6.0,may,145.0,1.0,-1.0,0.0,unknown,1
531,58.0,management,married,primary,no,76.0,yes,no,telephone,18.0,may,54.0,4.0,-1.0,0.0,unknown,1
532,34.0,admin.,single,secondary,no,663.0,yes,no,cellular,20.0,apr,111.0,1.0,-1.0,0.0,unknown,1
533,46.0,technician,divorced,secondary,no,3455.0,yes,no,unknown,14.0,may,566.0,2.0,-1.0,0.0,unknown,1
534,29.0,blue-collar,married,secondary,no,15.0,no,no,cellular,3.0,jun,136.0,1.0,-1.0,0.0,unknown,1
535,52.0,blue-collar,married,primary,no,1054.0,no,no,cellular,4.0,aug,273.0,1.0,-1.0,0.0,unknown,1
536,45.0,management,married,tertiary,no,1529.0,no,no,cellular,30.0,jun,160.0,1.0,-1.0,0.0,unknown,1
537,26.0,management,single,secondary,no,63.0,no,no,cellular,28.0,jul,76.0,4.0,-1.0,0.0,unknown,1
538,40.0,technician,married,tertiary,no,0.0,no,no,cellular,19.0,aug,44.0,1.0,-1.0,0.0,unknown,1
539,41.0,admin.,married,secondary,no,920.0,yes,yes,unknown,27.0,may,239.0,1.0,-1.0,0.0,unknown,1
540,47.0,admin.,single,secondary,no,3696.0,no,no,cellular,12.0,jul,250.0,2.0,181.0,4.0,success,2
541,27.0,technician,single,unknown,no,59.0,no,no,cellular,15.0,jul,792.0,4.0,-1.0,0.0,unknown,1
542,27.0,services,married,secondary,no,0.0,yes,no,cellular,23.0,jul,198.0,13.0,-1.0,0.0,unknown,1
543,48.0,blue-collar,married,secondary,no,157.0,yes,no,unknown,6.0,may,73.0,1.0,-1.0,0.0,unknown,1
544,49.0,admin.,married,secondary,no,2465.0,no,no,cellular,20.0,aug,157.0,3.0,-1.0,0.0,unknown,1
545,35.0,blue-collar,married,primary,no,0.0,yes,no,cellular,24.0,jul,90.0,6.0,-1.0,0.0,unknown,1
546,47.0,self-employed,married,secondary,yes,2.0,no,no,cellular,5.0,feb,236.0,2.0,-1.0,0.0,unknown,1
547,54.0,management,married,tertiary,no,0.0,no,no,cellular,16.0,jul,118.0,5.0,-1.0,0.0,unknown,1
548,39.0,management,single,tertiary,no,12437.0,no,no,telephone,18.0,nov,40.0,1.0,-1.0,0.0,unknown,1
549,28.0,student,single,secondary,no,378.0,yes,no,cellular,17.0,apr,346.0,1.0,-1.0,0.0,unknown,1
550,54.0,blue-collar,married,primary,no,211.0,no,no,unknown,19.0,jun,200.0,2.0,-1.0,0.0,unknown,1
551,34.0,technician,married,secondary,no,-228.0,yes,no,cellular,20.0,apr,187.0,3.0,332.0,3.0,other,1
552,63.0,retired,married,secondary,no,2747.0,no,no,cellular,11.0,sep,113.0,1.0,80.0,1.0,failure,1
553,42.0,self-employed,married,tertiary,no,1932.0,yes,no,unknown,16.0,may,192.0,32.0,-1.0,0.0,unknown,1
554,43.0,technician,single,secondary,no,11269.0,no,no,unknown,29.0,may,92.0,1.0,-1.0,0.0,unknown,1
555,37.0,admin.,married,secondary,no,1314.0,yes,no,cellular,8.0,may,682.0,2.0,85.0,7.0,success,1
556,55.0,blue-collar,married,primary,no,2275.0,no,no,cellular,25.0,aug,139.0,9.0,-1.0,0.0,unknown,1
557,43.0,management,single,tertiary,no,1304.0,no,no,cellular,6.0,aug,501.0,2.0,-1.0,0.0,unknown,2
558,41.0,blue-collar,married,secondary,yes,720.0,no,yes,cellular,24.0,jul,651.0,1.0,-1.0,0.0,unknown,2
559,47.0,technician,divorced,secondary,no,2914.0,yes,no,cellular,18.0,aug,405.0,13.0,-1.0,0.0,unknown,1
560,34.0,technician,married,secondary,no,1464.0,yes,no,unknown,23.0,may,350.0,1.0,-1.0,0.0,unknown,1
561,28.0,student,single,secondary,no,11555.0,no,no,cellular,8.0,apr,125.0,2.0,-1.0,0.0,unknown,1
562,36.0,services,married,secondary,no,-302.0,yes,no,cellular,13.0,may,36.0,2.0,-1.0,0.0,unknown,1
563,50.0,technician,married,secondary,no,2497.0,yes,no,cellular,21.0,nov,35.0,1.0,176.0,1.0,failure,1
564,35.0,blue-collar,married,secondary,no,-339.0,yes,no,unknown,8.0,may,389.0,2.0,-1.0,0.0,unknown,1
565,40.0,technician,married,secondary,no,56.0,yes,yes,cellular,29.0,jan,194.0,1.0,247.0,1.0,failure,1
566,26.0,self-employed,single,tertiary,no,211.0,no,no,cellular,29.0,jan,168.0,3.0,-1.0,0.0,unknown,1
567,36.0,management,divorced,tertiary,no,3611.0,yes,no,unknown,4.0,jun,347.0,3.0,-1.0,0.0,unknown,1
568,59.0,unemployed,married,primary,no,0.0,no,no,cellular,30.0,jan,3025.0,2.0,-1.0,0.0,unknown,1
569,28.0,student,single,secondary,no,459.0,no,no,cellular,16.0,mar,83.0,13.0,-1.0,0.0,unknown,1
570,46.0,entrepreneur,married,unknown,no,242.0,yes,no,unknown,9.0,may,332.0,2.0,-1.0,0.0,unknown,1
571,50.0,self-employed,married,secondary,no,1138.0,no,no,cellular,14.0,aug,219.0,10.0,-1.0,0.0,unknown,1
572,53.0,management,married,tertiary,no,1319.0,yes,no,cellular,16.0,apr,427.0,1.0,150.0,1.0,failure,1
573,81.0,retired,married,secondary,no,1.0,no,no,cellular,19.0,aug,65.0,5.0,-1.0,0.0,unknown,1
574,35.0,services,divorced,secondary,no,67.0,yes,no,cellular,5.0,may,192.0,2.0,-1.0,0.0,unknown,1
575,58.0,retired,married,unknown,no,937.0,no,no,cellular,5.0,aug,155.0,1.0,-1.0,0.0,unknown,1
576,44.0,services,married,secondary,no,0.0,yes,yes,cellular,11.0,may,161.0,1.0,-1.0,0.0,unknown,1
577,38.0,management,married,tertiary,no,-558.0,yes,no,cellular,21.0,jul,533.0,1.0,-1.0,0.0,unknown,1
578,49.0,blue-collar,married,secondary,no,171.0,no,no,cellular,4.0,feb,19.0,3.0,175.0,2.0,other,1
579,33.0,technician,single,tertiary,no,696.0,no,yes,cellular,5.0,feb,193.0,1.0,176.0,8.0,failure,1
580,29.0,management,married,tertiary,no,361.0,yes,yes,cellular,28.0,jul,819.0,3.0,-1.0,0.0,unknown,1
581,28.0,technician,single,secondary,no,227.0,no,no,cellular,30.0,apr,278.0,1.0,-1.0,0.0,unknown,2
582,31.0,admin.,married,secondary,no,236.0,yes,yes,telephone,4.0,may,211.0,3.0,-1.0,0.0,unknown,1
583,33.0,management,single,tertiary,no,-53.0,no,no,cellular,29.0,jan,617.0,2.0,-1.0,0.0,unknown,1
584,52.0,technician,married,secondary,no,192.0,yes,no,cellular,23.0,jul,61.0,2.0,-1.0,0.0,unknown,1
585,43.0,management,divorced,tertiary,no,38.0,yes,no,cellular,25.0,jul,197.0,6.0,-1.0,0.0,unknown,1
586,32.0,self-employed,single,secondary,no,518.0,yes,no,cellular,18.0,may,34.0,7.0,-1.0,0.0,unknown,1
587,36.0,self-employed,married,tertiary,no,16.0,yes,yes,cellular,18.0,jul,95.0,4.0,-1.0,0.0,unknown,1
588,41.0,blue-collar,married,secondary,no,-256.0,yes,no,unknown,3.0,jun,147.0,2.0,-1.0,0.0,unknown,1
589,43.0,blue-collar,married,secondary,no,105.0,no,yes,cellular,4.0,jul,668.0,2.0,-1.0,0.0,unknown,1
590,45.0,self-employed,married,tertiary,no,334.0,no,no,unknown,5.0,jun,87.0,2.0,-1.0,0.0,unknown,1
591,39.0,technician,married,secondary,no,1048.0,no,yes,cellular,21.0,jul,405.0,1.0,-1.0,0.0,unknown,1
592,41.0,services,married,secondary,no,108.0,yes,yes,unknown,13.0,may,83.0,7.0,-1.0,0.0,unknown,1
593,31.0,technician,married,secondary,no,660.0,no,no,cellular,22.0,jun,115.0,1.0,-1.0,0.0,unknown,1
594,37.0,unemployed,single,tertiary,yes,0.0,yes,no,cellular,10.0,jul,108.0,1.0,-1.0,0.0,unknown,1
595,28.0,entrepreneur,married,unknown,no,1034.0,no,no,cellular,29.0,jan,113.0,1.0,-1.0,0.0,unknown,1
596,47.0,housemaid,married,primary,no,201.0,yes,no,cellular,7.0,aug,58.0,2.0,382.0,1.0,failure,1
597,37.0,housemaid,married,primary,no,189.0,no,no,cellular,8.0,aug,148.0,4.0,-1.0,0.0,unknown,1
598,60.0,retired,divorced,unknown,no,-49.0,yes,no,cellular,29.0,jan,188.0,1.0,261.0,2.0,failure,1
599,43.0,technician,divorced,secondary,no,1413.0,yes,no,telephone,28.0,jul,75.0,3.0,-1.0,0.0,unknown,1
600,58.0,retired,divorced,tertiary,no,264.0,yes,yes,cellular,8.0,jul,523.0,3.0,-1.0,0.0,unknown,1
601,52.0,entrepreneur,married,tertiary,no,54.0,yes,yes,telephone,18.0,nov,103.0,1.0,-1.0,0.0,unknown,1
602,50.0,blue-collar,married,primary,no,12519.0,yes,no,cellular,17.0,apr,146.0,2.0,147.0,4.0,success,1
603,32.0,services,single,secondary,no,2881.0,no,no,cellular,2.0,jul,356.0,1.0,-1.0,0.0,unknown,2
604,42.0,blue-collar,married,primary,no,0.0,yes,no,cellular,17.0,jul,71.0,1.0,-1.0,0.0,unknown,1
605,31.0,admin.,married,secondary,no,88.0,yes,yes,cellular,8.0,aug,189.0,2.0,-1.0,0.0,unknown,1
606,28.0,blue-collar,married,secondary,no,1020.0,yes,no,unknown,28.0,may,251.0,1.0,-1.0,0.0,unknown,1
607,36.0,technician,divorced,tertiary,no,119.0,no,no,cellular,23.0,jul,127.0,8.0,-1.0,0.0,unknown,1
608,51.0,unemployed,single,tertiary,no,1594.0,no,no,telephone,4.0,feb,197.0,1.0,-1.0,0.0,unknown,1
609,46.0,technician,married,tertiary,no,342.0,yes,yes,cellular,5.0,may,84.0,1.0,-1.0,0.0,unknown,1
610,50.0,services,single,secondary,no,72.0,no,no,unknown,8.0,may,141.0,2.0,-1.0,0.0,unknown,1
611,32.0,blue-collar,married,secondary,no,14.0,yes,no,unknown,2.0,jun,171.0,1.0,-1.0,0.0,unknown,1
612,26.0,entrepreneur,single,tertiary,no,81.0,no,no,cellular,21.0,jul,262.0,3.0,-1.0,0.0,unknown,1
613,41.0,self-employed,married,tertiary,no,231.0,no,no,cellular,7.0,aug,352.0,2.0,-1.0,0.0,unknown,2
614,39.0,technician,married,tertiary,no,1161.0,yes,no,cellular,9.0,apr,236.0,1.0,336.0,1.0,failure,1
615,31.0,blue-collar,married,secondary,no,-45.0,yes,no,unknown,2.0,jun,184.0,1.0,-1.0,0.0,unknown,1
616,28.0,management,single,tertiary,no,231.0,yes,yes,cellular,25.0,jul,568.0,2.0,-1.0,0.0,unknown,1
617,31.0,management,single,secondary,no,36.0,no,no,cellular,27.0,aug,105.0,2.0,-1.0,0.0,unknown,1
618,30.0,technician,married,tertiary,no,1570.0,yes,no,cellular,26.0,may,260.0,1.0,-1.0,0.0,unknown,1
619,35.0,technician,married,tertiary,no,7050.0,no,no,cellular,11.0,aug,222.0,3.0,182.0,4.0,success,2
620,33.0,blue-collar,married,primary,no,3704.0,yes,no,unknown,6.0,jun,447.0,2.0,-1.0,0.0,unknown,1
621,30.0,technician,single,tertiary,no,6619.0,yes,no,cellular,21.0,aug,239.0,8.0,-1.0,0.0,unknown,1
622,32.0,blue-collar,single,secondary,no,-84.0,yes,no,cellular,11.0,may,426.0,1.0,-1.0,0.0,unknown,1
623,40.0,management,single,tertiary,no,1509.0,no,no,cellular,12.0,may,333.0,1.0,58.0,3.0,failure,1
624,31.0,self-employed,married,tertiary,no,1134.0,no,no,cellular,6.0,feb,174.0,2.0,-1.0,0.0,unknown,1
625,36.0,technician,married,secondary,no,146.0,yes,yes,unknown,15.0,may,284.0,2.0,-1.0,0.0,unknown,1
626,33.0,management,single,tertiary,no,9449.0,yes,no,cellular,8.0,may,428.0,1.0,-1.0,0.0,unknown,1
627,57.0,retired,married,secondary,no,374.0,yes,yes,cellular,16.0,jul,236.0,1.0,-1.0,0.0,unknown,1
628,45.0,technician,married,secondary,no,88.0,no,no,cellular,29.0,aug,150.0,2.0,-1.0,0.0,unknown,1
629,59.0,management,married,tertiary,no,2764.0,no,no,cellular,24.0,dec,237.0,1.0,206.0,2.0,failure,1
630,30.0,management,single,tertiary,no,2.0,yes,yes,cellular,25.0,jul,1031.0,8.0,-1.0,0.0,unknown,2
631,33.0,technician,married,tertiary,no,8023.0,no,no,cellular,30.0,nov,107.0,1.0,105.0,3.0,failure,1
632,52.0,blue-collar,married,secondary,no,289.0,yes,no,unknown,21.0,may,45.0,13.0,-1.0,0.0,unknown,1
633,83.0,retired,married,secondary,no,0.0,no,no,cellular,18.0,mar,140.0,10.0,-1.0,0.0,unknown,1
634,58.0,self-employed,divorced,tertiary,no,1382.0,no,no,unknown,9.0,jun,700.0,1.0,-1.0,0.0,unknown,2
635,33.0,management,divorced,tertiary,yes,280.0,no,yes,cellular,18.0,nov,155.0,1.0,-1.0,0.0,unknown,1
636,41.0,blue-collar,divorced,primary,no,2195.0,yes,no,unknown,3.0,jun,211.0,5.0,-1.0,0.0,unknown,1
637,31.0,self-employed,married,secondary,no,33.0,no,no,cellular,6.0,aug,165.0,4.0,-1.0,0.0,unknown,1
638,35.0,blue-collar,divorced,secondary,no,275.0,no,yes,cellular,10.0,jul,144.0,5.0,-1.0,0.0,unknown,1
639,27.0,management,single,tertiary,no,703.0,yes,no,unknown,5.0,jun,590.0,3.0,-1.0,0.0,unknown,2
640,57.0,admin.,divorced,unknown,no,887.0,no,no,unknown,20.0,jun,43.0,8.0,-1.0,0.0,unknown,1
641,56.0,unknown,married,unknown,no,0.0,no,no,unknown,20.0,jun,471.0,2.0,-1.0,0.0,unknown,1
642,53.0,admin.,single,secondary,no,1178.0,yes,no,unknown,15.0,may,295.0,2.0,-1.0,0.0,unknown,1
643,39.0,management,married,tertiary,no,2763.0,yes,no,unknown,2.0,jun,526.0,2.0,-1.0,0.0,unknown,2
644,32.0,entrepreneur,single,tertiary,no,890.0,yes,yes,cellular,28.0,aug,27.0,10.0,-1.0,0.0,unknown,1
645,46.0,self-employed,married,secondary,no,548.0,no,no,cellular,12.0,aug,1181.0,4.0,-1.0,0.0,unknown,2
646,56.0,technician,married,tertiary,no,272.0,no,no,cellular,26.0,aug,103.0,2.0,-1.0,0.0,unknown,1
647,46.0,management,divorced,tertiary,no,6269.0,yes,no,telephone,18.0,nov,249.0,3.0,112.0,2.0,failure,1
648,29.0,entrepreneur,married,secondary,no,178.0,yes,no,cellular,5.0,may,231.0,4.0,-1.0,0.0,unknown,1
649,60.0,management,married,primary,no,252.0,yes,yes,cellular,13.0,apr,123.0,2.0,147.0,3.0,failure,1
650,33.0,housemaid,single,tertiary,no,23663.0,yes,no,cellular,16.0,apr,199.0,2.0,146.0,2.0,failure,1
651,27.0,entrepreneur,single,tertiary,no,81.0,no,no,cellular,5.0,feb,197.0,1.0,199.0,3.0,failure,1
652,50.0,self-employed,divorced,tertiary,no,59.0,yes,no,unknown,28.0,may,67.0,2.0,-1.0,0.0,unknown,1
653,45.0,services,married,secondary,no,1343.0,no,yes,cellular,8.0,jul,220.0,1.0,-1.0,0.0,unknown,1
654,58.0,retired,married,secondary,no,225.0,no,no,cellular,7.0,aug,122.0,6.0,-1.0,0.0,unknown,1
655,59.0,retired,married,primary,no,0.0,yes,no,unknown,26.0,may,104.0,7.0,-1.0,0.0,unknown,1
656,58.0,retired,divorced,primary,no,2538.0,yes,no,cellular,31.0,jul,307.0,6.0,-1.0,0.0,unknown,1
657,64.0,retired,married,primary,no,43.0,no,no,cellular,11.0,mar,117.0,1.0,91.0,1.0,success,1
658,47.0,technician,married,secondary,no,57.0,no,no,cellular,5.0,may,253.0,1.0,342.0,1.0,success,1
659,40.0,management,married,tertiary,no,-117.0,yes,no,cellular,17.0,jul,770.0,2.0,-1.0,0.0,unknown,1
660,36.0,technician,divorced,secondary,no,666.0,yes,yes,cellular,3.0,apr,190.0,1.0,133.0,1.0,other,1
661,28.0,management,single,tertiary,no,0.0,yes,no,cellular,16.0,jul,767.0,5.0,-1.0,0.0,unknown,2
662,38.0,technician,single,tertiary,no,25.0,yes,no,cellular,1.0,jun,232.0,2.0,-1.0,0.0,unknown,2
663,53.0,entrepreneur,married,primary,no,1034.0,yes,no,cellular,19.0,nov,854.0,2.0,170.0,3.0,other,1
664,46.0,blue-collar,single,secondary,no,324.0,yes,no,unknown,30.0,may,293.0,6.0,-1.0,0.0,unknown,1
665,54.0,technician,married,secondary,no,0.0,no,no,telephone,16.0,nov,986.0,1.0,94.0,8.0,failure,1
666,32.0,management,married,tertiary,no,0.0,no,no,cellular,19.0,nov,66.0,1.0,-1.0,0.0,unknown,1
667,55.0,management,married,primary,no,621.0,no,yes,cellular,2.0,feb,114.0,1.0,208.0,1.0,failure,1
668,55.0,retired,divorced,secondary,no,138.0,no,no,cellular,17.0,jul,205.0,1.0,-1.0,0.0,unknown,1
669,56.0,technician,married,secondary,no,4063.0,no,yes,telephone,28.0,jul,31.0,4.0,-1.0,0.0,unknown,1
670,40.0,blue-collar,married,secondary,no,11084.0,no,no,unknown,11.0,jun,113.0,1.0,-1.0,0.0,unknown,1
671,44.0,technician,married,secondary,no,310.0,yes,no,cellular,6.0,feb,200.0,1.0,253.0,1.0,failure,1
672,32.0,entrepreneur,married,unknown,no,73.0,yes,no,cellular,21.0,nov,158.0,1.0,135.0,1.0,failure,1
673,33.0,management,married,tertiary,no,1808.0,yes,no,unknown,4.0,jun,99.0,4.0,-1.0,0.0,unknown,1
674,41.0,unemployed,divorced,secondary,no,1281.0,no,no,cellular,31.0,jul,45.0,3.0,-1.0,0.0,unknown,1
675,37.0,technician,married,secondary,no,64.0,yes,no,cellular,12.0,may,239.0,4.0,278.0,2.0,other,1
676,58.0,management,single,tertiary,no,2.0,yes,no,telephone,11.0,may,168.0,3.0,-1.0,0.0,unknown,1
677,52.0,blue-collar,married,secondary,no,60.0,no,yes,cellular,26.0,aug,196.0,2.0,-1.0,0.0,unknown,1
678,49.0,services,single,secondary,no,133.0,no,no,unknown,11.0,jun,319.0,6.0,-1.0,0.0,unknown,1
679,44.0,housemaid,married,primary,no,3706.0,no,no,unknown,17.0,jun,209.0,3.0,-1.0,0.0,unknown,1
680,28.0,admin.,single,unknown,no,174.0,no,no,cellular,28.0,sep,184.0,1.0,-1.0,0.0,unknown,1
681,31.0,technician,married,secondary,no,251.0,no,yes,cellular,29.0,aug,156.0,2.0,-1.0,0.0,unknown,1
682,37.0,self-employed,married,secondary,no,4153.0,yes,no,cellular,31.0,jul,35.0,16.0,-1.0,0.0,unknown,1
683,30.0,technician,single,tertiary,no,985.0,yes,no,cellular,19.0,feb,88.0,2.0,-1.0,0.0,unknown,1
684,28.0,services,single,secondary,no,168.0,no,no,cellular,1.0,jun,347.0,3.0,140.0,2.0,success,2
685,46.0,services,married,secondary,no,1550.0,yes,no,cellular,16.0,apr,126.0,2.0,149.0,8.0,failure,1
686,47.0,management,married,tertiary,no,7708.0,yes,no,cellular,21.0,nov,157.0,5.0,-1.0,0.0,unknown,1
687,35.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,12.0,may,212.0,5.0,-1.0,0.0,unknown,1
688,80.0,management,married,primary,no,6483.0,no,no,telephone,19.0,oct,123.0,1.0,-1.0,0.0,unknown,1
689,30.0,technician,single,tertiary,no,60.0,yes,yes,unknown,7.0,may,306.0,5.0,-1.0,0.0,unknown,1
690,55.0,technician,single,secondary,no,3339.0,yes,no,unknown,2.0,jun,63.0,1.0,-1.0,0.0,unknown,1
691,22.0,student,single,tertiary,no,1161.0,no,yes,cellular,16.0,jun,119.0,1.0,-1.0,0.0,unknown,1
692,33.0,blue-collar,single,primary,no,599.0,yes,no,unknown,21.0,may,29.0,1.0,-1.0,0.0,unknown,1
693,53.0,entrepreneur,married,unknown,no,28.0,no,no,cellular,31.0,jul,117.0,2.0,-1.0,0.0,unknown,1
694,49.0,management,married,tertiary,no,1430.0,no,no,cellular,18.0,nov,231.0,2.0,-1.0,0.0,unknown,1
695,51.0,retired,married,secondary,no,35.0,no,yes,cellular,8.0,jul,123.0,4.0,-1.0,0.0,unknown,1
696,41.0,self-employed,married,tertiary,no,6000.0,yes,no,cellular,18.0,nov,265.0,1.0,-1.0,0.0,unknown,1
697,34.0,technician,married,secondary,no,0.0,yes,no,cellular,15.0,jul,144.0,1.0,-1.0,0.0,unknown,1
698,36.0,blue-collar,single,secondary,no,340.0,no,yes,unknown,16.0,jun,559.0,3.0,-1.0,0.0,unknown,1
699,35.0,entrepreneur,married,tertiary,no,0.0,no,no,cellular,5.0,may,74.0,1.0,168.0,4.0,failure,1
700,29.0,services,married,secondary,no,3.0,yes,no,cellular,10.0,jul,183.0,1.0,-1.0,0.0,unknown,1
701,40.0,technician,single,tertiary,no,445.0,yes,no,cellular,24.0,jul,631.0,1.0,-1.0,0.0,unknown,1
702,32.0,management,divorced,tertiary,no,874.0,no,no,cellular,12.0,aug,1282.0,6.0,-1.0,0.0,unknown,2
703,48.0,blue-collar,married,secondary,no,705.0,no,no,unknown,13.0,may,108.0,2.0,-1.0,0.0,unknown,1
704,59.0,retired,married,unknown,no,1033.0,no,no,unknown,11.0,jun,1199.0,1.0,-1.0,0.0,unknown,2
705,35.0,self-employed,divorced,tertiary,no,1354.0,yes,no,unknown,23.0,may,736.0,2.0,-1.0,0.0,unknown,2
706,33.0,technician,single,tertiary,no,123.0,no,no,cellular,19.0,aug,264.0,1.0,-1.0,0.0,unknown,1
707,55.0,retired,married,primary,no,8894.0,no,no,unknown,11.0,jun,262.0,1.0,-1.0,0.0,unknown,1
708,41.0,blue-collar,married,secondary,no,429.0,yes,no,unknown,13.0,may,244.0,1.0,-1.0,0.0,unknown,1
709,42.0,housemaid,married,primary,no,14752.0,no,no,unknown,19.0,may,107.0,2.0,-1.0,0.0,unknown,1
710,46.0,blue-collar,married,primary,no,67.0,no,no,unknown,24.0,jun,9.0,1.0,-1.0,0.0,unknown,1
711,35.0,housemaid,divorced,secondary,no,39.0,no,no,cellular,31.0,jul,149.0,2.0,-1.0,0.0,unknown,1
712,28.0,technician,single,tertiary,no,102.0,no,no,cellular,28.0,jan,321.0,2.0,-1.0,0.0,unknown,1
713,25.0,student,single,secondary,no,1790.0,no,no,cellular,17.0,apr,224.0,1.0,322.0,3.0,failure,1
714,56.0,management,single,tertiary,no,15311.0,no,no,cellular,29.0,apr,157.0,6.0,-1.0,0.0,unknown,1
715,30.0,admin.,single,secondary,no,-635.0,no,no,cellular,25.0,jul,250.0,1.0,-1.0,0.0,unknown,1
