d3mIndex,fileName,subject,imgNum,label_target,ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM
168,20130529_01_Driv_169_ll,1,169.0,3,30,276.0,224.0,130.0,117.0,334.0,247.0,372.0,249.0,367.0,268.0,343.0,294.0,368.0,293.0
169,20130529_01_Driv_170_ll,1,170.0,3,45,278.0,223.0,127.0,120.0,337.0,247.0,376.0,250.0,373.0,271.0,352.0,295.0,371.0,296.0
170,20130529_01_Driv_171_ll,1,171.0,3,45,280.0,219.0,121.0,121.0,342.0,247.0,374.0,249.0,376.0,271.0,350.0,293.0,373.0,295.0
171,20130529_01_Driv_172_ll,1,172.0,3,45,294.0,191.0,116.0,127.0,345.0,219.0,382.0,215.0,386.0,241.0,366.0,268.0,382.0,266.0
172,20130529_01_Driv_173_ll,1,173.0,3,45,276.0,187.0,138.0,130.0,341.0,223.0,379.0,218.0,381.0,243.0,364.0,272.0,379.0,267.0
173,20130529_01_Driv_174_ll,1,174.0,3,45,280.0,189.0,128.0,123.0,340.0,220.0,379.0,216.0,381.0,240.0,362.0,267.0,381.0,267.0
174,20130529_01_Driv_175_ll,1,175.0,3,45,287.0,187.0,122.0,127.0,341.0,219.0,379.0,217.0,381.0,239.0,364.0,267.0,379.0,266.0
175,20130529_01_Driv_176_ll,1,176.0,3,45,290.0,189.0,120.0,132.0,342.0,218.0,379.0,217.0,379.0,239.0,365.0,270.0,380.0,266.0
176,20130529_01_Driv_177_ll,1,177.0,3,45,291.0,194.0,119.0,123.0,341.0,220.0,381.0,218.0,381.0,239.0,364.0,268.0,380.0,265.0
177,20130529_01_Driv_178_ll,1,178.0,3,45,289.0,183.0,127.0,133.0,341.0,218.0,382.0,217.0,379.0,241.0,362.0,270.0,382.0,268.0
178,20130529_01_Driv_179_ll,1,179.0,3,45,288.0,189.0,125.0,124.0,342.0,218.0,380.0,218.0,380.0,240.0,363.0,267.0,381.0,267.0
179,20130529_02_Driv_001_f,2,1.0,2,15,306.0,161.0,111.0,125.0,347.0,187.0,396.0,189.0,380.0,210.0,361.0,237.0,390.0,237.0
180,20130529_02_Driv_002_f,2,2.0,2,15,315.0,164.0,101.0,122.0,347.0,187.0,394.0,189.0,381.0,209.0,357.0,240.0,390.0,240.0
181,20130529_02_Driv_003_f,2,3.0,2,15,304.0,164.0,112.0,127.0,344.0,189.0,391.0,190.0,378.0,209.0,356.0,241.0,387.0,242.0
182,20130529_02_Driv_004_f,2,4.0,2,15,301.0,166.0,112.0,128.0,341.0,192.0,393.0,194.0,377.0,213.0,356.0,244.0,384.0,243.0
183,20130529_02_Driv_005_f,2,5.0,2,15,300.0,168.0,118.0,125.0,341.0,193.0,388.0,194.0,377.0,215.0,354.0,246.0,384.0,247.0
184,20130529_02_Driv_006_f,2,6.0,2,15,302.0,160.0,108.0,129.0,339.0,184.0,389.0,186.0,374.0,206.0,354.0,240.0,385.0,238.0
185,20130529_02_Driv_007_f,2,7.0,2,15,302.0,159.0,112.0,128.0,342.0,183.0,391.0,185.0,377.0,206.0,354.0,237.0,385.0,237.0
186,20130529_02_Driv_008_f,2,8.0,2,15,306.0,159.0,107.0,135.0,341.0,184.0,389.0,187.0,373.0,207.0,353.0,240.0,386.0,240.0
187,20130529_02_Driv_009_f,2,9.0,2,15,300.0,166.0,113.0,132.0,341.0,192.0,388.0,193.0,375.0,212.0,351.0,244.0,384.0,244.0
188,20130529_02_Driv_010_f,2,10.0,2,15,297.0,167.0,116.0,134.0,337.0,192.0,387.0,193.0,371.0,213.0,352.0,246.0,384.0,246.0
189,20130529_02_Driv_011_f,2,11.0,2,15,297.0,160.0,114.0,127.0,339.0,186.0,387.0,186.0,373.0,207.0,349.0,241.0,385.0,239.0
190,20130529_02_Driv_012_f,2,12.0,2,15,296.0,160.0,116.0,122.0,341.0,184.0,388.0,184.0,376.0,205.0,353.0,237.0,385.0,236.0
191,20130529_02_Driv_013_f,2,13.0,2,15,298.0,163.0,109.0,122.0,339.0,188.0,388.0,189.0,374.0,207.0,351.0,240.0,382.0,241.0
192,20130529_02_Driv_014_f,2,14.0,2,15,299.0,167.0,111.0,128.0,338.0,192.0,385.0,194.0,372.0,212.0,351.0,243.0,383.0,245.0
193,20130529_02_Driv_015_f,2,15.0,2,15,297.0,171.0,110.0,116.0,337.0,194.0,384.0,195.0,373.0,212.0,347.0,246.0,382.0,244.0
194,20130529_02_Driv_016_f,2,16.0,2,15,296.0,157.0,115.0,119.0,339.0,181.0,385.0,181.0,373.0,198.0,352.0,232.0,385.0,232.0
195,20130529_02_Driv_017_f,2,17.0,2,15,301.0,148.0,109.0,127.0,339.0,174.0,391.0,174.0,377.0,192.0,354.0,227.0,385.0,226.0
196,20130529_02_Driv_018_f,2,18.0,2,15,297.0,154.0,112.0,128.0,337.0,181.0,386.0,181.0,373.0,198.0,354.0,230.0,385.0,230.0
197,20130529_02_Driv_019_f,2,19.0,2,15,300.0,165.0,108.0,125.0,337.0,189.0,385.0,190.0,372.0,207.0,348.0,242.0,382.0,242.0
198,20130529_02_Driv_020_f,2,20.0,2,15,299.0,171.0,109.0,122.0,337.0,195.0,386.0,195.0,372.0,211.0,352.0,246.0,382.0,246.0
199,20130529_02_Driv_021_f,2,21.0,2,15,299.0,167.0,113.0,128.0,339.0,192.0,387.0,193.0,373.0,212.0,352.0,244.0,385.0,244.0
200,20130529_02_Driv_022_f,2,22.0,2,15,303.0,174.0,108.0,121.0,340.0,197.0,390.0,198.0,375.0,217.0,353.0,250.0,385.0,249.0
201,20130529_02_Driv_023_f,2,23.0,2,15,302.0,172.0,112.0,123.0,345.0,198.0,391.0,199.0,379.0,216.0,355.0,249.0,389.0,247.0
202,20130529_02_Driv_024_f,2,24.0,2,15,311.0,153.0,106.0,119.0,345.0,175.0,396.0,175.0,382.0,192.0,359.0,227.0,393.0,227.0
203,20130529_02_Driv_025_f,2,25.0,2,15,311.0,149.0,112.0,128.0,353.0,177.0,401.0,178.0,385.0,199.0,360.0,231.0,397.0,231.0
204,20130529_02_Driv_026_f,2,26.0,2,15,310.0,159.0,111.0,122.0,351.0,181.0,397.0,181.0,383.0,200.0,359.0,233.0,394.0,234.0
205,20130529_02_Driv_027_f,2,27.0,2,15,310.0,151.0,112.0,129.0,353.0,178.0,401.0,177.0,385.0,200.0,364.0,232.0,395.0,232.0
206,20130529_02_Driv_028_f,2,28.0,2,15,314.0,158.0,110.0,124.0,356.0,184.0,404.0,185.0,387.0,205.0,365.0,234.0,398.0,238.0
207,20130529_02_Driv_029_f,2,29.0,2,15,313.0,160.0,115.0,129.0,356.0,189.0,400.0,190.0,386.0,211.0,365.0,246.0,397.0,244.0
208,20130529_02_Driv_030_f,2,30.0,2,15,314.0,175.0,110.0,125.0,353.0,199.0,403.0,201.0,386.0,222.0,364.0,254.0,401.0,255.0
209,20130529_02_Driv_031_f,2,31.0,2,15,314.0,178.0,113.0,123.0,354.0,203.0,404.0,203.0,388.0,224.0,367.0,255.0,400.0,255.0
210,20130529_02_Driv_032_f,2,32.0,2,15,315.0,160.0,115.0,121.0,358.0,186.0,407.0,186.0,393.0,207.0,368.0,237.0,399.0,237.0
211,20130529_02_Driv_033_f,2,33.0,2,15,322.0,152.0,113.0,135.0,362.0,178.0,410.0,180.0,395.0,199.0,373.0,232.0,406.0,233.0
212,20130529_02_Driv_034_f,2,34.0,2,15,322.0,151.0,108.0,133.0,362.0,180.0,411.0,181.0,396.0,201.0,373.0,231.0,405.0,234.0
213,20130529_02_Driv_035_f,2,35.0,2,15,322.0,166.0,109.0,136.0,361.0,194.0,412.0,196.0,396.0,213.0,370.0,247.0,403.0,247.0
214,20130529_02_Driv_036_f,2,36.0,2,15,319.0,174.0,111.0,127.0,362.0,201.0,410.0,201.0,393.0,220.0,370.0,252.0,403.0,255.0
215,20130529_02_Driv_037_f,2,37.0,2,15,320.0,176.0,109.0,131.0,361.0,200.0,409.0,204.0,394.0,221.0,369.0,253.0,406.0,254.0
216,20130529_02_Driv_038_f,2,38.0,2,15,319.0,174.0,109.0,129.0,361.0,197.0,410.0,200.0,396.0,219.0,368.0,250.0,400.0,250.0
217,20130529_02_Driv_039_f,2,39.0,2,15,318.0,174.0,115.0,132.0,361.0,202.0,408.0,201.0,391.0,221.0,370.0,252.0,405.0,253.0
218,20130529_02_Driv_040_f,2,40.0,2,15,317.0,163.0,113.0,128.0,359.0,192.0,409.0,193.0,394.0,209.0,368.0,242.0,404.0,243.0
219,20130529_02_Driv_041_f,2,41.0,2,15,319.0,159.0,113.0,129.0,362.0,187.0,411.0,191.0,396.0,207.0,371.0,239.0,407.0,240.0
220,20130529_02_Driv_042_f,2,42.0,2,15,315.0,158.0,113.0,133.0,359.0,186.0,407.0,189.0,390.0,208.0,368.0,239.0,404.0,240.0
221,20130529_02_Driv_043_f,2,43.0,2,15,314.0,167.0,115.0,132.0,357.0,192.0,404.0,195.0,391.0,214.0,367.0,247.0,400.0,247.0
222,20130529_02_Driv_044_f,2,44.0,2,15,311.0,166.0,115.0,134.0,354.0,195.0,404.0,197.0,390.0,216.0,364.0,247.0,398.0,247.0
223,20130529_02_Driv_045_f,2,45.0,2,15,314.0,170.0,110.0,136.0,354.0,196.0,402.0,197.0,391.0,217.0,364.0,249.0,398.0,249.0
224,20130529_02_Driv_046_f,2,46.0,2,15,313.0,165.0,108.0,130.0,354.0,191.0,400.0,193.0,387.0,209.0,364.0,240.0,395.0,242.0
225,20130529_02_Driv_047_f,2,47.0,2,15,310.0,162.0,112.0,135.0,353.0,189.0,402.0,192.0,390.0,210.0,365.0,241.0,396.0,241.0
226,20130529_02_Driv_048_f,2,48.0,2,15,308.0,161.0,117.0,133.0,353.0,192.0,400.0,193.0,389.0,209.0,362.0,243.0,397.0,244.0
227,20130529_02_Driv_049_f,2,49.0,2,15,307.0,162.0,115.0,132.0,350.0,189.0,398.0,191.0,386.0,209.0,363.0,241.0,399.0,243.0
228,20130529_02_Driv_050_f,2,50.0,2,15,308.0,162.0,111.0,127.0,351.0,188.0,400.0,190.0,386.0,209.0,361.0,239.0,404.0,240.0
229,20130529_02_Driv_051_f,2,51.0,2,15,305.0,164.0,114.0,128.0,351.0,187.0,400.0,191.0,384.0,207.0,361.0,240.0,394.0,240.0
230,20130529_02_Driv_052_f,2,52.0,2,15,309.0,163.0,110.0,128.0,350.0,187.0,398.0,189.0,382.0,209.0,362.0,241.0,396.0,242.0
231,20130529_02_Driv_053_f,2,53.0,2,15,308.0,164.0,111.0,124.0,350.0,191.0,397.0,191.0,382.0,209.0,358.0,242.0,393.0,243.0
232,20130529_02_Driv_054_f,2,54.0,2,15,302.0,165.0,116.0,134.0,347.0,194.0,397.0,194.0,384.0,211.0,358.0,241.0,388.0,243.0
233,20130529_02_Driv_055_f,2,55.0,2,15,306.0,164.0,112.0,131.0,347.0,192.0,397.0,194.0,383.0,212.0,360.0,243.0,393.0,243.0
234,20130529_02_Driv_056_f,2,56.0,2,15,306.0,166.0,114.0,124.0,350.0,194.0,396.0,194.0,384.0,210.0,360.0,245.0,394.0,244.0
235,20130529_02_Driv_057_f,2,57.0,2,15,304.0,167.0,112.0,120.0,347.0,189.0,394.0,189.0,383.0,206.0,359.0,240.0,393.0,240.0
236,20130529_02_Driv_058_f,2,58.0,2,15,303.0,172.0,109.0,123.0,345.0,195.0,390.0,197.0,381.0,213.0,353.0,245.0,390.0,245.0
237,20130529_02_Driv_059_f,2,59.0,2,15,310.0,166.0,109.0,126.0,349.0,189.0,399.0,190.0,383.0,204.0,362.0,239.0,393.0,240.0
238,20130529_02_Driv_060_f,2,60.0,2,15,305.0,164.0,112.0,125.0,347.0,189.0,395.0,192.0,386.0,210.0,363.0,238.0,393.0,240.0
239,20130529_02_Driv_061_f,2,61.0,2,15,308.0,166.0,108.0,120.0,349.0,189.0,396.0,192.0,384.0,204.0,362.0,240.0,393.0,240.0
240,20130529_02_Driv_062_f,2,62.0,2,15,313.0,164.0,102.0,126.0,348.0,185.0,397.0,188.0,384.0,203.0,360.0,236.0,393.0,236.0
241,20130529_02_Driv_063_f,2,63.0,2,15,310.0,169.0,106.0,118.0,348.0,191.0,394.0,191.0,384.0,206.0,359.0,238.0,393.0,238.0
242,20130529_02_Driv_064_f,2,64.0,2,15,304.0,165.0,110.0,126.0,344.0,188.0,390.0,190.0,378.0,203.0,355.0,237.0,389.0,237.0
243,20130529_02_Driv_065_f,2,65.0,2,15,299.0,166.0,111.0,114.0,342.0,187.0,388.0,189.0,378.0,203.0,353.0,235.0,386.0,235.0
244,20130529_02_Driv_066_f,2,66.0,2,15,302.0,164.0,112.0,123.0,345.0,187.0,392.0,189.0,379.0,203.0,357.0,235.0,390.0,237.0
245,20130529_02_Driv_067_ll,2,67.0,3,30,313.0,163.0,107.0,124.0,360.0,189.0,403.0,192.0,393.0,206.0,367.0,237.0,400.0,239.0
246,20130529_02_Driv_068_f,2,68.0,2,15,330.0,183.0,101.0,129.0,368.0,210.0,410.0,214.0,399.0,231.0,368.0,258.0,406.0,260.0
247,20130529_02_Driv_069_f,2,69.0,2,15,325.0,182.0,105.0,135.0,365.0,210.0,411.0,214.0,399.0,232.0,366.0,257.0,406.0,260.0
248,20130529_02_Driv_070_f,2,70.0,2,15,325.0,185.0,103.0,130.0,363.0,213.0,410.0,215.0,397.0,235.0,365.0,257.0,403.0,261.0
249,20130529_02_Driv_071_f,2,71.0,2,15,322.0,187.0,108.0,127.0,362.0,213.0,410.0,216.0,396.0,236.0,365.0,261.0,405.0,263.0
250,20130529_02_Driv_072_f,2,72.0,2,15,324.0,187.0,101.0,130.0,363.0,213.0,407.0,215.0,393.0,238.0,364.0,262.0,402.0,263.0
251,20130529_02_Driv_073_f,2,73.0,2,15,322.0,184.0,105.0,131.0,362.0,214.0,409.0,215.0,393.0,238.0,362.0,261.0,403.0,263.0
252,20130529_02_Driv_074_f,2,74.0,2,15,322.0,183.0,106.0,128.0,361.0,211.0,409.0,215.0,391.0,234.0,362.0,257.0,402.0,260.0
253,20130529_02_Driv_075_f,2,75.0,2,15,320.0,172.0,107.0,134.0,360.0,205.0,408.0,206.0,393.0,227.0,359.0,251.0,401.0,253.0
254,20130529_02_Driv_076_f,2,76.0,2,15,318.0,169.0,112.0,131.0,361.0,198.0,413.0,201.0,393.0,222.0,361.0,246.0,402.0,246.0
255,20130529_02_Driv_077_f,2,77.0,2,0,318.0,161.0,108.0,127.0,356.0,189.0,408.0,191.0,387.0,217.0,358.0,238.0,399.0,238.0
256,20130529_02_Driv_078_f,2,78.0,2,0,319.0,163.0,103.0,132.0,353.0,195.0,404.0,195.0,386.0,218.0,355.0,241.0,399.0,240.0
257,20130529_02_Driv_079_f,2,79.0,2,0,311.0,169.0,108.0,128.0,350.0,199.0,398.0,200.0,381.0,224.0,351.0,246.0,391.0,245.0
258,20130529_02_Driv_080_f,2,80.0,2,0,304.0,174.0,113.0,130.0,346.0,203.0,394.0,202.0,377.0,229.0,345.0,251.0,390.0,252.0
259,20130529_02_Driv_081_f,2,81.0,2,0,306.0,175.0,111.0,129.0,344.0,203.0,396.0,203.0,374.0,230.0,345.0,249.0,386.0,249.0
260,20130529_02_Driv_082_f,2,82.0,2,0,305.0,172.0,109.0,131.0,342.0,203.0,392.0,203.0,371.0,229.0,345.0,250.0,385.0,249.0
261,20130529_02_Driv_083_f,2,83.0,2,0,307.0,174.0,104.0,129.0,343.0,203.0,393.0,203.0,371.0,228.0,344.0,249.0,387.0,249.0
262,20130529_02_Driv_084_f,2,84.0,2,0,309.0,174.0,105.0,129.0,344.0,203.0,394.0,204.0,374.0,227.0,345.0,249.0,384.0,249.0
263,20130529_02_Driv_085_f,2,85.0,2,0,311.0,174.0,107.0,134.0,347.0,203.0,396.0,204.0,376.0,229.0,348.0,249.0,388.0,250.0
264,20130529_02_Driv_086_f,2,86.0,2,0,311.0,174.0,107.0,134.0,348.0,203.0,398.0,205.0,377.0,232.0,348.0,251.0,388.0,251.0
265,20130529_02_Driv_087_f,2,87.0,2,0,313.0,173.0,108.0,132.0,351.0,202.0,400.0,204.0,382.0,229.0,347.0,249.0,390.0,250.0
266,20130529_02_Driv_088_f,2,88.0,2,0,316.0,174.0,109.0,136.0,352.0,204.0,399.0,205.0,382.0,232.0,353.0,249.0,388.0,252.0
267,20130529_02_Driv_089_f,2,89.0,2,0,316.0,178.0,107.0,134.0,351.0,204.0,399.0,205.0,383.0,232.0,353.0,251.0,393.0,253.0
268,20130529_02_Driv_090_f,2,90.0,2,0,314.0,177.0,109.0,132.0,351.0,204.0,407.0,205.0,383.0,231.0,352.0,252.0,393.0,254.0
269,20130529_02_Driv_091_f,2,91.0,2,0,317.0,176.0,109.0,136.0,351.0,203.0,400.0,204.0,382.0,232.0,355.0,252.0,391.0,253.0
270,20130529_02_Driv_092_f,2,92.0,2,0,316.0,177.0,109.0,126.0,348.0,204.0,400.0,204.0,382.0,232.0,353.0,253.0,391.0,254.0
271,20130529_02_Driv_093_f,2,93.0,2,0,313.0,176.0,114.0,141.0,351.0,203.0,399.0,204.0,378.0,232.0,353.0,254.0,387.0,255.0
272,20130529_02_Driv_094_f,2,94.0,2,0,316.0,173.0,103.0,135.0,348.0,201.0,396.0,203.0,375.0,230.0,347.0,251.0,389.0,255.0
273,20130529_02_Driv_095_f,2,95.0,2,0,317.0,174.0,102.0,136.0,347.0,202.0,397.0,204.0,374.0,229.0,348.0,250.0,389.0,253.0
274,20130529_02_Driv_096_f,2,96.0,2,0,308.0,174.0,112.0,139.0,344.0,203.0,396.0,204.0,372.0,235.0,351.0,250.0,385.0,254.0
275,20130529_02_Driv_097_f,2,97.0,2,0,310.0,174.0,109.0,144.0,343.0,202.0,395.0,204.0,369.0,232.0,346.0,252.0,382.0,255.0
276,20130529_02_Driv_098_f,2,98.0,2,0,310.0,174.0,110.0,134.0,342.0,203.0,392.0,204.0,364.0,235.0,345.0,252.0,380.0,253.0
277,20130529_02_Driv_099_f,2,99.0,2,0,310.0,172.0,110.0,137.0,340.0,203.0,392.0,204.0,364.0,231.0,341.0,252.0,382.0,254.0
278,20130529_02_Driv_100_f,2,100.0,2,0,310.0,174.0,102.0,132.0,340.0,203.0,391.0,204.0,365.0,232.0,344.0,250.0,380.0,254.0
279,20130529_02_Driv_101_f,2,101.0,2,0,305.0,172.0,110.0,137.0,336.0,203.0,387.0,204.0,361.0,236.0,339.0,251.0,379.0,255.0
280,20130529_02_Driv_102_f,2,102.0,2,0,304.0,171.0,109.0,138.0,335.0,202.0,387.0,203.0,359.0,231.0,338.0,251.0,377.0,255.0
281,20130529_02_Driv_103_f,2,103.0,2,0,304.0,176.0,112.0,133.0,334.0,203.0,382.0,204.0,359.0,231.0,337.0,253.0,377.0,254.0
282,20130529_02_Driv_104_f,2,104.0,2,0,302.0,174.0,110.0,140.0,332.0,203.0,383.0,202.0,356.0,234.0,335.0,254.0,373.0,252.0
283,20130529_02_Driv_105_f,2,105.0,2,0,302.0,177.0,102.0,127.0,332.0,203.0,383.0,202.0,354.0,234.0,333.0,252.0,372.0,253.0
284,20130529_02_Driv_106_f,2,106.0,2,0,304.0,178.0,103.0,133.0,330.0,201.0,380.0,204.0,354.0,233.0,333.0,254.0,377.0,254.0
285,20130529_02_Driv_107_f,2,107.0,2,0,301.0,174.0,107.0,135.0,328.0,202.0,379.0,203.0,353.0,232.0,333.0,253.0,374.0,253.0
286,20130529_02_Driv_108_f,2,108.0,2,0,299.0,172.0,111.0,146.0,328.0,203.0,379.0,203.0,352.0,230.0,331.0,251.0,371.0,248.0
287,20130529_02_Driv_109_f,2,109.0,2,0,298.0,172.0,108.0,134.0,328.0,203.0,379.0,203.0,353.0,231.0,331.0,250.0,371.0,250.0
288,20130529_02_Driv_110_f,2,110.0,2,0,300.0,172.0,107.0,131.0,329.0,203.0,381.0,203.0,352.0,232.0,331.0,250.0,374.0,250.0
289,20130529_02_Driv_111_f,2,111.0,2,0,302.0,174.0,107.0,127.0,331.0,201.0,382.0,203.0,355.0,232.0,332.0,246.0,377.0,249.0
290,20130529_02_Driv_112_f,2,112.0,2,0,304.0,167.0,106.0,134.0,337.0,201.0,387.0,202.0,365.0,228.0,339.0,244.0,381.0,244.0
291,20130529_02_Driv_113_f,2,113.0,2,15,311.0,169.0,108.0,128.0,350.0,198.0,398.0,200.0,380.0,225.0,350.0,244.0,390.0,244.0
292,20130529_02_Driv_114_ll,2,114.0,3,30,317.0,161.0,110.0,148.0,363.0,195.0,408.0,199.0,399.0,220.0,361.0,240.0,403.0,243.0
293,20130529_02_Driv_115_ll,2,115.0,3,45,351.0,160.0,111.0,140.0,404.0,186.0,445.0,189.0,444.0,214.0,399.0,235.0,434.0,238.0
294,20130529_02_Driv_116_ll,2,116.0,3,45,344.0,154.0,117.0,145.0,395.0,184.0,437.0,187.0,436.0,210.0,393.0,235.0,430.0,239.0
295,20130529_02_Driv_117_ll,2,117.0,3,30,347.0,158.0,106.0,136.0,393.0,184.0,436.0,187.0,430.0,212.0,382.0,235.0,428.0,236.0
296,20130529_02_Driv_118_ll,2,118.0,3,30,341.0,155.0,113.0,140.0,385.0,184.0,431.0,188.0,422.0,213.0,381.0,234.0,425.0,234.0
297,20130529_02_Driv_119_f,2,119.0,2,15,337.0,155.0,117.0,144.0,379.0,186.0,430.0,186.0,419.0,214.0,379.0,235.0,423.0,236.0
298,20130529_02_Driv_120_f,2,120.0,2,15,341.0,155.0,106.0,136.0,379.0,186.0,427.0,187.0,417.0,214.0,376.0,235.0,422.0,235.0
299,20130529_02_Driv_121_f,2,121.0,2,15,341.0,157.0,112.0,137.0,382.0,187.0,427.0,189.0,414.0,213.0,374.0,232.0,419.0,235.0
300,20130529_02_Driv_122_f,2,122.0,2,15,339.0,159.0,112.0,141.0,383.0,186.0,427.0,186.0,417.0,213.0,377.0,236.0,418.0,234.0
301,20130529_02_Driv_123_ll,2,123.0,3,30,341.0,153.0,116.0,144.0,389.0,183.0,431.0,186.0,426.0,212.0,384.0,232.0,425.0,233.0
302,20130529_02_Driv_124_ll,2,124.0,3,45,343.0,151.0,113.0,144.0,395.0,185.0,434.0,187.0,435.0,212.0,389.0,232.0,427.0,235.0
303,20130529_02_Driv_125_ll,2,125.0,3,45,338.0,154.0,101.0,138.0,384.0,179.0,420.0,180.0,424.0,204.0,381.0,229.0,417.0,231.0
304,20130529_02_Driv_126_ll,2,126.0,3,30,331.0,154.0,107.0,135.0,377.0,178.0,418.0,180.0,418.0,204.0,374.0,229.0,412.0,228.0
305,20130529_02_Driv_127_f,2,127.0,2,15,325.0,152.0,110.0,137.0,369.0,180.0,415.0,180.0,406.0,203.0,367.0,227.0,410.0,226.0
306,20130529_02_Driv_128_f,2,128.0,2,15,322.0,151.0,111.0,132.0,360.0,178.0,409.0,180.0,399.0,204.0,362.0,227.0,406.0,227.0
307,20130529_02_Driv_129_f,2,129.0,2,0,316.0,152.0,114.0,132.0,354.0,178.0,401.0,178.0,390.0,204.0,353.0,228.0,402.0,227.0
308,20130529_02_Driv_130_f,2,130.0,2,0,310.0,152.0,118.0,137.0,347.0,180.0,401.0,180.0,381.0,206.0,350.0,228.0,398.0,226.0
309,20130529_02_Driv_131_f,2,131.0,2,0,310.0,152.0,115.0,137.0,342.0,180.0,393.0,178.0,371.0,207.0,342.0,229.0,391.0,228.0
310,20130529_02_Driv_132_f,2,132.0,2,0,305.0,152.0,118.0,133.0,338.0,181.0,391.0,180.0,365.0,207.0,341.0,234.0,388.0,229.0
311,20130529_02_Driv_133_f,2,133.0,2,0,305.0,152.0,107.0,136.0,333.0,182.0,387.0,178.0,361.0,209.0,334.0,230.0,389.0,229.0
312,20130529_02_Driv_134_f,2,134.0,2,0,298.0,151.0,121.0,134.0,327.0,180.0,381.0,177.0,352.0,207.0,330.0,227.0,380.0,227.0
313,20130529_02_Driv_135_f,2,135.0,2,-15,294.0,153.0,126.0,133.0,322.0,183.0,376.0,178.0,344.0,209.0,330.0,232.0,376.0,230.0
314,20130529_02_Driv_136_f,2,136.0,2,-15,290.0,151.0,121.0,138.0,317.0,181.0,371.0,177.0,337.0,210.0,324.0,232.0,374.0,229.0
315,20130529_02_Driv_137_lr,2,137.0,1,-30,284.0,155.0,123.0,134.0,311.0,183.0,365.0,177.0,330.0,210.0,316.0,234.0,364.0,227.0
316,20130529_02_Driv_138_lr,2,138.0,1,-30,276.0,150.0,121.0,137.0,305.0,183.0,359.0,178.0,325.0,210.0,310.0,229.0,362.0,224.0
317,20130529_02_Driv_139_lr,2,139.0,1,-30,274.0,152.0,115.0,145.0,300.0,184.0,350.0,178.0,316.0,210.0,311.0,236.0,358.0,230.0
318,20130529_02_Driv_140_lr,2,140.0,1,-45,271.0,153.0,104.0,134.0,291.0,187.0,340.0,178.0,302.0,212.0,300.0,237.0,348.0,228.0
319,20130529_02_Driv_141_lr,2,141.0,1,-45,255.0,154.0,115.0,141.0,276.0,187.0,323.0,179.0,283.0,212.0,285.0,239.0,329.0,228.0
320,20130529_02_Driv_142_lr,2,142.0,1,-45,261.0,156.0,108.0,133.0,280.0,189.0,328.0,181.0,288.0,214.0,293.0,238.0,336.0,230.0
321,20130529_02_Driv_143_lr,2,143.0,1,-45,265.0,149.0,112.0,145.0,280.0,186.0,336.0,177.0,296.0,210.0,294.0,236.0,339.0,227.0
322,20130529_02_Driv_144_lr,2,144.0,1,-45,262.0,154.0,117.0,133.0,291.0,188.0,344.0,180.0,302.0,209.0,299.0,236.0,348.0,229.0
323,20130529_02_Driv_145_lr,2,145.0,1,-45,271.0,153.0,110.0,130.0,294.0,184.0,346.0,177.0,311.0,211.0,305.0,235.0,348.0,227.0
324,20130529_02_Driv_146_lr,2,146.0,1,-30,276.0,155.0,114.0,128.0,298.0,184.0,346.0,177.0,313.0,209.0,308.0,237.0,353.0,227.0
325,20130529_02_Driv_147_lr,2,147.0,1,-30,273.0,151.0,111.0,132.0,300.0,185.0,353.0,178.0,318.0,210.0,311.0,235.0,356.0,229.0
326,20130529_02_Driv_148_lr,2,148.0,1,-30,279.0,153.0,115.0,121.0,305.0,181.0,353.0,175.0,322.0,207.0,314.0,230.0,364.0,226.0
327,20130529_02_Driv_149_lr,2,149.0,1,-30,282.0,155.0,115.0,132.0,308.0,184.0,362.0,180.0,329.0,214.0,316.0,233.0,362.0,229.0
328,20130529_02_Driv_150_lr,2,150.0,1,-30,285.0,149.0,114.0,132.0,313.0,185.0,362.0,179.0,330.0,212.0,317.0,232.0,367.0,227.0
329,20130529_02_Driv_151_f,2,151.0,2,-15,279.0,144.0,124.0,140.0,313.0,181.0,365.0,177.0,335.0,205.0,320.0,232.0,367.0,227.0
330,20130529_02_Driv_152_f,2,152.0,2,-15,285.0,150.0,115.0,134.0,314.0,180.0,366.0,174.0,337.0,207.0,325.0,234.0,367.0,224.0
331,20130529_02_Driv_153_f,2,153.0,2,-15,291.0,149.0,113.0,131.0,319.0,179.0,370.0,175.0,342.0,205.0,330.0,229.0,373.0,224.0
332,20130529_02_Driv_154_f,2,154.0,2,-15,294.0,150.0,111.0,128.0,317.0,179.0,372.0,175.0,342.0,204.0,327.0,229.0,373.0,222.0
333,20130529_02_Driv_155_f,2,155.0,2,0,291.0,150.0,109.0,127.0,317.0,178.0,371.0,172.0,345.0,201.0,327.0,227.0,373.0,223.0
334,20130529_02_Driv_156_f,2,156.0,2,0,292.0,147.0,114.0,126.0,324.0,176.0,371.0,172.0,347.0,197.0,326.0,225.0,373.0,220.0
335,20130529_02_Driv_157_f,2,157.0,2,0,294.0,152.0,111.0,127.0,322.0,179.0,374.0,174.0,345.0,203.0,329.0,227.0,374.0,221.0
336,20130529_02_Driv_158_f,2,158.0,2,0,292.0,152.0,115.0,126.0,322.0,177.0,373.0,174.0,345.0,199.0,330.0,229.0,374.0,224.0
