d3mIndex,In1,In2,In3,In4,In5,In6,In7,In8,In9,In10,Out1
302,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,5.0
303,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0
304,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0
305,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0
306,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0
307,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0
308,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0
309,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0
310,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
311,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0
312,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
313,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0
314,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0
315,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0
316,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0
317,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
318,1.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0
319,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
320,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0
321,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
322,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
323,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0
324,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
325,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0
326,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0
327,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0
328,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
329,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0
330,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
331,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0
332,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0
333,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0
334,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0
335,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0
336,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
337,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
338,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
339,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0
340,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
341,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0
342,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
343,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0
344,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0
345,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0
346,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0
347,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0
348,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0
349,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0
350,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
351,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0
352,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0
353,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
354,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0
355,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0
356,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0
357,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
358,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
359,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,5.0
360,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0
361,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0
362,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
363,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0
364,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0
365,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,5.0
366,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0
367,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0
368,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0
369,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
370,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
371,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0
372,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0
373,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
374,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0
375,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0
376,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0
377,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
378,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0
379,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
380,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0
381,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
382,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
383,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,5.0
384,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0
385,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0
386,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0
387,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0
388,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0
389,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0
390,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0
391,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0
392,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0
393,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
394,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0
395,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
396,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
397,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
398,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
399,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0
400,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
401,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0
402,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
403,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0
404,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
405,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0
406,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0
407,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0
408,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0
409,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
410,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
411,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0
412,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
413,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0
414,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
415,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0
416,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0
417,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0
418,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
419,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0
420,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0
421,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0
422,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
423,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0
424,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0
425,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0
426,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0
427,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0
428,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0
429,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
430,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
431,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
432,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
433,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0
434,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
435,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
436,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
437,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0
438,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
439,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0
440,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0
441,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0
442,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0
443,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0
444,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0
445,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0
446,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0
447,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
448,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0
449,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0
450,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
451,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0
452,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
453,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0
454,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
455,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
456,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0
457,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
458,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
459,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
460,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0
461,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0
462,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0
463,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0
464,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
465,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
466,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
467,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
468,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0
469,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
470,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,5.0
471,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
472,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0
473,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0
474,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0
475,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0
476,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0
477,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
478,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
479,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,5.0
480,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0
481,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
482,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0
483,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0
484,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0
485,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
486,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0
487,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0
488,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
489,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0
490,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0
491,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0
492,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0
493,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0
494,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0
495,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
496,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0
497,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0
498,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0
499,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0
500,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
501,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0
502,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
503,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
504,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
505,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0
506,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0
507,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0
508,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0
509,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0
510,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0
511,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0
512,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,5.0
513,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
514,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0
515,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0
516,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0
517,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0
518,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0
519,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
520,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
521,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0
522,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
523,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0
524,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0
525,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0
526,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,5.0
527,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
528,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0
529,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0
530,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
531,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
532,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0
533,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0
534,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0
535,3.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
536,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0
537,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
538,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
539,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
540,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
541,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0
542,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
543,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0
544,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
545,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0
546,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0
547,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0
548,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0
549,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0
550,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0
551,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0
552,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0
553,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0
554,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0
555,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0
556,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
557,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0
558,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0
559,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0
560,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0
561,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
562,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0
563,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0
564,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0
565,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0
566,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
567,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0
568,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0
569,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
570,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0
571,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0
572,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0
573,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
574,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0
575,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0
576,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
577,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0
578,3.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0
579,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0
580,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
581,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
582,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
583,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0
584,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0
585,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0
586,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0
587,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0
588,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,5.0
589,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
590,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0
591,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0
592,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0
593,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0
594,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0
595,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0
596,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0
597,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0
598,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0
599,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0
600,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0
601,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,5.0
602,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0
603,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
604,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
