d3mIndex,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,P1,P2,P3,class
315,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1
316,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1
318,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1
319,2,0,0,1,1,0,0,1,1,0,1,0,1,0,2,0,2,1,0,1,1
320,2,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
321,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,1
322,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
323,1,1,0,0,1,1,0,0,1,1,2,0,0,0,1,0,2,0,1,1,1
324,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
325,2,1,1,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,1,1
326,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1
327,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1
328,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1
329,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1
330,1,1,0,1,0,1,1,1,0,0,2,2,0,0,1,0,1,0,0,0,1
331,1,1,1,1,1,0,0,0,1,1,0,1,0,0,2,1,1,0,1,0,1
332,1,0,1,0,0,1,0,1,0,1,2,1,0,0,1,1,0,0,0,1,1
333,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1
334,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1
335,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
336,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1
337,1,1,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1
338,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,2,1,0,1,1
339,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1
340,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1
341,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1
342,0,0,0,1,0,0,0,2,0,0,1,0,1,0,2,0,1,0,1,2,1
343,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1
344,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
345,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
346,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
347,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
348,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1
349,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1
350,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
351,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
352,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1
353,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1
354,0,0,0,0,2,0,0,1,0,1,1,1,0,0,1,2,0,0,1,0,1
355,2,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,1,1,0,1
356,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1
357,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
358,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1
359,2,0,0,1,1,1,0,1,0,0,1,0,0,0,2,0,2,0,0,0,1
360,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
361,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
362,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1
363,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,1
364,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1
365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
366,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
367,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,1,1,1
368,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1
369,0,0,2,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,1,1
370,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
372,0,0,0,1,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1
373,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
374,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
375,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,1
376,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
377,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
378,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
379,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,1
380,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,1,1,1
381,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1
382,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,1
383,1,1,0,1,0,0,1,2,0,1,0,0,0,0,1,1,1,0,0,1,1
384,1,1,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,1,1
385,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
386,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1
387,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1
388,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1
389,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1
390,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1
391,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
392,1,1,0,0,1,0,0,2,1,0,1,0,0,1,0,1,1,0,1,0,1
393,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
394,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1
395,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1
396,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,1
397,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
398,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,1,1
399,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
400,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
401,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1
402,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1
403,2,1,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,1
404,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1
405,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
406,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1
407,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
408,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
409,1,1,1,0,1,0,0,1,0,0,1,1,0,0,2,1,2,0,0,0,1
410,0,2,0,1,0,0,0,2,1,1,1,1,1,0,2,1,1,0,0,0,1
411,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,1
412,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1
413,2,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,1
414,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1
415,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1
416,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1
417,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1
418,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1
419,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,1,0,1
420,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,1
421,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
422,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,2,0,1,1
423,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,1
424,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1
425,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
426,1,0,0,1,1,0,0,0,0,2,1,1,0,0,1,1,1,0,0,0,1
427,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
428,1,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
429,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
430,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1
431,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1
432,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,1
433,2,1,1,0,1,0,0,2,0,0,1,0,0,0,1,0,1,1,1,0,1
434,2,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
435,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,1,2,0,1
436,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
437,1,2,2,1,1,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,1
438,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
439,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
440,1,2,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,1,0,0,1
441,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1
442,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
443,1,0,2,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1
444,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,1,1
445,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
446,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
447,1,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2,1,0,0,0,1
448,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
449,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1
450,1,1,0,0,0,0,0,2,0,0,2,1,0,0,1,0,1,0,0,0,1
451,0,2,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1
452,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1
453,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,0,1
454,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1
455,1,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1
456,1,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,1,1,2,1,1
457,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
459,2,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
460,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,1
461,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
462,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
463,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1
464,1,1,1,0,2,1,0,2,0,0,0,0,0,0,2,0,1,0,1,1,1
465,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,1
466,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,2,2,1,0,1
467,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
468,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,1,0,1,1
469,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
470,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
471,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
472,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1
473,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1
474,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1
475,2,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,1,1,0,0,1
476,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,1,0,0,0,1
477,2,0,2,0,1,0,1,0,1,1,0,1,0,0,2,0,1,0,0,0,1
478,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1
479,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1
480,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1
481,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
482,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,1,0,1,0,1
483,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,1,1,0,1
484,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
485,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,1,1
486,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
487,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
488,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,1
489,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
490,1,0,1,0,2,1,0,1,1,0,1,0,0,0,1,2,0,1,1,0,1
491,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1
492,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1
493,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,1
494,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,2,1,0,1,1
495,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
496,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1
497,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
498,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
499,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0,1
500,2,1,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,1
501,2,2,1,1,1,1,0,2,1,0,0,0,1,0,0,2,2,0,1,1,1
502,1,2,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1
503,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
504,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,1
505,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1
506,0,1,1,1,1,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,1
507,0,2,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1
508,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,1,1,1
509,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1
510,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,2,0,1,0,1
511,1,1,0,0,1,0,1,1,0,0,1,1,2,0,2,0,0,0,0,0,1
512,1,1,1,0,0,0,1,1,2,0,1,1,0,1,0,0,1,1,2,0,1
513,0,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0,1
514,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
515,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
516,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1
517,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,1
518,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
519,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
520,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
521,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
522,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,1
523,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
524,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1
525,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
526,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1
527,0,1,0,0,1,0,0,2,0,1,1,1,0,0,0,1,1,0,0,1,1
528,2,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
529,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
530,1,1,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,2,1,1
531,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
532,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1
533,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
534,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
535,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1
536,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,2,1
537,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1
538,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
539,1,1,1,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,1
540,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,0,1
541,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1
542,2,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1
543,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,2,0,1,0,1
544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
546,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
547,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
548,0,0,0,1,2,1,0,1,0,1,2,1,0,1,0,2,1,0,0,1,1
549,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
550,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
551,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1
552,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1
553,0,2,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,1
554,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
555,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
556,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,2,1,2,1
557,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
558,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,1,2,0,0,0,1
559,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,2,0,0,0,1
560,0,2,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1
561,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,1
562,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
563,0,0,0,0,1,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,1
564,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1
565,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1
566,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
567,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1
568,1,0,1,0,0,1,0,2,1,0,0,1,0,0,0,1,2,0,0,1,1
569,0,0,0,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,0,1,1
570,2,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
571,2,1,1,0,0,0,0,2,1,0,0,0,1,0,2,0,0,2,0,1,1
572,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1
573,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
574,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
575,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1
576,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
577,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
578,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1
579,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
580,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
581,1,2,0,0,1,0,0,2,0,0,2,1,0,0,1,2,1,0,0,1,1
582,1,1,1,0,0,0,0,2,0,0,0,2,0,1,1,1,1,0,1,1,1
583,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1
584,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1
585,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1
586,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
587,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,2,0,1
588,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,1,0,1
589,2,2,0,0,0,0,0,1,0,1,0,1,0,1,1,2,2,0,0,1,1
590,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
591,2,1,0,1,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,2,1
592,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
593,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
594,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,1
595,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1
596,2,0,1,0,1,0,0,1,2,0,2,1,0,0,1,0,1,0,0,0,1
597,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
598,2,1,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,2,0,1,1
599,1,2,1,1,0,0,0,2,1,0,1,0,0,1,1,2,1,1,0,0,1
600,0,1,0,1,0,1,0,2,0,0,1,0,0,0,1,1,2,0,0,1,1
601,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
602,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
603,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
604,1,1,2,0,1,0,0,2,0,0,1,0,0,0,1,0,1,1,1,0,1
605,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,1
606,2,1,2,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,2,1
607,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,1
608,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
609,1,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,1
610,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,1,0,2,1
611,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1
612,0,1,1,0,2,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,1
613,1,1,1,0,2,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,1
614,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,1,1
615,1,2,1,1,1,0,1,1,0,1,0,0,0,0,1,1,2,2,0,1,1
616,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
617,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
618,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
619,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
620,1,1,0,0,1,0,0,0,0,1,0,2,0,1,1,2,1,0,0,0,1
621,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
622,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
623,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1
624,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1
625,1,0,0,2,1,1,0,0,1,0,2,1,0,0,1,0,0,2,0,0,1
626,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1
627,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0,1
628,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,1,0,1
629,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,1,0,1,1
630,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1
