d3mIndex,V1,V2,V3,V4,Class
697,3.082,0.71,1.537,0.622,1
698,0.94,0.694,1.544,0.642,1
699,0.94,0.694,1.551,0.661,1
700,3.023,0.684,1.558,0.68,1
701,3.001,0.682,1.565,0.7,1
702,2.981,0.656,1.572,0.719,1
703,2.965,0.646,1.579,0.738,1
704,2.659,0.65,1.585,0.757,1
705,2.641,0.634,1.592,0.776,1
706,2.651,0.625,1.599,0.795,1
707,2.885,0.623,1.606,0.814,1
708,2.866,0.614,1.613,0.833,1
709,2.581,0.613,1.619,0.852,1
710,2.828,0.607,1.626,0.871,1
711,2.549,0.599,1.633,0.889,1
712,2.544,0.597,1.639,0.908,1
713,2.505,0.593,1.646,0.927,1
714,2.471,0.589,1.652,0.946,1
715,2.466,0.589,1.659,0.964,1
716,2.715,0.587,1.669,0.982,1
717,2.696,0.585,1.673,1.001,1
718,2.281,0.606,1.679,1.02,1
719,2.261,0.598,1.686,1.038,1
720,2.248,0.593,1.693,1.056,1
721,2.63,0.584,1.7,1.074,1
722,2.604,0.597,1.707,1.093,1
723,2.585,0.574,1.714,1.111,1
724,2.565,0.568,1.722,1.131,1
725,2.546,0.559,1.729,1.149,1
726,2.527,0.553,1.736,1.169,1
727,2.508,0.547,1.744,1.188,1
728,2.486,0.54,1.751,1.207,1
729,2.468,0.534,1.758,1.226,1
730,2.448,0.528,1.766,1.245,1
731,2.432,0.52,1.773,1.263,1
732,2.41,0.518,1.781,1.282,1
733,2.394,0.525,1.789,1.301,1
734,2.372,0.501,1.796,1.319,1
735,2.353,0.497,1.804,1.338,1
736,2.338,0.491,1.812,1.356,4
737,2.316,0.481,1.82,1.375,4
738,2.297,0.476,1.827,1.394,4
739,1.914,0.471,1.835,1.412,4
740,1.889,0.464,1.842,1.431,4
741,1.877,0.463,1.849,1.448,4
742,2.225,0.461,1.856,1.465,4
743,2.209,0.46,1.862,1.48,4
744,2.194,0.461,1.868,1.495,4
745,2.18,0.458,1.874,1.509,4
746,2.166,0.457,1.88,1.523,4
747,1.877,0.515,1.885,1.535,1
748,1.879,0.474,1.89,1.547,4
749,2.13,0.471,1.894,1.558,4
750,2.12,0.467,1.899,1.569,4
751,1.838,0.46,1.903,1.579,4
752,1.827,0.46,1.907,1.589,4
753,2.09,0.464,1.911,1.598,4
754,2.081,0.458,1.915,1.607,4
755,1.84,0.458,1.919,1.616,4
756,1.832,0.468,1.923,1.624,4
757,1.791,0.567,1.927,1.633,1
758,1.78,0.598,1.93,1.641,1
759,1.776,0.537,1.934,1.65,1
760,1.839,0.562,1.939,1.659,1
761,2.025,0.578,1.943,1.668,1
762,2.011,3.134,1.948,1.678,3
763,2.0,0.515,1.957,1.689,1
764,1.987,0.489,1.958,1.701,4
765,1.974,0.495,1.962,1.712,1
766,1.96,1.434,1.966,1.725,3
767,1.945,1.426,1.97,1.739,3
768,1.93,1.422,1.974,1.754,3
769,1.914,1.415,1.978,1.769,3
770,1.897,1.413,1.981,1.785,3
771,1.881,1.407,1.935,1.802,3
772,1.865,1.406,1.922,1.819,3
773,1.848,1.404,1.893,1.836,3
774,1.831,1.402,1.924,1.853,3
775,1.815,1.403,1.995,1.87,3
776,1.798,1.398,1.998,1.887,3
777,1.781,1.396,1.992,1.907,3
778,1.764,1.397,1.979,1.924,3
779,1.748,1.395,1.964,1.938,3
780,1.732,1.393,1.954,1.953,3
781,1.647,1.394,1.79,1.968,3
782,1.631,1.406,1.767,1.981,3
783,1.628,1.405,1.744,1.994,3
784,1.612,1.39,1.71,2.008,3
785,1.596,1.388,1.691,2.021,3
786,1.557,1.387,1.698,2.034,3
787,1.559,1.386,1.806,2.047,3
788,1.581,1.387,1.815,2.064,3
789,1.463,0.715,1.63,2.077,1
790,1.458,0.709,1.615,2.093,1
791,1.37,0.723,1.598,2.105,1
792,1.367,0.724,1.585,2.117,1
793,1.429,0.73,1.58,2.129,1
794,1.417,0.798,1.567,2.141,1
795,1.347,0.848,1.551,2.159,1
796,1.332,2.171,1.537,2.166,3
797,1.323,2.177,1.521,2.15,3
798,1.312,2.185,1.508,2.161,3
799,1.3,2.197,1.494,2.627,3
800,1.284,2.208,1.481,2.647,3
801,1.274,2.224,1.467,2.247,3
802,1.261,2.233,1.458,2.264,3
803,1.251,2.241,1.447,2.307,3
804,1.242,2.252,1.435,2.322,3
805,1.226,2.261,1.424,2.331,3
806,1.213,2.267,1.414,3.253,3
807,1.197,0.862,1.405,3.264,1
808,1.182,2.282,1.398,3.278,3
809,1.17,0.868,1.391,3.294,1
810,1.158,2.295,1.385,2.366,3
811,1.144,2.302,1.38,2.364,3
812,1.133,0.819,1.374,2.385,1
813,1.118,0.821,1.371,2.358,1
814,1.103,0.824,1.366,2.341,1
815,1.089,0.826,1.361,3.387,1
816,1.074,0.828,1.355,3.405,1
817,1.059,0.83,1.35,3.427,1
818,1.042,0.828,1.345,2.395,1
819,1.025,0.823,1.342,2.419,1
820,1.007,0.797,1.337,2.437,1
821,0.985,0.792,1.333,2.452,1
822,0.967,0.795,1.329,2.467,1
823,0.947,0.794,1.325,2.486,1
824,0.928,0.797,1.321,2.506,1
825,0.908,0.8,1.317,2.519,1
826,0.889,0.804,1.313,2.542,2
827,0.869,0.808,1.309,2.562,2
828,0.849,0.812,1.305,2.578,2
829,0.83,0.813,1.301,2.601,2
830,0.811,0.817,1.297,2.619,2
831,0.793,0.822,1.294,2.637,2
832,0.78,0.824,1.292,2.65,2
833,0.778,0.825,1.293,2.653,2
834,0.784,0.823,1.295,2.657,2
835,0.785,0.819,1.296,3.658,2
836,0.786,0.819,1.296,3.651,2
837,0.786,0.818,1.296,3.66,2
838,0.786,0.817,1.296,3.65,2
839,0.785,0.817,1.297,3.647,2
840,0.785,0.816,1.294,3.646,2
841,0.785,0.816,1.294,3.646,2
842,0.785,0.815,1.294,3.645,2
843,0.785,0.814,1.295,3.642,2
844,0.784,0.813,1.296,3.644,2
845,0.78,0.812,1.297,3.644,2
846,0.78,0.811,1.298,3.643,2
847,0.779,0.81,1.299,3.642,2
848,0.779,0.808,1.301,3.642,2
849,0.778,0.807,1.303,3.642,2
850,0.777,0.805,1.306,3.646,2
851,0.78,0.808,1.308,3.645,2
852,0.779,0.813,1.313,3.645,2
853,0.779,0.825,1.315,3.647,2
854,0.779,0.817,1.317,3.643,2
855,0.778,0.812,1.315,3.639,2
856,0.776,0.808,1.317,3.635,2
857,0.771,0.803,1.318,3.638,2
858,0.77,0.803,1.32,3.644,2
859,0.769,0.802,1.322,3.642,2
860,0.768,0.828,1.324,3.645,2
861,0.767,0.878,1.327,4.846,2
862,0.769,0.863,1.329,0.808,2
863,0.769,0.871,1.335,0.796,2
864,0.769,0.82,1.343,0.79,2
865,0.778,0.8,1.355,0.787,2
866,0.803,0.792,1.36,0.785,2
867,0.774,0.789,1.345,0.789,2
868,0.767,0.788,1.349,0.789,2
869,0.766,0.782,1.355,0.776,2
870,0.769,0.791,1.36,0.775,2
871,0.776,0.767,1.37,0.774,2
872,0.831,0.761,1.441,0.769,2
873,0.792,0.758,1.905,0.767,2
874,0.854,0.755,1.907,0.766,2
875,0.894,0.755,1.398,0.766,2
876,1.182,0.752,1.4,0.765,1
877,0.892,0.746,1.38,0.765,2
878,1.346,0.743,1.407,0.765,1
879,1.349,0.741,1.413,0.765,1
880,1.349,0.737,1.413,0.766,1
881,1.348,0.737,1.412,0.767,1
882,1.346,0.741,1.409,0.768,1
883,1.342,0.737,1.404,0.769,1
884,1.34,0.74,1.404,0.771,1
885,1.339,0.736,1.405,0.772,1
886,1.338,0.735,1.404,0.773,1
887,1.341,0.738,1.401,0.774,1
888,1.337,0.738,1.403,0.775,1
889,1.34,0.738,1.403,0.775,1
890,1.336,0.738,1.401,0.776,1
891,1.332,0.741,1.397,0.78,1
892,1.325,0.74,1.387,0.786,1
893,1.316,0.732,1.378,0.795,1
894,1.305,0.742,1.367,0.806,1
895,1.292,0.726,1.355,0.819,1
896,1.278,0.72,1.34,0.836,1
897,1.265,0.714,1.325,0.852,1
898,1.248,0.708,1.309,0.869,1
899,1.231,0.705,1.294,0.887,1
900,1.213,0.698,1.277,0.905,1
901,1.195,0.692,1.581,0.923,1
902,1.176,0.702,1.83,0.941,1
903,1.157,0.681,1.821,0.96,1
904,1.138,0.68,1.809,0.979,1
905,1.119,0.682,1.8,0.998,1
906,1.1,0.722,1.791,1.017,1
907,0.943,0.654,1.78,1.033,1
908,0.923,0.65,1.13,1.055,1
909,0.899,0.641,1.11,1.075,2
910,0.881,0.669,1.091,1.094,2
911,0.864,0.627,1.068,1.114,2
912,0.847,0.623,1.745,1.134,2
913,0.83,0.619,1.738,1.153,2
914,0.816,0.613,1.729,1.17,2
915,0.803,0.601,1.724,1.186,2
916,0.818,0.589,1.721,1.195,2
917,0.917,0.586,1.726,1.194,1
918,0.92,0.586,1.726,1.191,1
919,0.921,0.586,1.728,1.189,1
920,0.921,0.586,1.724,1.19,1
921,0.919,0.586,1.72,1.192,1
922,0.917,0.585,1.72,1.194,1
923,0.915,0.584,1.722,1.195,1
924,0.913,0.584,1.721,1.197,1
925,0.912,0.584,1.717,1.199,1
926,0.911,0.584,1.72,1.199,1
927,0.91,0.583,1.72,1.201,1
928,0.908,0.583,1.716,1.202,1
929,0.907,0.582,1.715,1.203,1
930,0.906,0.582,1.718,1.205,1
931,0.904,0.581,1.717,1.207,1
932,0.902,0.581,1.712,1.209,1
933,0.9,0.581,1.714,1.211,2
934,0.899,0.581,1.717,1.212,2
935,0.898,0.58,1.717,1.213,2
936,0.897,0.58,1.717,1.214,2
937,0.896,0.579,1.717,1.215,2
938,0.895,0.579,1.717,1.215,2
939,0.895,0.578,1.717,1.215,2
940,0.895,0.578,1.718,1.215,2
941,0.896,0.577,1.719,1.215,2
942,0.896,0.576,1.721,1.214,2
943,0.896,0.575,1.725,1.214,2
944,0.896,0.574,1.727,1.214,2
945,0.897,0.572,1.732,1.213,2
946,0.897,0.57,1.734,1.213,2
947,0.898,0.569,1.734,1.128,2
948,0.899,0.567,1.629,1.105,2
949,0.9,0.566,1.737,1.217,2
950,0.899,0.564,1.735,1.227,2
951,0.898,0.563,1.737,5.0,2
952,0.897,0.56,1.739,5.0,2
953,0.897,0.557,1.741,5.0,2
954,0.896,0.555,1.744,1.093,2
955,0.896,0.553,1.749,1.088,2
956,0.896,0.551,1.766,1.087,2
957,0.896,0.549,1.768,1.086,2
958,0.896,0.548,2.611,1.088,2
959,0.895,0.546,2.133,1.091,2
960,0.894,0.544,1.286,5.0,2
961,0.893,0.541,1.28,2.508,2
962,0.892,0.538,2.615,1.094,2
963,0.891,0.535,2.617,1.086,2
964,0.891,0.533,2.619,1.084,2
965,0.891,0.532,2.621,1.084,2
966,0.894,0.53,2.634,1.083,2
967,0.894,0.529,2.634,0.581,2
968,0.892,0.53,2.879,0.573,2
969,0.887,0.524,2.881,0.568,2
970,0.886,0.526,2.885,0.571,2
971,0.884,0.532,2.883,0.57,2
972,0.882,0.531,2.885,0.572,2
973,0.881,0.527,2.887,0.568,2
974,0.88,0.527,2.889,0.549,2
975,0.88,0.526,2.891,0.591,2
976,0.879,0.526,2.893,0.571,2
977,0.882,0.535,2.895,0.547,2
978,0.881,0.914,2.901,0.533,2
979,1.325,0.907,1.253,0.522,3
980,1.761,0.902,1.247,0.519,3
981,0.88,0.708,1.25,0.513,2
982,0.879,0.699,1.277,0.511,2
983,0.878,0.696,1.274,0.512,2
984,0.878,0.697,1.27,0.513,2
985,0.878,0.7,1.272,0.512,2
986,0.878,0.695,1.255,0.514,2
987,0.878,0.694,1.256,0.513,2
988,0.881,0.693,1.259,0.512,2
989,0.881,0.692,4.735,0.511,2
990,0.887,0.691,1.274,0.516,2
991,0.888,0.69,1.258,0.516,2
992,0.891,0.692,1.252,0.506,2
993,0.904,0.711,1.254,0.502,1
994,1.744,0.541,1.251,0.5,1
995,1.75,0.542,1.252,0.499,1
996,1.753,0.867,1.253,0.498,1
997,1.751,0.867,1.253,0.5,1
998,1.745,0.551,1.255,0.504,1
999,1.741,0.863,1.257,0.509,1
1000,1.732,0.567,1.261,0.518,1
1001,1.721,0.571,1.267,0.528,1
1002,1.707,0.583,1.273,0.54,1
1003,0.96,0.842,1.279,0.553,1
1004,1.677,0.835,1.286,0.567,1
1005,0.975,0.827,1.294,0.582,1
1006,1.642,0.819,1.302,0.598,1
1007,1.627,0.811,1.311,0.614,1
1008,0.948,0.802,1.319,0.625,1
1009,0.887,0.794,1.328,0.638,2
1010,0.923,0.714,1.337,0.655,1
1011,0.866,0.774,1.345,0.673,2
1012,0.873,0.768,1.35,0.687,2
1013,0.851,0.759,1.358,0.704,2
1014,0.837,0.751,1.366,0.721,2
1015,0.824,0.742,1.377,0.737,2
1016,0.817,0.735,1.383,0.751,2
1017,1.459,0.725,1.389,0.759,1
1018,0.863,0.722,1.391,0.758,2
1019,1.462,0.722,1.391,0.755,1
1020,1.462,0.723,1.39,0.754,1
1021,1.46,0.722,1.391,0.756,1
1022,1.459,0.721,1.389,0.758,1
1023,1.458,0.721,1.392,0.759,1
1024,1.457,0.72,1.393,0.76,1
1025,1.456,0.719,1.393,0.762,1
1026,1.454,0.719,1.393,0.763,1
1027,1.453,0.719,1.393,0.764,1
1028,0.921,0.718,1.394,0.765,1
1029,0.92,0.718,1.395,0.766,1
1030,0.914,0.717,1.395,0.768,1
1031,0.912,0.716,1.396,0.77,1
1032,0.913,0.714,1.398,0.773,1
1033,1.436,0.711,1.4,0.779,1
1034,1.428,0.707,1.404,0.788,1
1035,1.417,0.702,1.408,0.798,1
1036,1.407,0.697,1.413,0.81,1
1037,1.392,0.691,1.419,0.825,1
1038,1.376,0.685,1.428,0.839,1
1039,1.359,0.678,1.435,0.855,1
1040,1.341,0.67,1.443,0.873,1
1041,1.325,0.663,1.454,0.891,1
1042,0.819,0.656,1.465,0.909,2
1043,1.284,0.649,1.523,0.928,1
1044,1.264,0.641,1.528,0.947,1
1045,1.247,0.633,1.537,0.965,1
1046,1.225,0.625,1.556,0.984,1
1047,1.205,0.617,1.556,1.003,1
1048,1.187,0.61,1.571,1.02,1
1049,1.166,0.602,3.09,1.038,1
1050,1.149,0.595,1.596,1.054,1
1051,1.132,0.589,3.104,1.071,1
1052,1.115,0.582,3.11,1.088,1
1053,1.098,0.575,3.117,1.104,1
1054,1.078,0.568,3.123,1.12,1
1055,1.064,0.562,3.129,1.137,1
1056,0.733,0.555,3.136,1.154,2
1057,0.715,0.55,3.143,1.172,2
1058,1.01,0.543,3.048,1.19,1
1059,0.992,0.54,3.157,1.209,1
1060,0.689,0.53,3.164,1.227,2
1061,0.712,0.524,3.171,1.244,2
1062,0.692,0.516,3.176,1.263,2
1063,0.676,0.512,3.182,1.276,2
1064,0.651,0.515,3.188,1.29,2
1065,0.693,0.498,3.196,1.297,2
1066,0.712,0.496,3.194,1.298,2
1067,0.91,0.495,3.194,1.295,1
1068,0.907,0.495,3.195,1.294,1
1069,0.906,0.494,3.195,1.295,4
1070,0.905,0.494,3.195,1.292,4
1071,0.904,0.493,3.198,1.297,4
1072,0.9,0.491,3.197,1.297,2
1073,0.772,0.488,3.201,1.302,2
1074,0.766,0.486,3.2,1.309,2
1075,0.885,0.484,3.205,1.316,2
1076,0.878,0.482,3.205,1.324,2
1077,0.874,0.48,3.207,1.331,2
1078,0.866,0.478,3.208,1.336,2
1079,0.863,0.477,3.21,1.338,2
1080,0.86,0.476,3.21,1.336,2
1081,0.86,0.475,3.211,1.336,2
1082,0.859,0.474,1.796,1.336,2
1083,0.857,0.473,1.793,1.337,2
1084,0.856,0.472,1.813,1.337,2
1085,0.855,0.472,1.798,1.338,2
1086,0.852,0.471,1.755,1.338,2
1087,0.851,0.471,3.213,1.338,2
1088,0.848,0.469,3.217,1.338,2
1089,0.85,0.468,3.22,1.341,2
1090,0.846,0.466,1.925,1.339,2
1091,0.848,0.464,1.925,1.339,2
1092,0.851,0.461,1.922,1.339,2
1093,0.85,0.459,1.925,1.086,2
1094,0.853,0.457,1.935,1.358,2
1095,1.493,0.455,1.826,1.075,4
1096,1.492,0.453,1.768,1.067,4
1097,1.2,0.451,1.815,1.065,4
1098,1.199,0.449,1.836,1.03,4
1099,1.197,0.448,1.781,1.026,4
1100,1.196,0.448,1.779,1.003,4
1101,1.195,0.448,1.779,1.004,4
1102,1.195,0.448,1.776,0.979,4
1103,1.196,0.448,1.782,1.004,4
1104,1.195,0.448,1.782,0.976,4
1105,1.195,0.448,1.776,1.004,4
1106,1.194,0.448,1.779,1.032,4
1107,1.193,0.449,1.776,1.006,4
1108,1.191,0.449,1.78,0.98,4
1109,1.191,0.45,1.78,0.981,4
1110,1.19,0.451,1.781,0.986,4
1111,1.57,0.453,1.936,0.992,4
1112,1.206,0.454,1.839,0.999,4
1113,1.558,0.455,1.84,1.006,4
1114,1.549,0.456,1.845,0.897,4
1115,1.54,0.457,1.847,0.902,4
1116,1.534,0.459,1.472,0.91,4
1117,1.553,0.461,1.477,0.919,4
1118,1.54,0.463,1.485,0.931,4
1119,1.504,0.466,1.495,0.94,4
1120,1.493,0.468,1.503,0.949,4
1121,1.476,0.471,1.513,0.976,4
1122,1.467,0.474,1.523,0.986,4
1123,1.488,0.476,1.99,1.202,4
1124,1.463,0.479,1.995,1.211,4
1125,1.468,0.482,1.557,1.217,4
1126,1.459,0.485,1.556,0.795,4
1127,1.424,0.488,1.568,0.801,4
1128,1.414,0.491,2.015,0.817,4
1129,1.428,0.494,2.019,0.599,4
1130,1.418,0.498,2.023,0.572,1
1131,1.38,0.502,2.027,0.568,1
1132,1.37,0.505,2.035,0.567,1
1133,1.36,0.509,1.625,0.567,1
1134,1.347,0.513,1.806,0.568,1
1135,1.338,0.519,1.805,0.576,1
1136,1.325,0.525,1.862,0.582,1
1137,1.31,0.532,1.798,0.585,1
1138,1.295,0.54,1.797,0.602,1
1139,1.279,0.548,1.845,0.612,1
1140,1.297,0.556,1.734,0.635,1
1141,1.284,0.564,1.744,0.628,1
1142,1.27,0.574,1.754,0.655,1
1143,1.257,0.582,1.777,0.649,1
1144,1.374,0.591,2.093,0.673,1
1145,1.364,0.601,3.095,0.687,1
1146,1.351,0.61,1.848,0.693,1
1147,1.341,0.619,2.799,0.705,1
1148,1.329,0.628,2.809,0.703,1
1149,1.319,0.638,1.877,0.723,1
1150,1.31,0.647,1.874,0.878,1
1151,1.301,0.657,1.875,1.62,1
1152,1.292,0.666,1.876,0.939,1
1153,1.511,0.676,2.875,1.661,1
1154,1.495,0.685,1.85,1.483,1
1155,1.476,0.698,1.852,0.984,1
1156,1.451,0.705,1.85,1.421,1
1157,1.434,0.715,1.852,1.537,1
1158,1.419,0.724,1.855,1.557,1
1159,0.94,0.727,1.853,1.579,1
1160,0.917,0.73,1.856,1.596,1
1161,0.897,0.736,1.858,1.555,2
1162,0.878,0.743,1.925,1.676,2
1163,0.862,0.75,1.925,1.598,2
1164,0.846,0.757,1.931,1.565,2
1165,0.831,0.765,2.021,1.696,2
1166,0.816,0.769,2.02,1.917,2
1167,0.804,0.779,2.026,1.936,2
1168,0.795,0.783,2.025,1.946,2
1169,0.794,0.782,2.03,1.966,2
1170,0.799,0.78,1.97,0.884,2
1171,0.799,0.78,1.946,0.881,2
1172,0.799,0.783,1.892,0.873,2
1173,0.799,0.782,1.889,0.875,2
1174,0.803,0.786,1.892,0.874,2
1175,1.257,0.785,1.893,0.843,1
1176,1.257,0.788,1.893,0.839,1
1177,1.264,0.811,1.891,0.837,1
1178,1.273,0.807,1.896,0.832,1
1179,1.415,0.812,2.905,0.833,1
1180,1.275,0.817,2.903,0.838,1
1181,1.273,0.82,2.899,0.842,1
1182,1.4,0.828,1.894,0.846,1
1183,1.389,0.802,1.896,0.848,1
1184,1.223,0.806,1.897,0.859,1
1185,1.362,0.814,1.899,0.863,1
1186,1.19,0.827,1.901,0.872,1
1187,1.172,0.837,1.903,0.885,1
1188,1.156,0.85,1.906,0.901,1
1189,1.137,0.868,1.908,0.937,1
1190,1.122,0.875,1.914,0.891,1
1191,1.106,0.9,1.917,5.0,1
1192,1.086,0.899,2.808,5.0,1
1193,1.07,0.904,2.394,5.0,3
1194,1.052,0.904,1.967,1.279,3
1195,1.036,0.908,2.372,1.574,3
1196,1.018,0.908,2.35,1.602,3
1197,1.001,0.906,2.347,1.627,3
1198,0.983,0.91,2.783,1.631,3
1199,0.967,0.946,2.725,1.302,3
1200,0.954,0.988,2.711,5.0,3
1201,0.938,0.911,2.276,1.391,3
1202,0.922,0.909,2.154,1.815,3
1203,0.907,0.911,2.679,2.356,3
1204,0.892,0.912,2.142,1.392,2
1205,0.878,0.914,1.988,1.575,2
1206,0.861,0.919,1.997,1.408,2
1207,0.849,0.918,2.259,1.567,2
1208,0.837,0.92,2.254,1.622,2
1209,0.827,0.922,2.629,1.626,2
1210,0.825,0.921,2.249,1.635,2
1211,0.827,0.916,2.26,2.449,2
1212,0.829,0.914,2.144,1.477,2
1213,0.829,0.914,1.99,1.473,2
1214,0.829,0.914,1.99,1.425,2
1215,0.829,0.914,1.99,1.418,2
1216,0.828,0.913,2.012,1.47,2
1217,0.831,0.912,2.01,1.414,2
1218,0.831,0.911,2.094,1.469,2
1219,0.826,0.897,2.016,5.0,2
1220,0.825,0.897,2.643,5.0,2
1221,0.823,0.893,2.358,1.688,2
1222,0.821,0.888,2.645,1.313,2
1223,0.82,1.001,2.387,1.432,2
1224,0.819,0.904,2.56,1.628,2
1225,0.817,0.897,2.651,1.484,2
1226,0.816,0.499,2.009,5.0,2
1227,0.816,0.489,2.029,1.06,2
1228,0.815,0.484,2.032,1.361,2
1229,0.817,0.482,2.173,1.45,2
1230,0.858,0.483,2.037,1.045,2
1231,0.86,0.502,2.257,1.053,2
1232,0.818,0.837,2.605,1.42,2
1233,0.817,0.833,2.588,1.039,2
1234,0.817,0.482,2.681,1.027,2
1235,0.82,0.472,2.05,1.024,2
1236,0.827,0.469,2.651,1.025,2
1237,0.844,0.467,2.605,1.007,2
1238,0.917,0.468,2.607,1.001,4
1239,0.916,0.802,2.608,0.992,1
1240,0.925,0.799,2.609,0.974,1
1241,1.713,0.796,2.608,0.974,1
1242,1.713,0.795,2.609,0.971,1
1243,1.711,0.795,2.609,0.973,1
1244,1.705,0.795,2.61,0.979,1
1245,1.699,0.793,2.615,1.037,1
1246,1.689,0.789,2.619,1.034,1
1247,1.681,0.785,2.624,1.004,1
1248,1.668,0.481,2.629,1.054,4
1249,1.653,0.476,2.1,1.027,4
1250,1.636,0.478,2.642,1.039,4
1251,1.616,0.484,2.249,1.118,4
1252,1.603,0.487,2.622,1.06,4
1253,1.586,0.497,2.606,1.067,1
1254,1.571,0.507,2.011,1.074,1
1255,1.556,0.736,2.559,1.082,1
1256,1.552,0.731,1.859,1.089,1
1257,1.555,0.726,1.837,1.097,1
1258,2.482,0.72,1.974,1.106,1
1259,2.468,0.714,1.918,1.116,1
1260,2.453,0.709,1.823,1.127,1
1261,2.437,0.577,1.697,1.139,1
1262,2.421,0.571,2.479,1.152,1
1263,2.404,0.58,1.633,1.165,1
1264,2.386,0.598,1.703,1.178,1
1265,2.371,0.604,1.627,1.192,1
1266,2.352,0.616,1.611,1.206,1
1267,2.334,0.629,1.608,1.228,1
1268,2.315,0.642,1.617,1.239,1
1269,2.296,0.648,1.609,1.254,1
1270,2.277,0.641,1.628,1.27,1
1271,2.258,0.634,1.68,0.698,1
1272,2.24,0.626,2.293,0.711,1
1273,2.221,0.621,1.668,0.721,1
1274,2.002,0.616,2.255,1.327,1
1275,1.985,0.606,1.77,1.343,1
1276,1.965,0.601,2.22,0.76,1
1277,1.944,0.591,1.942,0.783,1
1278,1.924,0.585,1.933,1.363,1
1279,1.9,0.58,1.932,1.384,1
1280,1.88,0.571,1.937,1.402,1
1281,1.098,0.565,1.936,0.837,1
1282,1.076,0.558,1.932,1.429,1
1283,1.054,0.552,1.931,1.446,1
1284,1.032,0.545,1.898,1.464,1
1285,1.007,0.539,1.902,1.479,1
1286,0.991,0.534,1.902,1.496,1
1287,0.969,0.528,1.899,1.518,1
1288,0.95,0.518,1.903,1.533,1
1289,0.932,0.514,1.91,1.551,1
1290,0.913,0.505,1.937,1.566,1
1291,0.896,0.501,1.913,0.963,2
1292,0.878,0.495,1.895,0.97,2
1293,0.861,0.488,1.877,0.986,2
1294,0.843,0.481,1.859,0.995,2
1295,0.826,0.475,1.849,1.006,2
1296,0.81,0.472,1.835,1.017,2
1297,1.553,0.466,1.836,1.026,4
1298,1.542,0.458,1.838,1.026,4
1299,1.543,0.453,1.841,1.024,4
1300,1.545,0.453,1.844,1.022,4
1301,1.544,0.453,1.846,1.022,4
1302,1.542,0.453,1.844,1.024,4
1303,1.541,0.452,1.841,1.025,4
1304,1.541,0.452,1.84,1.025,4
1305,1.54,0.452,1.84,1.022,4
1306,1.541,0.452,1.84,1.025,4
1307,1.541,0.452,1.837,1.025,4
1308,1.54,0.452,1.839,1.025,4
1309,1.54,0.452,1.839,1.025,4
1310,1.54,0.452,1.839,1.025,4
1311,1.539,0.451,1.839,1.025,4
1312,1.537,0.451,1.84,1.024,4
1313,0.504,0.449,1.831,1.026,2
1314,0.503,0.447,1.827,1.029,2
1315,0.501,0.445,1.821,1.034,2
1316,0.5,0.442,1.819,1.038,2
1317,0.495,0.439,1.82,1.042,2
1318,0.497,0.437,1.914,1.046,2
1319,0.496,0.435,1.917,1.05,2
1320,0.496,0.433,1.918,1.052,2
1321,0.747,0.432,1.918,1.051,2
1322,0.744,0.432,1.918,1.05,2
1323,0.745,0.432,1.919,1.049,2
1324,0.742,0.431,1.916,1.048,2
1325,0.742,0.431,1.785,1.047,2
1326,0.742,0.427,1.787,1.064,2
1327,0.741,0.426,1.787,1.504,2
1328,0.741,0.425,1.79,1.043,2
1329,0.738,0.427,1.795,1.038,2
1330,0.738,0.426,1.798,1.038,2
1331,0.738,0.426,1.793,1.038,2
1332,0.741,0.426,3.082,1.037,2
1333,0.74,0.425,3.083,1.037,2
1334,0.743,0.424,1.804,1.035,2
1335,1.493,0.423,2.065,1.031,4
1336,1.496,0.422,1.806,1.03,4
1337,1.732,0.42,1.808,1.029,4
1338,1.731,0.418,1.814,1.028,4
1339,1.731,0.418,1.817,1.028,4
1340,1.731,0.418,1.813,1.028,4
1341,1.732,0.418,1.813,1.028,4
1342,1.731,0.418,1.813,1.028,4
1343,1.731,0.418,5.0,1.028,4
1344,1.731,0.418,1.813,1.028,4
1345,1.731,0.418,1.813,1.028,4
1346,1.731,0.418,1.813,1.028,4
1347,1.731,0.418,1.81,1.028,4
1348,1.729,0.418,1.812,1.03,4
1349,1.726,0.418,1.812,1.033,4
1350,1.721,0.417,1.828,1.037,4
1351,1.714,0.417,2.006,1.042,4
1352,1.707,0.416,1.937,1.049,4
1353,1.698,0.416,1.995,1.056,4
1354,1.689,0.416,1.958,1.065,4
1355,1.679,0.416,1.928,1.074,4
1356,1.668,0.416,1.926,1.083,4
1357,1.657,0.416,1.919,1.093,4
1358,1.647,0.416,1.958,1.103,4
1359,1.636,0.417,1.939,1.116,4
1360,1.411,0.418,1.919,1.126,4
1361,1.615,0.42,1.906,1.136,4
1362,1.604,0.421,1.903,1.147,4
1363,1.594,0.422,1.715,1.157,4
1364,1.584,0.423,1.706,1.168,4
1365,1.36,0.425,1.698,1.177,4
1366,1.348,0.426,1.889,1.186,4
1367,1.34,0.428,1.886,1.195,4
1368,1.331,0.429,1.88,1.205,4
1369,1.323,0.431,1.877,1.215,4
1370,1.314,0.433,1.874,1.226,4
1371,1.305,0.435,1.87,1.236,4
1372,1.298,0.437,1.867,1.245,4
1373,1.289,0.439,1.864,1.255,4
1374,1.285,0.441,1.861,1.265,4
1375,1.473,0.443,1.858,1.274,4
1376,1.463,0.445,1.855,1.284,4
