d3mIndex,in1,in2,in3,in4,out1
634,3.0,2.0,0.0,14.0,1.0
635,1.0,9.0,4.0,1.0,3.0
636,7.0,10.0,8.0,13.0,7.0
637,13.0,3.0,6.0,6.0,5.0
638,12.0,8.0,7.0,6.0,8.0
639,10.0,2.0,13.0,4.0,3.0
640,1.0,2.0,12.0,4.0,3.0
641,12.0,4.0,5.0,13.0,5.0
642,10.0,3.0,6.0,14.0,2.0
643,14.0,11.0,13.0,14.0,9.0
644,14.0,11.0,13.0,14.0,9.0
645,10.0,3.0,6.0,14.0,4.0
646,2.0,14.0,2.0,9.0,5.0
647,8.0,6.0,4.0,5.0,3.0
648,12.0,10.0,12.0,7.0,7.0
649,9.0,8.0,5.0,2.0,2.0
650,12.0,10.0,12.0,7.0,6.0
651,12.0,4.0,9.0,14.0,3.0
652,13.0,3.0,6.0,6.0,2.0
653,14.0,2.0,4.0,1.0,2.0
654,1.0,2.0,12.0,6.0,3.0
655,10.0,3.0,6.0,14.0,7.0
656,11.0,13.0,10.0,1.0,7.0
657,9.0,3.0,10.0,5.0,3.0
658,13.0,3.0,6.0,6.0,6.0
659,14.0,4.0,8.0,14.0,6.0
660,10.0,2.0,13.0,4.0,3.0
661,8.0,5.0,10.0,2.0,3.0
662,2.0,1.0,5.0,1.0,2.0
663,1.0,2.0,12.0,4.0,3.0
664,0.0,10.0,12.0,7.0,5.0
665,0.0,5.0,7.0,2.0,1.0
666,12.0,4.0,5.0,13.0,5.0
667,10.0,13.0,5.0,0.0,6.0
668,2.0,1.0,5.0,1.0,1.0
669,1.0,3.0,10.0,7.0,2.0
670,5.0,7.0,3.0,12.0,5.0
671,7.0,3.0,7.0,0.0,3.0
672,13.0,6.0,12.0,2.0,5.0
673,14.0,11.0,13.0,14.0,9.0
674,14.0,2.0,4.0,1.0,3.0
675,1.0,9.0,4.0,1.0,1.0
676,8.0,6.0,4.0,5.0,3.0
677,13.0,9.0,2.0,8.0,2.0
678,11.0,13.0,10.0,1.0,7.0
679,9.0,2.0,7.0,10.0,3.0
680,2.0,1.0,5.0,1.0,3.0
681,12.0,9.0,10.0,6.0,7.0
682,10.0,2.0,13.0,4.0,3.0
683,12.0,4.0,9.0,14.0,3.0
684,1.0,2.0,12.0,4.0,3.0
685,14.0,11.0,13.0,14.0,9.0
686,12.0,4.0,9.0,14.0,7.0
687,2.0,9.0,7.0,5.0,4.0
688,8.0,6.0,4.0,5.0,2.0
689,1.0,3.0,10.0,7.0,1.0
690,10.0,2.0,13.0,4.0,3.0
691,12.0,4.0,9.0,14.0,5.0
692,9.0,2.0,7.0,10.0,5.0
693,8.0,12.0,6.0,1.0,5.0
694,8.0,6.0,4.0,5.0,2.0
695,13.0,6.0,5.0,0.0,5.0
696,8.0,5.0,10.0,2.0,5.0
697,12.0,4.0,5.0,13.0,5.0
698,5.0,7.0,3.0,12.0,4.0
699,2.0,14.0,2.0,9.0,2.0
700,3.0,6.0,2.0,12.0,2.0
701,9.0,3.0,10.0,5.0,5.0
702,10.0,3.0,6.0,14.0,3.0
703,3.0,6.0,2.0,12.0,2.0
704,10.0,7.0,1.0,6.0,3.0
705,0.0,10.0,12.0,7.0,5.0
706,13.0,9.0,2.0,8.0,5.0
707,12.0,9.0,10.0,6.0,8.0
708,12.0,10.0,12.0,7.0,5.0
709,2.0,9.0,7.0,5.0,6.0
710,10.0,10.0,6.0,9.0,5.0
711,1.0,2.0,12.0,4.0,4.0
712,14.0,11.0,13.0,14.0,7.0
713,3.0,6.0,2.0,12.0,1.0
714,11.0,13.0,10.0,1.0,6.0
715,10.0,10.0,6.0,9.0,5.0
716,13.0,3.0,6.0,6.0,2.0
717,12.0,4.0,5.0,13.0,3.0
718,12.0,10.0,12.0,7.0,3.0
719,0.0,10.0,12.0,7.0,5.0
720,12.0,8.0,7.0,6.0,5.0
721,11.0,13.0,10.0,1.0,8.0
722,8.0,12.0,6.0,1.0,5.0
723,12.0,4.0,5.0,13.0,6.0
724,9.0,2.0,7.0,10.0,4.0
725,5.0,13.0,0.0,11.0,4.0
726,13.0,6.0,12.0,2.0,3.0
727,13.0,3.0,6.0,6.0,4.0
728,10.0,2.0,13.0,4.0,4.0
729,13.0,6.0,12.0,2.0,7.0
730,12.0,10.0,12.0,7.0,8.0
731,1.0,9.0,4.0,1.0,4.0
732,11.0,13.0,10.0,1.0,7.0
733,12.0,10.0,12.0,7.0,6.0
734,0.0,5.0,7.0,2.0,3.0
735,12.0,4.0,9.0,14.0,5.0
736,2.0,9.0,7.0,5.0,3.0
737,12.0,9.0,10.0,6.0,8.0
738,2.0,14.0,2.0,9.0,7.0
739,14.0,2.0,4.0,1.0,2.0
740,13.0,3.0,6.0,6.0,5.0
741,1.0,2.0,12.0,4.0,2.0
742,12.0,8.0,7.0,6.0,5.0
743,9.0,3.0,10.0,5.0,4.0
744,3.0,2.0,0.0,14.0,1.0
745,10.0,13.0,5.0,0.0,7.0
746,7.0,3.0,7.0,0.0,3.0
747,12.0,8.0,7.0,6.0,5.0
748,10.0,10.0,6.0,9.0,5.0
749,9.0,3.0,10.0,5.0,3.0
750,9.0,2.0,7.0,10.0,2.0
751,11.0,13.0,10.0,1.0,7.0
752,5.0,7.0,3.0,12.0,6.0
753,14.0,4.0,8.0,14.0,5.0
754,8.0,5.0,10.0,2.0,5.0
755,5.0,7.0,3.0,12.0,4.0
756,2.0,14.0,2.0,9.0,3.0
757,11.0,13.0,10.0,1.0,8.0
758,1.0,2.0,12.0,6.0,3.0
759,9.0,8.0,5.0,2.0,5.0
760,13.0,3.0,6.0,6.0,2.0
761,3.0,2.0,0.0,14.0,1.0
762,7.0,12.0,6.0,4.0,5.0
763,13.0,3.0,6.0,6.0,4.0
764,13.0,3.0,6.0,6.0,3.0
765,11.0,13.0,10.0,1.0,6.0
766,12.0,8.0,7.0,6.0,5.0
767,10.0,3.0,6.0,14.0,5.0
768,2.0,7.0,9.0,2.0,6.0
769,10.0,7.0,1.0,6.0,5.0
770,0.0,10.0,12.0,7.0,5.0
771,10.0,3.0,6.0,14.0,7.0
772,14.0,0.0,6.0,0.0,4.0
773,13.0,6.0,5.0,0.0,4.0
774,2.0,1.0,5.0,1.0,2.0
775,0.0,5.0,7.0,2.0,1.0
776,5.0,13.0,0.0,11.0,7.0
777,2.0,1.0,5.0,1.0,2.0
778,0.0,5.0,7.0,2.0,1.0
779,7.0,3.0,7.0,0.0,1.0
780,8.0,6.0,4.0,5.0,3.0
781,2.0,7.0,9.0,2.0,3.0
782,10.0,10.0,6.0,9.0,6.0
783,10.0,7.0,1.0,6.0,6.0
784,1.0,9.0,4.0,1.0,2.0
785,10.0,3.0,6.0,14.0,3.0
786,12.0,4.0,5.0,13.0,4.0
787,8.0,6.0,4.0,5.0,3.0
788,1.0,9.0,4.0,1.0,4.0
789,3.0,3.0,5.0,9.0,3.0
790,3.0,2.0,0.0,14.0,3.0
791,14.0,0.0,6.0,0.0,1.0
792,1.0,9.0,4.0,1.0,4.0
793,1.0,2.0,12.0,6.0,2.0
794,7.0,3.0,7.0,0.0,3.0
795,1.0,2.0,12.0,6.0,1.0
796,10.0,10.0,6.0,9.0,5.0
797,10.0,13.0,5.0,0.0,8.0
798,12.0,10.0,12.0,7.0,4.0
799,9.0,3.0,10.0,5.0,5.0
800,10.0,7.0,1.0,6.0,3.0
801,9.0,2.0,7.0,10.0,2.0
802,8.0,6.0,4.0,5.0,4.0
803,7.0,10.0,8.0,13.0,6.0
804,1.0,9.0,4.0,1.0,2.0
805,12.0,9.0,10.0,6.0,7.0
806,2.0,9.0,7.0,5.0,2.0
807,0.0,10.0,12.0,7.0,2.0
808,13.0,6.0,5.0,0.0,5.0
809,1.0,2.0,12.0,6.0,2.0
810,0.0,10.0,12.0,7.0,4.0
811,9.0,2.0,7.0,10.0,4.0
812,8.0,12.0,6.0,1.0,7.0
813,10.0,13.0,5.0,0.0,4.0
814,1.0,2.0,12.0,4.0,1.0
815,12.0,4.0,5.0,13.0,4.0
816,0.0,10.0,12.0,7.0,4.0
817,10.0,3.0,6.0,14.0,5.0
818,1.0,9.0,4.0,1.0,5.0
819,8.0,6.0,4.0,5.0,6.0
820,13.0,9.0,2.0,8.0,6.0
821,12.0,4.0,5.0,13.0,4.0
822,5.0,7.0,3.0,12.0,4.0
823,9.0,2.0,7.0,10.0,5.0
824,9.0,2.0,7.0,10.0,5.0
825,2.0,7.0,9.0,2.0,3.0
826,1.0,2.0,12.0,4.0,2.0
827,2.0,1.0,5.0,1.0,1.0
828,12.0,10.0,12.0,7.0,8.0
829,10.0,10.0,6.0,9.0,7.0
830,13.0,3.0,6.0,6.0,5.0
831,9.0,8.0,5.0,2.0,4.0
832,0.0,5.0,7.0,2.0,3.0
833,11.0,13.0,10.0,1.0,8.0
834,14.0,2.0,4.0,1.0,3.0
835,12.0,4.0,9.0,14.0,2.0
836,13.0,6.0,12.0,2.0,5.0
837,3.0,6.0,2.0,12.0,2.0
838,10.0,13.0,5.0,0.0,6.0
839,1.0,3.0,10.0,7.0,2.0
840,12.0,4.0,5.0,13.0,4.0
841,1.0,2.0,12.0,6.0,1.0
842,14.0,0.0,6.0,0.0,4.0
843,13.0,3.0,6.0,6.0,4.0
844,10.0,13.0,5.0,0.0,6.0
845,12.0,4.0,5.0,13.0,7.0
846,8.0,5.0,10.0,2.0,3.0
847,1.0,3.0,10.0,7.0,2.0
848,9.0,8.0,5.0,2.0,5.0
849,5.0,7.0,3.0,12.0,2.0
850,9.0,2.0,7.0,10.0,2.0
851,13.0,6.0,5.0,0.0,4.0
852,8.0,6.0,4.0,5.0,2.0
853,1.0,2.0,12.0,6.0,4.0
854,12.0,8.0,7.0,6.0,6.0
855,0.0,5.0,7.0,2.0,2.0
856,1.0,2.0,12.0,6.0,3.0
857,10.0,7.0,1.0,6.0,5.0
858,12.0,6.0,4.0,10.0,6.0
859,5.0,7.0,3.0,12.0,1.0
860,14.0,2.0,4.0,1.0,3.0
861,13.0,6.0,12.0,2.0,4.0
862,8.0,12.0,6.0,1.0,3.0
863,13.0,6.0,12.0,2.0,3.0
864,10.0,3.0,6.0,14.0,2.0
865,8.0,6.0,4.0,5.0,5.0
866,1.0,9.0,4.0,1.0,4.0
867,9.0,8.0,5.0,2.0,5.0
868,13.0,3.0,6.0,6.0,3.0
869,14.0,2.0,4.0,1.0,2.0
870,7.0,10.0,8.0,13.0,6.0
871,13.0,6.0,12.0,2.0,4.0
872,14.0,2.0,4.0,1.0,2.0
873,2.0,9.0,7.0,5.0,4.0
874,3.0,3.0,5.0,9.0,1.0
875,0.0,10.0,12.0,7.0,3.0
876,8.0,12.0,6.0,1.0,5.0
877,12.0,6.0,4.0,10.0,3.0
878,3.0,2.0,0.0,14.0,1.0
879,12.0,6.0,4.0,10.0,2.0
880,7.0,12.0,6.0,4.0,6.0
881,9.0,3.0,10.0,5.0,4.0
882,5.0,13.0,0.0,11.0,3.0
883,12.0,9.0,10.0,6.0,6.0
884,14.0,2.0,4.0,1.0,2.0
885,11.0,13.0,10.0,1.0,7.0
886,3.0,2.0,0.0,14.0,5.0
887,1.0,2.0,12.0,4.0,3.0
888,12.0,4.0,9.0,14.0,4.0
889,10.0,10.0,6.0,9.0,7.0
890,1.0,2.0,12.0,6.0,4.0
891,3.0,3.0,5.0,9.0,3.0
892,7.0,12.0,6.0,4.0,2.0
893,14.0,11.0,13.0,14.0,9.0
894,1.0,3.0,10.0,7.0,6.0
895,13.0,9.0,2.0,8.0,6.0
896,9.0,2.0,7.0,10.0,3.0
897,9.0,2.0,7.0,10.0,6.0
898,1.0,2.0,12.0,4.0,3.0
899,7.0,10.0,8.0,13.0,5.0
900,7.0,10.0,8.0,13.0,4.0
901,1.0,3.0,10.0,7.0,4.0
902,14.0,0.0,6.0,0.0,2.0
903,10.0,3.0,6.0,14.0,5.0
904,12.0,4.0,9.0,14.0,7.0
905,1.0,2.0,12.0,6.0,2.0
906,7.0,3.0,7.0,0.0,3.0
907,14.0,11.0,13.0,14.0,9.0
908,3.0,2.0,0.0,14.0,6.0
909,10.0,13.0,5.0,0.0,5.0
910,8.0,5.0,10.0,2.0,4.0
911,13.0,6.0,5.0,0.0,5.0
912,10.0,3.0,6.0,14.0,5.0
913,10.0,10.0,6.0,9.0,4.0
914,12.0,8.0,7.0,6.0,4.0
915,9.0,3.0,10.0,5.0,6.0
916,0.0,5.0,7.0,2.0,2.0
917,5.0,7.0,3.0,12.0,3.0
918,2.0,7.0,9.0,2.0,5.0
919,2.0,1.0,5.0,1.0,1.0
920,10.0,3.0,6.0,14.0,2.0
921,2.0,1.0,5.0,1.0,1.0
922,13.0,6.0,12.0,2.0,5.0
923,12.0,4.0,5.0,13.0,4.0
924,13.0,6.0,5.0,0.0,2.0
925,14.0,0.0,6.0,0.0,7.0
926,0.0,10.0,12.0,7.0,1.0
927,13.0,6.0,12.0,2.0,2.0
928,10.0,7.0,1.0,6.0,4.0
929,10.0,10.0,6.0,9.0,3.0
930,8.0,6.0,4.0,5.0,3.0
931,14.0,2.0,4.0,1.0,3.0
932,1.0,2.0,12.0,4.0,2.0
933,1.0,2.0,12.0,4.0,2.0
934,8.0,6.0,4.0,5.0,2.0
935,5.0,13.0,0.0,11.0,4.0
936,11.0,13.0,10.0,1.0,1.0
937,8.0,6.0,4.0,5.0,4.0
938,12.0,4.0,9.0,14.0,4.0
939,12.0,8.0,7.0,6.0,7.0
940,5.0,7.0,3.0,12.0,5.0
941,5.0,13.0,0.0,11.0,3.0
942,7.0,12.0,6.0,4.0,7.0
943,1.0,3.0,10.0,7.0,3.0
944,2.0,14.0,2.0,9.0,4.0
945,12.0,10.0,12.0,7.0,5.0
946,10.0,7.0,1.0,6.0,3.0
947,14.0,2.0,4.0,1.0,4.0
948,10.0,2.0,13.0,4.0,6.0
949,14.0,2.0,4.0,1.0,4.0
950,13.0,6.0,5.0,0.0,5.0
951,3.0,2.0,0.0,14.0,1.0
952,10.0,13.0,5.0,0.0,4.0
953,12.0,8.0,7.0,6.0,5.0
954,1.0,2.0,12.0,4.0,3.0
955,12.0,4.0,5.0,13.0,4.0
956,9.0,8.0,5.0,2.0,4.0
957,12.0,10.0,12.0,7.0,2.0
958,7.0,3.0,7.0,0.0,3.0
959,9.0,8.0,5.0,2.0,4.0
960,13.0,3.0,6.0,6.0,2.0
961,0.0,5.0,7.0,2.0,1.0
962,12.0,8.0,7.0,6.0,2.0
963,3.0,2.0,0.0,14.0,3.0
964,7.0,10.0,8.0,13.0,3.0
965,7.0,12.0,6.0,4.0,4.0
966,13.0,6.0,12.0,2.0,5.0
967,7.0,10.0,8.0,13.0,5.0
968,9.0,8.0,5.0,2.0,3.0
969,12.0,4.0,9.0,14.0,4.0
970,12.0,6.0,4.0,10.0,6.0
971,8.0,12.0,6.0,1.0,2.0
972,12.0,10.0,12.0,7.0,3.0
973,0.0,10.0,12.0,7.0,6.0
974,10.0,3.0,6.0,14.0,4.0
975,0.0,10.0,12.0,7.0,8.0
976,10.0,3.0,6.0,14.0,1.0
977,3.0,6.0,2.0,12.0,6.0
978,8.0,6.0,4.0,5.0,3.0
979,10.0,2.0,13.0,4.0,3.0
980,2.0,1.0,5.0,1.0,1.0
981,12.0,10.0,12.0,7.0,7.0
982,9.0,8.0,5.0,2.0,4.0
983,8.0,6.0,4.0,5.0,3.0
984,14.0,0.0,6.0,0.0,6.0
985,3.0,6.0,2.0,12.0,3.0
986,2.0,7.0,9.0,2.0,3.0
987,7.0,12.0,6.0,4.0,5.0
988,13.0,3.0,6.0,6.0,3.0
989,3.0,6.0,2.0,12.0,3.0
990,3.0,6.0,2.0,12.0,1.0
991,8.0,5.0,10.0,2.0,2.0
992,9.0,8.0,5.0,2.0,8.0
993,9.0,3.0,10.0,5.0,2.0
994,10.0,7.0,1.0,6.0,3.0
995,2.0,14.0,2.0,9.0,1.0
996,5.0,7.0,3.0,12.0,3.0
997,1.0,2.0,12.0,4.0,3.0
998,1.0,2.0,12.0,6.0,2.0
999,10.0,3.0,6.0,14.0,2.0
